run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,crash_dd_min,crash_recent_min,crash_recent_max,recovery_min,expansion_min,atr_expansion_min,vol_max,rec_quality_min,overheat_ret20_max,overheat_ret60_max,pump_ret3_max,upper_max,ret20_min,ret20_max,ret60_min,ret60_max,rsi_min,rsi_max,ema20_min,ema50_min,atrp_min,atrp_max,range60_max,close_pos_min,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,verdict,note
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_A_011,a013_exit_local,around_em26_a013,long,29245,8932,20313,30.541972986835358,10.040226679913488,10.103854282276936,5.0323207465592485,104.56307518046854,597,0,0.01,0.0004,0.08,EM27_A_011,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,1.0,3.2,14,18,6,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_A_012,a013_exit_local,around_em26_a013,long,29126,8805,20321,30.230721691959072,9.210446608767576,9.26201734962988,4.563940229386709,104.27536418437064,597,0,0.01,0.0004,0.08,EM27_A_012,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,1.0,3.4,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_013,a013_overheat_mix,a013_plus_d042,long,29239,8974,20265,30.691884127364137,9.337244470602247,9.503216700740392,3.5548991192936197,105.61048781464758,597,0,0.01,0.0004,0.08,EM27_B_013,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.1,0.35,0.06,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_014,a013_overheat_mix,a013_plus_d042,long,29278,8987,20291,30.69540269144067,9.32925963513238,9.495219744414939,3.4083520951717072,105.7632371281433,597,0,0.01,0.0004,0.08,EM27_B_014,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.1,0.35,0.1,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_015,a013_overheat_mix,a013_plus_d042,long,29281,8987,20294,30.69225777808135,9.149944391576836,9.31563230311907,3.3967941876266394,105.60240525887941,597,0,0.01,0.0004,0.08,EM27_B_015,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.1,0.35,0.14,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_016,a013_overheat_mix,a013_plus_d042,long,29525,9013,20512,30.52667231160034,7.801671212700634,7.820802255978654,3.546056139104925,103.99741607834835,597,0,0.01,0.0004,0.08,EM27_B_016,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.14,0.35,0.06,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_017,a013_overheat_mix,a013_plus_d042,long,29566,9031,20535,30.545220861800715,7.982339695069562,8.001502800712835,3.4368819720388855,104.28961862142405,597,0,0.01,0.0004,0.08,EM27_B_017,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.14,0.35,0.1,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_018,a013_overheat_mix,a013_plus_d042,long,29568,9031,20537,30.543154761904763,7.835888018767534,7.855025134337312,3.4368819720389077,104.14817521955725,597,0,0.01,0.0004,0.08,EM27_B_018,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.14,0.35,0.14,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_019,a013_overheat_mix,a013_plus_d042,long,29592,9046,20546,30.569072722357394,9.244114074317444,9.263501100981465,3.2955922848671215,105.66262158852182,597,0,0.01,0.0004,0.08,EM27_B_019,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.06,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_B_020,a013_overheat_mix,a013_plus_d042,long,29631,9066,20565,30.59633491950997,10.151304520256765,10.170852541639007,3.1257540447263144,106.72718266220926,597,0,0.01,0.0004,0.08,EM27_B_020,-0.22,12,240,0.08,0.012,0.9,4.0,0.0,0.18,0.35,0.1,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.0,14,18,6,-0.5,mdd_under5,official candidate pool
