atr_pct_max,atr_pct_min,atr_stop_mult,candidate_elapsed_min,candidate_error_count,close_position_max,dd_brake_freeze_steps,dd_brake_trigger_pct,fail_fast_bars,fail_fast_min_progress_r,full_active_months,full_avg_month_pnl,full_final_asset,full_final_return_pct,full_losses,full_max_conc,full_max_conc_unique_symbols,full_max_drawdown_pct,full_max_month_pnl,full_max_return_pct,full_median_month_pnl,full_min_month_pnl,full_monthly_net_pnl_total,full_negative_months,full_official_cd_value,full_peak_asset,full_positive_month_ratio_pct,full_positive_months,full_profit_factor,full_same_bar_trades,full_trades,full_win_rate_pct,full_wins,input_rank,preq4_active_months,preq4_avg_month_pnl,preq4_final_asset,preq4_final_return_pct,preq4_losses,preq4_max_conc,preq4_max_conc_unique_symbols,preq4_max_drawdown_pct,preq4_max_month_pnl,preq4_max_return_pct,preq4_median_month_pnl,preq4_min_month_pnl,preq4_monthly_net_pnl_total,preq4_negative_months,preq4_official_cd_value,preq4_peak_asset,preq4_positive_month_ratio_pct,preq4_positive_months,preq4_primary_score,preq4_profit_factor,preq4_same_bar_trades,preq4_trades,preq4_win_rate_pct,preq4_wins,q4_delta_cd,q4_delta_return_pct,q4_penalized_score,q4_share_of_full_return_pct,range20_pct_max,require_ema_reject,require_upper_sweep,rr_mult,score_dev_cap,score_dev_weight,score_min_short,score_rsi_cap,score_rsi_weight,score_wick_cap,score_wick_weight,short_dev,short_rsi_min,short_wick_mult,strategy,tag,time_reduce_bars,time_reduce_to_risk_frac,timeout_bars,wick_atr_floor_mult
0.11,0.0018,2.53,0.39,0,1.0,4,0.035,12,0.1,73,5.723492705593815,517.8149675083484,417.81496750834845,12972,141,141,7.62679070881096,97.39689153626443,417.9138187885984,0.9327227996796097,-4.253387075019219,417.81496750834845,27,478.3223036775893,517.9138187885984,63.013698630136986,46,2.2310159833405963,7261,13798,5.986374836932889,826,1,70,3.275780645367987,329.3046451757591,229.30464517575913,11792,141,141,7.62679070881096,58.339447221889145,229.30464517575913,0.7615759030594802,-4.253387075019219,229.3046451757591,27,304.18926909381145,329.3046451757591,61.42857142857143,43,68.48028878313926,2.030690440951782,6488,12472,5.452212957023733,680,174.13303458377783,188.5103223325893,304.18926909381145,45.118135297252756,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,RETEST_smx2v2_combo08_stop253_rr5025_t320,top1_retest,3,0.0,320,0.2
0.11,0.0018,2.5,0.344,0,1.0,4,0.035,12,0.1,73,5.641062948465516,511.79759523798265,411.7975952379826,12981,141,141,7.836300932744599,95.73510604807751,411.8952977971835,0.9306795205853291,-4.2461317677151555,411.79759523798265,27,471.6915955085841,511.89529779718356,63.013698630136986,46,2.2147390509955285,7268,13809,5.996089506843362,828,2,70,3.2400453315053612,326.8031732053753,226.8031732053753,11801,141,141,7.836300932744599,58.07806773264065,226.8031732053753,0.7058868139738408,-4.2461317677151555,226.8031732053753,27,301.1938930952435,326.8031732053753,61.42857142857143,43,66.1198800089061,2.0164446193960774,6499,12483,5.463430265160618,682,170.49770241334062,184.9944220326073,301.1938930952435,44.92362854273029,0.5,False,False,5.05,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_01_stop250_rr505,stop250_rr505,3,0.0,320,0.2
0.11,0.0018,2.56,0.336,0,1.0,4,0.035,12,0.1,73,5.916357209579293,531.8940762992884,431.8940762992884,12965,141,141,7.948394246878843,100.85352599952824,431.99561529236263,1.143732556491912,-4.29979135693965,431.8940762992884,26,489.61703813922634,531.9956152923626,64.38356164383562,47,2.262746814064706,7255,13787,5.962138246173932,822,3,70,3.348274157357968,334.37919101505776,234.37919101505776,11787,141,141,7.948394246878843,59.51836241699783,234.37919101505776,0.9117075777747345,-4.29979135693965,234.37919101505776,26,307.80141463365686,334.37919101505776,62.857142857142854,44,67.5096234743054,2.0512854361156005,6487,12463,5.42405520340207,676,181.81562350556948,197.51488528423062,307.80141463365686,45.73225152256066,0.5,False,False,5.05,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_02_stop256_rr505,stop256_rr505,3,0.0,320,0.2
0.11,0.0018,2.53,0.339,0,1.0,4,0.035,12,0.1,73,5.914607552699427,531.7663513470582,431.7663513470581,12974,141,141,7.919950992939285,100.58068888870855,431.8678659573395,1.16550488226315,-4.2892274335105185,431.76635134705816,26,489.6507169234298,531.8678659573395,64.38356164383562,47,2.2516116416298586,7257,13796,5.9582487677587705,822,4,70,3.358959437630292,335.12716063412046,235.12716063412046,11794,141,141,7.919950992939285,59.868856317137784,235.12716063412046,0.90738431900499,-4.2892274335105185,235.12716063412046,26,308.5852537478692,335.12716063412046,62.857142857142854,44,67.87020563740393,2.0464658361421035,6486,12470,5.421010425020048,676,181.06546317556058,196.63919071293765,308.5852537478692,45.542963248397534,0.5,False,False,5.15,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_03_stop253_rr515,stop253_rr515,3,0.0,320,0.2
0.11,0.0018,2.58,0.33,0,1.0,4,0.035,12,0.1,73,6.378349358293895,565.6195031554544,465.6195031554543,12961,140,140,8.621996011383814,116.7106478221674,465.72748035875975,1.1862524815208673,-4.4103853703455655,465.61950315545437,26,516.8518121537821,565.7274803587597,64.38356164383562,47,2.32028792227205,7240,13760,5.8066860465116275,799,5,70,3.5169032167481986,346.1832251723739,246.1832251723739,11785,140,140,8.621996011383814,62.84831670899342,246.1832251723739,1.0049968112390602,-4.4103853703455655,246.1832251723739,26,316.335321305932,346.1832251723739,62.857142857142854,44,64.74019368325798,2.091624964399898,6470,12440,5.265273311897106,655,200.51649084785015,219.4362779830804,316.335321305932,47.127810690055696,0.5,False,False,5.1,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_04_stop258_rr510_t340,stop258_rr510_t340,3,0.0,340,0.2
0.11,0.0018,2.48,0.328,0,1.0,4,0.035,12,0.1,73,5.544757274584918,504.767281044699,404.76728104469896,12991,140,140,7.397009093661044,92.78537413600293,404.8636415114496,1.0494192861981588,-4.23469482829087,404.767281044699,26,467.429599363997,504.8636415114496,64.38356164383562,47,2.1941794345398646,7307,13836,6.107256432494941,845,6,70,3.1736710901383343,322.1569763096834,222.1569763096834,11809,140,140,7.397009093661044,59.44242812245636,222.1569763096834,0.6933227696084927,-4.23469482829087,222.1569763096834,26,298.3269954761927,322.1569763096834,62.857142857142854,44,69.41137762225566,1.9965376670189212,6534,12507,5.580874710162309,698,169.10260388780432,182.61030473501557,298.3269954761927,45.11488781002773,0.5,False,False,5.0,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_05_stop248_rr500_t300,stop248_rr500_t300,3,0.0,300,0.2
0.11,0.0018,2.53,0.334,0,1.0,4,0.035,12,0.1,73,5.5687017144746385,506.5152251566486,406.5152251566486,12845,140,140,7.527240083993714,93.88591589773688,406.6119193072904,0.8740321469536241,-4.193990232091792,406.5152251566486,27,468.38860809712634,506.6119193072904,63.013698630136986,46,2.217489640313294,7152,13662,5.980090762699458,817,7,70,3.1885158719229025,323.1961110346032,223.1961110346032,11674,140,140,7.527240083993714,55.9730656453674,223.1961110346032,0.7491702474472817,-4.193990232091792,223.19611103460318,27,298.8683638148977,323.1961110346032,61.42857142857143,43,67.9922764022603,2.0173226879448136,6388,12346,5.4430584804795075,672,169.52024428222865,183.31911412204542,298.8683638148977,45.09526403381431,0.5,False,False,5.025,2.0,1.3,2.37,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_06_score237,score237,3,0.0,320,0.2
0.11,0.0018,2.53,0.315,0,1.0,4,0.035,12,0.1,73,5.5358203922275955,504.11488863261445,404.11488863261445,12676,140,140,7.340908059839801,92.69983815598675,404.21112455714587,0.8750051148962399,-4.004288787572193,404.11488863261445,28,467.1082781421304,504.21112455714587,61.64383561643836,45,2.223020444905884,7007,13485,5.999258435298479,809,8,70,3.1857595248623145,323.003166740362,223.00316674036202,11513,140,140,7.340908059839801,56.66126541737043,223.00316674036202,0.7717667733483751,-4.004288787572193,223.00316674036202,28,299.291801239581,323.003166740362,60.0,42,69.04088228433953,2.0255476661663483,6253,12179,5.468429263486329,666,167.81647690254943,181.11172189225243,299.291801239581,44.81688920323428,0.5,False,False,5.025,2.0,1.3,2.4,2.0,0.8,2.5,0.7,0.032,76.0,1.3,SMX2V2_C08_R20_07_score240,score240,3,0.0,320,0.2
0.11,0.0018,2.53,0.312,0,1.0,4,0.035,12,0.1,73,5.4042923485669965,494.5133414453907,394.5133414453907,12585,140,140,7.442309009762804,91.29026516057513,394.60774442709237,0.9336774911855201,-3.9818001456290375,394.5133414453907,28,457.71013048052134,494.6077444270924,61.64383561643836,45,2.214953621562193,6919,13386,5.983863738233976,801,9,70,3.093735621812449,316.56149352687146,216.56149352687146,11430,140,140,7.442309009762804,55.53126610694653,216.56149352687146,0.7866041358866269,-3.9818001456290375,216.56149352687146,28,293.0020089726814,316.56149352687146,60.0,42,66.7131777473367,2.0138523866478035,6172,12088,5.443414956982131,658,164.70812150783996,177.95184791851926,293.0020089726814,45.10667428040623,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.033,76.0,1.3,SMX2V2_C08_R20_08_dev033,dev033,3,0.0,320,0.2
0.11,0.0018,2.53,0.327,0,1.0,4,0.035,12,0.1,73,5.276181721825996,485.16126569329765,385.16126569329765,12323,138,138,7.4481111518109095,90.60565764433346,385.25388335646056,0.9083569097593056,-3.890415827907077,385.16126569329765,27,449.0259153589282,485.2538833564606,63.013698630136986,46,2.231553914330668,6725,13109,5.995880692653902,786,10,70,3.0039974335364947,310.2798203475546,210.27982034755462,11193,138,138,7.4481111518109095,52.633101565666266,210.27982034755462,0.8629285766991401,-3.890415827907077,210.27982034755462,27,287.16983444642955,310.2798203475546,61.42857142857143,43,65.94821257747111,2.018310695542522,5993,11838,5.4485554992397365,645,161.85608091249867,174.88144534574303,287.16983444642955,45.40473326957037,0.5,False,False,5.025,2.0,1.3,2.35,2.0,0.8,2.5,0.7,0.033,76.0,1.35,SMX2V2_C08_R20_09_dev033_wick135,dev033_wick135,3,0.0,320,0.2
