strategy,exit_quarter,trades,wins,losses,net_pnl,gross_profit,gross_loss,avg_pnl,median_pnl,avg_ret_pct,median_ret_pct,target_exits,stop_exits,timeout_exits,fail_fast_exits,forced_end_exits,unique_symbols,win_rate_pct,profit_factor,net_pnl_on_initial_pct
smv13_structdev1_24_dev1_24_stop230_rr540,2023-Q3,1098,81,1017,10.337802916333644,29.851874899783034,19.51407198344939,0.00941512105312718,-0.002118349575579056,0.3568126431090259,-0.08,7,1017,74,0,0,168,7.377049180327869,1.5297614421583317,10.337802916333644
smv13_structdev1_24_dev1_24_stop230_rr540,2023-Q4,2403,223,2180,42.378807336908366,86.44289526614344,44.06408792923507,0.017635791650814966,-0.002335884427091585,0.6084927882216145,-0.08,38,2179,185,1,0,212,9.28006658343737,1.9617538755134751,42.378807336908366
smv13_structdev1_24_dev1_24_stop230_rr540,2024-Q1,3752,333,3419,68.79091918012325,152.14280848036475,83.35188930024151,0.018334466732442233,-0.00272004848920575,0.5353179633783571,-0.08,70,3419,263,0,0,240,8.875266524520256,1.8253072576715297,68.79091918012325
smv13_structdev1_24_dev1_24_stop230_rr540,2024-Q2,2162,153,2009,25.00856466441745,68.01888893452418,43.010324270106736,0.01156732870694609,-0.003143125489251722,0.29469636506069324,-0.08,33,2009,120,0,0,235,7.076780758556891,1.5814549201573687,25.00856466441745
smv13_structdev1_24_dev1_24_stop230_rr540,2024-Q3,1887,149,1738,28.18573580924376,63.823884064761906,35.638148255518146,0.014936796931236757,-0.003355958505981365,0.35613907703817616,-0.08,21,1737,128,1,0,253,7.8961314255431905,1.7908866534579144,28.185735809243763
smv13_structdev1_24_dev1_24_stop230_rr540,2024-Q4,4160,369,3791,103.54639526950284,245.27764109217085,141.73124582266803,0.024890960401322798,-0.003941095065385133,0.5192807047364524,-0.08,43,3791,326,0,0,326,8.870192307692308,1.730582693099717,103.54639526950284
smv13_structdev1_24_dev1_24_stop230_rr540,2025-Q1,5505,513,4992,306.0458984596561,532.5578860517708,226.51198759211474,0.055594168657521544,-0.005616429598228637,0.8489614616347313,-0.08,121,4991,392,1,0,383,9.318801089918257,2.3511245109497683,306.0458984596561
smv13_structdev1_24_dev1_24_stop230_rr540,2025-Q2,5885,535,5350,353.79121361171553,758.8418594427983,405.05064583108276,0.06011745345993467,-0.007828689567442726,0.6050957657165856,-0.08,89,5347,446,3,0,434,9.090909090909092,1.873449326036271,353.79121361171553
smv13_structdev1_24_dev1_24_stop230_rr540,2025-Q3,7209,673,6536,1122.0457653678457,2073.7091658514587,951.6634004836134,0.15564513321790063,-0.013127182725166242,0.9341162385879074,-0.08,89,6535,584,1,0,435,9.335552781245665,2.179036374413104,1122.0457653678457
smv13_structdev1_24_dev1_24_stop230_rr540,2025-Q4,11827,1083,10744,7035.242215237048,11673.821090300211,4638.578875063162,0.5948458793639172,-0.03725398816593247,1.2142023091917755,-0.08,163,10743,908,1,12,525,9.157013612919592,2.516680518910278,7035.242215237048
