strategy,exit_quarter,trades,wins,losses,net_pnl,gross_profit,gross_loss,avg_pnl,median_pnl,avg_ret_pct,median_ret_pct,target_exits,stop_exits,timeout_exits,fail_fast_exits,forced_end_exits,unique_symbols,win_rate_pct,profit_factor,net_pnl_on_initial_pct
smv13_structdev1_24_dev1_24_stop230_rr540,2019-Q4,7,1,6,0.01734152755072225,0.08352800188876501,0.06618647433804277,0.002477361078674607,-0.0008001451333814729,0.24835788324915462,-0.08,0,6,1,0,0,2,14.285714285714285,1.2620101421651742,0.01734152755072225
smv13_structdev1_24_dev1_24_stop230_rr540,2020-Q1,290,7,283,-0.8368009120641643,0.7171654341309357,1.5539663461951,-0.002885520386428153,-0.0007938570613960058,-0.28906614853383694,-0.08,0,283,7,0,0,23,2.413793103448276,0.4615064128556718,-0.8368009120641643
smv13_structdev1_24_dev1_24_stop230_rr540,2020-Q2,65,5,60,0.6803683435833561,0.8729595055842307,0.19259116200087462,0.010467205285897785,-0.000794022660342307,1.0543474324755135,-0.08,2,60,3,0,0,20,7.6923076923076925,4.532708025201418,0.6803683435833561
smv13_structdev1_24_dev1_24_stop230_rr540,2020-Q3,620,51,569,3.9112149072492013,7.9484669406577355,4.037252033408533,0.006308411140724518,-0.0008041873456859508,0.6228778599408183,-0.08,17,569,34,0,0,51,8.225806451612904,1.968781457011758,3.9112149072492013
smv13_structdev1_24_dev1_24_stop230_rr540,2020-Q4,852,60,792,2.9186636722076202,6.714662233460226,3.7959985612526057,0.0034256615870981457,-0.000834266640256699,0.3266188665419981,-0.08,14,792,46,0,0,68,7.042253521126761,1.768879024876268,2.9186636722076202
smv13_structdev1_24_dev1_24_stop230_rr540,2021-Q1,3276,199,3077,12.440316071717858,36.06585255333603,23.625536481618163,0.0037974102783021545,-0.0008990698999800419,0.34003846567976914,-0.08,70,3077,129,0,0,91,6.074481074481074,1.5265622679678428,12.440316071717858
smv13_structdev1_24_dev1_24_stop230_rr540,2021-Q2,3294,218,3076,23.410072131984442,43.50839681816532,20.09832468618088,0.00710688285731161,-0.0010534155543380018,0.5500032839330508,-0.08,58,3075,160,1,0,99,6.618093503339405,2.164777288530951,23.410072131984442
smv13_structdev1_24_dev1_24_stop230_rr540,2021-Q3,1671,121,1550,10.485894151541371,21.864691593432987,11.378797441891615,0.006275220916541814,-0.001171546431976752,0.4267197028646753,-0.08,23,1550,98,0,0,106,7.241172950329144,1.9215292042142367,10.485894151541371
smv13_structdev1_24_dev1_24_stop230_rr540,2021-Q4,1956,137,1819,10.697732938726395,29.758743263202923,19.061010324476534,0.0054691886189807744,-0.001289744284442371,0.3496591573455555,-0.08,17,1819,120,0,0,112,7.004089979550102,1.561236406497785,10.697732938726395
smv13_structdev1_24_dev1_24_stop230_rr540,2022-Q1,1034,85,949,3.9487508566787732,12.736847441413646,8.788096584734873,0.003818907985182566,-0.0013377156320143037,0.23124203802311813,-0.08,7,949,78,0,0,112,8.220502901353965,1.4493294786424906,3.9487508566787732
smv13_structdev1_24_dev1_24_stop230_rr540,2022-Q2,2467,152,2315,21.513946108354077,47.14774054908679,25.633794440732714,0.008720691572093263,-0.0014186088231162425,0.49840243823947616,-0.08,26,2314,126,1,0,127,6.1613295500608025,1.8392805894615392,21.513946108354077
smv13_structdev1_24_dev1_24_stop230_rr540,2022-Q3,985,110,875,9.748368614380743,19.492879227208253,9.744510612827511,0.009896820928305322,-0.001528107973738676,0.5117589483915843,-0.08,13,875,97,0,0,118,11.16751269035533,2.000395915372923,9.748368614380743
smv13_structdev1_24_dev1_24_stop230_rr540,2022-Q4,1065,129,936,30.98865914543272,43.032892923855925,12.044233778423212,0.029097332530922743,-0.0017779325014512096,1.3866324997952608,-0.08,35,935,95,0,0,124,12.112676056338028,3.5729041560906696,30.988659145432717
smv13_structdev1_24_dev1_24_stop230_rr540,2023-Q1,1808,164,1644,17.52768540698378,41.32025662853502,23.792571221551235,0.009694516264924659,-0.0019041818310527433,0.4085975055239612,-0.08,27,1644,137,0,0,148,9.070796460176991,1.7366873148668884,17.52768540698378
smv13_structdev1_24_dev1_24_stop230_rr540,2023-Q2,765,79,686,13.215038007820448,24.616317563990826,11.401279556170378,0.01727455948734699,-0.0020217227854010195,0.6830363662157685,-0.08,7,685,72,1,0,115,10.326797385620914,2.159083762722796,13.215038007820448
