strategy,exit_month,trades,wins,losses,net_pnl,gross_profit,gross_loss,avg_pnl,median_pnl,avg_ret_pct,median_ret_pct,target_exits,stop_exits,timeout_exits,fail_fast_exits,forced_end_exits,unique_symbols,win_rate_pct,profit_factor,net_pnl_on_initial_pct
smv13_structdev1_24_dev1_24_stop230_rr540,2019-10,5,1,4,0.018941824218697473,0.08352800188876501,0.06458617767006755,0.0037883648437394947,-0.0007997820404612498,0.37970103654881643,-0.08,0,4,1,0,0,1,20.0,1.2932798456576886,0.018941824218697473
smv13_structdev1_24_dev1_24_stop230_rr540,2019-11,2,0,2,-0.0016002966679752226,0.0,0.0016002966679752226,-0.0008001483339876113,-0.0008001483339876113,-0.08,-0.08,0,2,0,0,0,2,0.0,0.0,-0.0016002966679752226
smv13_structdev1_24_dev1_24_stop230_rr540,2020-01,24,0,24,-0.25916870169620815,0.0,0.25916870169620815,-0.010798695904008672,-0.0007998887063777077,-1.0809111044919233,-0.08,0,24,0,0,0,5,0.0,0.0,-0.25916870169620815
smv13_structdev1_24_dev1_24_stop230_rr540,2020-02,23,0,23,-0.05071015067667454,0.0,0.050710150676674545,-0.002204789159855415,-0.0007978682368994307,-0.22105665079366027,-0.08,0,23,0,0,0,10,0.0,0.0,-0.05071015067667454
smv13_structdev1_24_dev1_24_stop230_rr540,2020-03,243,7,236,-0.5269220596912816,0.7171654341309357,1.2440874938222173,-0.002168403537824204,-0.0007934570201854361,-0.21729635225824023,-0.08,0,236,7,0,0,23,2.880658436213992,0.5764590012295551,-0.5269220596912816
smv13_structdev1_24_dev1_24_stop230_rr540,2020-04,23,1,22,0.026825905492508923,0.09508649073054205,0.0682605852380331,0.0011663437170656053,-0.0007936843297616138,0.1177935422008921,-0.08,0,22,1,0,0,12,4.3478260869565215,1.3929926091164277,0.026825905492508923
smv13_structdev1_24_dev1_24_stop230_rr540,2020-05,29,3,26,0.6489306395707446,0.6926889732004514,0.04375833362970681,0.022376918605887745,-0.0007942893629265708,2.2536900371633033,-0.08,2,26,1,0,0,13,10.344827586206897,15.829875494394885,0.6489306395707446
smv13_structdev1_24_dev1_24_stop230_rr540,2020-06,13,1,12,0.004611798520102568,0.08518404165323722,0.08057224313313464,0.00035475373231558217,-0.0007989064452738586,0.03587081250400508,-0.08,0,12,1,0,0,5,7.6923076923076925,1.057238055448974,0.004611798520102568
smv13_structdev1_24_dev1_24_stop230_rr540,2020-07,71,5,66,-0.08115861890440883,0.4062804087963863,0.4874390277007951,-0.001143079139498716,-0.000798464913386486,-0.11419892177450006,-0.08,0,66,5,0,0,25,7.042253521126761,0.8334999573439441,-0.08115861890440883
smv13_structdev1_24_dev1_24_stop230_rr540,2020-08,270,17,253,0.8004612600927347,2.4848573369205345,1.6843960768278,0.002964671333676795,-0.0007972140143185636,0.2986125799569175,-0.08,7,253,10,0,0,32,6.296296296296296,1.4752215177324755,0.8004612600927348
