symbol,horizon,events,up_rate_pct,avg_ret_pct,med_ret_pct,avg_abs_ret_pct,med_abs_ret_pct,avg_mfe_pct,med_mfe_pct,avg_mae_pct,med_mae_pct,avg_max_abs_excursion_pct,med_max_abs_excursion_pct,avg_realized_vol_pct,p75_abs_ret_pct,p90_abs_ret_pct,p75_max_abs_excursion_pct,p90_max_abs_excursion_pct
0G,12,1003,47.357926221335994,-0.058205697159345565,-0.04856726566295766,0.8599961571787677,0.5883370825402245,0.848185977419652,0.5639263371222114,-0.8654482995234768,-0.6079320660040466,1.3808037623476364,1.033698573495978,0.9492541186236485,1.0519090732355962,1.8433765005746185,1.65179268392584,2.5532808876183815
0G,36,1003,46.16151545363908,-0.023117744395178053,-0.11272686281140754,1.6442250739205844,1.05771633213958,1.7294965365013832,1.0199456029011733,-1.631129771806604,-1.183160071219358,2.7161602390776607,1.9919875361673611,1.9524816805071563,1.9304782311712954,3.547200701404436,3.109305266808249,5.370864837011762
0G,72,1003,45.06480558325025,-0.00031577318978786136,-0.32832635639825636,2.4782980017259204,1.5808605968382627,2.7924001961947154,1.714147104007746,-2.4799716145912836,-1.9100743745774196,4.276999552092932,3.1319808525187898,3.1157892069534268,2.95873728680629,5.769014536607069,4.964922838223962,8.083380603575579
0G,288,1003,44.8654037886341,0.3171035676652555,-0.42957268822066963,5.598229839205334,2.8643313334623666,6.669865076502755,3.728470111448834,-5.358185835441642,-3.922233525488872,9.530739554899034,6.449169507114649,7.101750030552474,6.743489137066078,11.255458315026692,10.180502720977625,16.59578321131245
1000000BOB,12,1795,47.298050139275766,0.026529496415747224,-0.03925417075564264,0.7500379137007092,0.5345806882726234,0.8804708922592048,0.6397367940047527,-0.8777521824924704,-0.6908171861836565,1.37876278955021,1.137980085348489,1.009057827793949,0.9920308180716375,1.6019303966501888,1.6414189851743755,2.42111218185508
1000000BOB,36,1795,47.966573816155986,-0.0073991087078776165,-0.05691519635742104,1.422755353698617,0.9986293322890138,1.6347112360873277,1.1544585987261158,-1.6370319093207053,-1.2224938875305513,2.569333009487438,2.0588235294117574,1.9923614082565997,1.8635766602106085,2.9864675875110085,3.0680558219295606,4.562510924713995
1000000BOB,72,1795,47.298050139275766,-0.17234881544049918,-0.1208215867901874,2.285606908483184,1.5710382513661303,2.4854705248565336,1.6808895784846012,-2.5833945261605566,-1.7958950969213183,4.043895938591241,3.071553228621293,3.098795671153446,2.773288899456039,4.783809238409177,4.6867899092236325,7.572679085818842
1000000BOB,288,1795,46.51810584958218,-0.8880665088207252,-0.509604076832626,5.578412958053898,4.046028210838893,5.60129980509944,3.337378640776678,-6.278709703372049,-3.9401238816242246,9.77485275904677,7.050500121980985,7.577016574236106,6.95217292735334,10.788109898219531,11.10490291940216,18.22746346060779
1000000MOG,12,3476,49.65477560414269,0.010895115262712283,0.0,0.8206952110561638,0.6068145112134937,0.8686917291788391,0.6454979568198294,-0.8271302729713147,-0.6126295947219584,1.3549994252012822,1.1197581960408598,1.018294667363986,1.127874008715557,1.775641031063968,1.6651767471223267,2.4475532630917565
1000000MOG,36,3476,47.12313003452244,-0.008353938013735978,-0.11281164997803406,1.5375438984222278,1.137913191557055,1.6344015910279894,1.139501041627644,-1.5690565701860708,-1.1966387444698023,2.548851623784124,2.1027163234764057,1.991870149986091,1.9985847987194771,3.342666305028197,3.1587126452322254,4.408714347970511
1000000MOG,72,3476,47.43958573072497,0.025825189688350052,-0.13841139476054032,2.36092567125017,1.6165409723837454,2.5129195660658894,1.7094341978299288,-2.3365090003070845,-1.7375171412939039,3.893665493720242,3.1183747586236543,2.9896230219963846,3.1245953397205373,5.250370520715125,4.728177538305378,7.006892558836903
1000000MOG,288,3476,47.12313003452244,-0.15377791765836119,-0.4476937993732888,5.5067647606924925,4.082569022102989,5.843181947883062,3.8923247613302348,-5.410495804536385,-3.8340109216753735,9.25395951894148,7.676103271663004,7.1712935329199565,7.188403889065489,11.64974248427043,11.041710075271274,15.715236588396298
1000BONK,12,6488,48.22749691738594,-0.011239462546577535,-0.027190815237981836,0.7359263372865964,0.5172930697472655,0.7723250797747749,0.535817410144368,-0.7646469475931863,-0.5530653801751939,1.2283950795687992,0.9738884347617882,0.9025388141827949,0.9610039642612506,1.5936315549065954,1.4833701093094398,2.201178075392889
1000BONK,36,6488,47.888409371146736,-0.04737646681452082,-0.07037742822974535,1.3616734621261122,0.9244588807999832,1.436127213356815,0.9799544655872183,-1.4643454068939805,-1.0389363827198461,2.316561758201865,1.816562502656649,1.7815501233095459,1.7718095571781918,3.0356491069857996,2.8121719965470886,4.19750531801966
1000BONK,72,6488,46.54747225647349,-0.12025208777576994,-0.15483065291008735,2.095442632115035,1.3942919872346748,2.1974350993435348,1.4647346605709877,-2.263827083241607,-1.5852066806354426,3.559898012852539,2.761802037721084,2.7493349399263796,2.7449701522928582,4.737032173236293,4.3033413213897695,6.568156407084273
