symbol,file,bars,raw_events,kept_event_horizon_rows,first_ts,last_ts
AVAAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAAI_5m.csv,101755,2968,11872,2025-01-17 22:15:00,2026-01-12 07:15:00
AVAX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVAX_5m.csv,557824,15393,61524,2020-09-23 16:00:00,2026-01-12 13:15:00
AVNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AVNT_5m.csv,34044,1145,4520,2025-09-10 00:00:00,2026-01-12 06:40:00
AWE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AWE_5m.csv,66100,1733,6924,2025-05-21 17:00:00,2026-01-12 06:55:00
AXL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXL_5m.csv,194489,5145,20520,2024-03-02 00:30:00,2026-01-12 08:15:00
AXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AXS_5m.csv,541115,15031,60048,2020-11-20 16:00:00,2026-01-12 12:50:00
B2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B2_5m.csv,70355,1843,7336,2025-05-06 22:30:00,2026-01-12 07:00:00
B3,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B3_5m.csv,93999,2820,11216,2025-02-13 20:30:00,2026-01-12 07:15:00
B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\B_5m.csv,65710,1939,7672,2025-05-23 01:30:00,2026-01-12 06:55:00
BABY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BABY_5m.csv,79285,2205,8664,2025-04-05 22:30:00,2026-01-12 07:05:00
BADGER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BADGER_5m.csv,227080,4166,16664,2023-11-09 21:30:00,2026-01-12 08:40:00
BAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAKE_5m.csv,489260,13234,52936,2021-05-19 16:00:00,2026-01-12 11:35:00
BAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAL_5m.csv,564165,13028,52112,2020-09-01 16:00:00,2026-01-12 13:40:00
BAN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAN_5m.csv,119063,3419,13676,2024-11-18 20:30:00,2026-01-12 07:30:00
BANANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANA_5m.csv,146549,4220,16852,2024-08-15 11:00:00,2026-01-12 08:00:00
BANANAS31,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANAS31_5m.csv,83369,2641,10472,2025-03-22 18:15:00,2026-01-12 07:10:00
BAND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAND_5m.csv,573961,15040,60136,2020-07-29 16:00:00,2026-01-12 14:00:00
BANK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANK_5m.csv,75479,2467,9812,2025-04-19 03:30:00,2026-01-12 07:00:00
BARD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BARD_5m.csv,31500,949,3740,2025-09-18 20:00:00,2026-01-12 06:40:00
BAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAS_5m.csv,38095,1259,5020,2025-08-26 22:30:00,2026-01-12 06:45:00
BAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAT_5m.csv,622053,16488,65920,2020-02-13 17:05:00,2026-01-12 14:45:00
BB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BB_5m.csv,173497,4470,17756,2024-05-13 21:30:00,2026-01-12 08:05:00
BCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BCH_5m.csv,638181,17061,68244,2019-12-19 17:55:00,2026-01-12 15:35:00
BDXN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BDXN_5m.csv,62325,1836,7332,2025-06-03 19:30:00,2026-01-12 06:55:00
BEAMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAMX_5m.csv,224764,6254,24952,2023-11-17 22:30:00,2026-01-12 08:40:00
BEAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAT_5m.csv,15649,474,1824,2025-11-18 22:35:00,2026-01-12 06:35:00
BEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEL_5m.csv,541691,14974,59884,2020-11-18 16:00:00,2026-01-12 12:50:00
