13. long_max_v1_90_lx12_asymmetric_trail_lx12_4_09 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_asymmetric_trail | side=long | verdict=official_mdd_pass | trades=1264 | win=43.9873 | final=2.5456 | max=7.0352 | mdd=4.2243 | cd=102.513647 | old_ratio_cd=1.6654
14. long_max_v1_9_lx12_range_expansion_runner_lx12_0_08 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=683 | win=33.5286 | final=2.2524 | max=5.2776 | mdd=2.9319 | cd=102.190933 | old_ratio_cd=1.8000
15. long_max_v1_47_lx12_second_leg_absorption_lx12_2_06 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=205 | win=46.8293 | final=1.8666 | max=2.2354 | mdd=0.3694 | cd=101.857677 | old_ratio_cd=6.0506
16. long_max_v1_54_lx12_second_leg_absorption_lx12_2_13 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=413 | win=41.1622 | final=1.8536 | max=3.4395 | mdd=1.5971 | cd=101.787403 | old_ratio_cd=2.1535
17. long_main_v1_28_lm12_vol_contract_expand_lm12_1_07 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=393 | win=44.7837 | final=1.8029 | max=2.0821 | mdd=0.3825 | cd=101.691696 | old_ratio_cd=5.4440
18. long_max_v1_53_lx12_second_leg_absorption_lx12_2_12 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=923 | win=52.5460 | final=1.4304 | max=3.2327 | mdd=1.7848 | cd=101.390219 | old_ratio_cd=1.8113
19. long_max_v1_5_lx12_range_expansion_runner_lx12_0_04 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=633 | win=48.8152 | final=1.4257 | max=4.4670 | mdd=3.0479 | cd=101.282986 | old_ratio_cd=1.4656
20. long_max_v1_44_lx12_second_leg_absorption_lx12_2_03 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=50 | win=68.0000 | final=1.2446 | max=1.3470 | mdd=0.1011 | cd=101.244550 | old_ratio_cd=13.3198
21. long_max_v1_15_lx12_range_expansion_runner_lx12_0_14 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=289 | win=54.6713 | final=1.1668 | max=2.5704 | mdd=1.4546 | cd=101.078421 | old_ratio_cd=1.7671
22. long_max_v1_91_lx12_asymmetric_trail_lx12_4_10 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_asymmetric_trail | side=long | verdict=official_mdd_pass | trades=318 | win=52.2013 | final=1.0589 | max=2.3843 | mdd=1.3963 | cd=100.954669 | old_ratio_cd=1.7075
23. long_max_v1_48_lx12_second_leg_absorption_lx12_2_07 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=81 | win=59.2593 | final=0.8673 | max=0.9547 | mdd=0.1411 | cd=100.812218 | old_ratio_cd=6.7641
24. long_max_v1_20_lx12_range_expansion_runner_lx12_0_19 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=559 | win=48.1216 | final=0.9523 | max=3.5595 | mdd=2.6726 | cd=100.791760 | old_ratio_cd=1.3318
25. long_main_v1_22_lm12_vol_contract_expand_lm12_1_01 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=960 | win=34.2708 | final=0.9027 | max=1.6858 | mdd=0.8948 | cd=100.775940 | old_ratio_cd=1.8840
26. long_main_v1_23_lm12_vol_contract_expand_lm12_1_02 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=465 | win=44.5161 | final=0.8442 | max=1.0963 | mdd=0.3583 | cd=100.734141 | old_ratio_cd=3.0601
27. long_max_v1_49_lx12_second_leg_absorption_lx12_2_08 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=30 | win=66.6667 | final=0.7107 | max=0.7445 | mdd=0.0625 | cd=100.681558 | old_ratio_cd=11.9161
28. long_main_v1_37_lm12_vol_contract_expand_lm12_1_16 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=304 | win=37.8289 | final=0.7858 | max=1.1011 | mdd=0.4179 | cd=100.678594 | old_ratio_cd=2.6350
29. long_main_v1_25_lm12_vol_contract_expand_lm12_1_04 | parent=6V2_L01_doubleflush_core | family=long_main_v1_improvements | group=lm12_vol_contract_expand | side=long | verdict=official_mdd_pass | trades=120 | win=44.1667 | final=0.5017 | max=0.6702 | mdd=0.1910 | cd=100.477922 | old_ratio_cd=3.5093
