batch_label,strategy_name,parent,family,group,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,cd_formula,old_ratio_cd_value,reference_safe6v2_cd_value,official_pass_mdd_lt_5,ruined,verdict
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_27_lm12_vol_contract_expand_lm12_1_06,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_vol_contract_expand,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_vol_contract_expand; tag=lm12_1_06; focus=official leader absorption-floor for MDD compression without starving trades,5m,597,853,281,572,32.942556,2.661698,3.384286,0.827458,102.528824735,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),4.089981,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_90_lx12_asymmetric_trail_lx12_4_09,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_asymmetric_trail,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_asymmetric_trail; tag=lx12_4_09; focus=raw V51 followthrough runner/fast-cut balance,5m,597,1264,556,708,43.987342,2.545578,7.035187,4.224349,102.513646738,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.66539,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_9_lx12_range_expansion_runner_lx12_0_08,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_range_expansion_runner,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_range_expansion_runner; tag=lx12_0_08; focus=raw V51 dryup-to-reaccel MDD compression,5m,597,683,229,454,33.528551,2.252439,5.277598,2.93193,102.19093255,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.800042,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_47_lx12_second_leg_absorption_lx12_2_06,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_second_leg_absorption,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_second_leg_absorption; tag=lx12_2_06; focus=raw V51 absorption floor to cut MDD spikes,5m,597,205,96,109,46.829268,1.866564,2.235383,0.369447,101.857677052,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),6.050617,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_54_lx12_second_leg_absorption_lx12_2_13,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_second_leg_absorption,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_second_leg_absorption; tag=lx12_2_13; focus=raw V51 EMA shelf conversion for official promotion,5m,597,413,170,243,41.162228,1.853564,3.439459,1.597123,101.787403126,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),2.153534,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_main_v1_28_lm12_vol_contract_expand_lm12_1_07,6V2_L01_doubleflush_core,long_main_v1_improvements,lm12_vol_contract_expand,long,8V12 long/short main/max no-trade-cap improvement from 6V2_L01_doubleflush_core; side=long; group=lm12_vol_contract_expand; tag=lm12_1_07; focus=official leader absorption-floor for MDD compression without starving trades,5m,597,393,176,217,44.783715,1.802914,2.08212,0.382461,101.691695822,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),5.444011,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_53_lx12_second_leg_absorption_lx12_2_12,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_second_leg_absorption,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_second_leg_absorption; tag=lx12_2_12; focus=raw V51 EMA shelf conversion for official promotion,5m,597,923,485,438,52.546046,1.430421,3.232684,1.78477,101.390218584,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.811261,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_5_lx12_range_expansion_runner_lx12_0_04,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_range_expansion_runner,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_range_expansion_runner; tag=lx12_0_04; focus=raw V51 dryup-to-reaccel MDD compression,5m,597,633,309,324,48.815166,1.42565,4.467017,3.047882,101.282985787,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.465614,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_44_lx12_second_leg_absorption_lx12_2_03,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_second_leg_absorption,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_second_leg_absorption; tag=lx12_2_03; focus=raw V51 absorption floor to cut MDD spikes,5m,597,50,34,16,68.0,1.24455,1.347043,0.101131,101.244549573,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),13.319786,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_15_lx12_range_expansion_runner_lx12_0_14,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_range_expansion_runner,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_range_expansion_runner; tag=lx12_0_14; focus=raw V51 dryup-to-reaccel MDD compression,5m,597,289,158,131,54.67128,1.16677,2.570404,1.454594,101.078420576,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.767093,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_91_lx12_asymmetric_trail_lx12_4_10,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_asymmetric_trail,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_asymmetric_trail; tag=lx12_4_10; focus=raw V51 followthrough runner/fast-cut balance,5m,597,318,166,152,52.201258,1.058915,2.384281,1.39632,100.954669171,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),1.707547,121.7490287208,True,False,official_mdd_pass
8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP,long_max_v1_48_lx12_second_leg_absorption_lx12_2_07,8V4_V51_V002_core_rare22_c1,long_max_v1_improvements,lx12_second_leg_absorption,long,8V12 long/short main/max no-trade-cap improvement from 8V4_V51_V002_core_rare22_c1; side=long; group=lx12_second_leg_absorption; tag=lx12_2_07; focus=raw V51 absorption floor to cut MDD spikes,5m,597,81,48,33,59.259259,0.867268,0.954709,0.141143,100.812217821,100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100),6.764105,121.7490287208,True,False,official_mdd_pass
