candidate_key,slippage_per_side,FULL_TRAIN_TO_2025_END
MIX05_A02_A03_failfast14_rr630,0.0,81528.0994560266
V3MIX00_V3N02_ref_stop250_rr635_t360,0.0,93743.3097492093
V3MIX01_N02_N06_rr645_t375_stop250,0.0,95180.72244598933
V3MIX02_N02_N01_rr640_t360_dd085,0.0,93612.90854154412
V3MIX03_N02_def_t345_rr630,0.0,91152.12186434865
V3MIX04_N02_quality_score272_close093,0.0,82195.43619979415
V3MIX05_N02_broad_ret0295_score271,0.0,86081.40374022166
V3MIX06_N02_t390_rr635_fail15,0.0,96442.075381118
V3MIX07_N02_stop255_rr630_t375,0.0,106973.54619066067
V3MIX08_N02_stop248_rr642_t360,0.0,89100.7641895339
