candidate_key,slippage_per_side,FULL_TRAIN_TO_2025_END
MIX05_A02_A03_failfast14_rr630,0.0,74307.00038895881
V3MIX00_V3N02_ref_stop250_rr635_t360,0.0,85389.42219967929
V3MIX01_N02_N06_rr645_t375_stop250,0.0,86896.25525020907
V3MIX02_N02_N01_rr640_t360_dd085,0.0,85270.64403719649
V3MIX03_N02_def_t345_rr630,0.0,83015.87399630588
V3MIX04_N02_quality_score272_close093,0.0,75527.19477936794
V3MIX05_N02_broad_ret0295_score271,0.0,78754.93619913906
V3MIX06_N02_t390_rr635_fail15,0.0,88412.32971551914
V3MIX07_N02_stop255_rr630_t375,0.0,97353.0658974033
V3MIX08_N02_stop248_rr642_t360,0.0,81280.58875599093
