candidate_key,slippage_per_side,FULL_TRAIN_TO_2025_END
MIX05_A02_A03_failfast14_rr630,0.0,5.879344393880359
V3MIX00_V3N02_ref_stop250_rr635_t360,0.0,5.60722907504152
V3MIX01_N02_N06_rr645_t375_stop250,0.0,5.831519993031997
V3MIX02_N02_N01_rr640_t360_dd085,0.0,5.607230435654731
V3MIX03_N02_def_t345_rr630,0.0,5.591723939205995
V3MIX04_N02_quality_score272_close093,0.0,5.603216504084796
V3MIX05_N02_broad_ret0295_score271,0.0,5.823455887719231
V3MIX06_N02_t390_rr635_fail15,0.0,6.222271396403201
V3MIX07_N02_stop255_rr630_t375,0.0,5.540389442518634
V3MIX08_N02_stop248_rr642_t360,0.0,5.743227545697249
