rank_by_cd,strategy,description,entry_key,filter_name,body_atr_min,exit_profile,weak_check_bars,weak_close_r,weak_exit_mode,strong_check_bars,strong_close_r,strong_protect_frac,fail_fast_bars,fail_fast_mfe_r,fail_fast_close_under_entry,time_reduce_bars,time_reduce_to_risk_frac,trail_start_r,trail_dist_r,quality_filter,min_cp,max_lwbr,min_quiet,max_quiet,min_vr,min_ret3,max_ret3,engine,min_ema20_dev,min_ema50_dev,min_slope20,min_rsi,max_rsi,max_uwbr,min_ret3_up,min_ret6_up,min_breakout20,min_vr20,min_pullback_high6,max_pullback_high6,min_ret1_up,min_ret2_up,min_prior_drop3,max_prior_drop3,min_prior_drop6,max_prior_drop6,min_red_count3,require_reclaim20,require_reclaim50,require_green,require_above20,require_above50,atr_stop,rr_target,max_hold_bars,cooldown_bars,use_tp03_gate,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,cd_value,max_conc,symbol_files,errors,ruined,is_baseline,is_v27_winner,delta_cd_vs_baseline_expected
1,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V49_RETEST_V48_TOP1_C38_FR055_WEAK_M018_RR800,V48 top1 retest: hold17 cooldown38 time_reduce2->0.55R weak1 close<-0.18 rr8.00 tighten BE next bar,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->0.55R / weak 1 close<-0.18 tighten_be_next,0.48,v48_top1_retest,1,-0.18,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,0.55,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.3,8.0,17,38,True,55206,33799,21407,61.22341774444807,2692.7198542771575,2693.478589977527,0.4448571378630306,2781.0516010753367,2781.0516010753367,450,597,0,False,False,False,2162.792312428512
2,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V49_REF_LONG_MAX2_V4_C38_FR035_WEAK_M010,official long_max2 v4 reference: hold17 cooldown38 time_reduce2->0.35R weak1 close<-0.10 tighten BE next bar,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->0.35R / weak 1 close<-0.10 tighten_be_next,0.48,long_max2_v4_reference,1,-0.1,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,0.35,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.3,7.75,17,38,True,55155,32563,22592,59.03907170700753,1492.1494905867526,1492.8233577972412,0.5959474820930177,1583.330967102259,1583.330967102259,448,597,0,False,False,False,965.0716784554342
3,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V49_REF_LONG_MAX2_V3_C38_FR025_WEAK_M010,official long_max2 v3 reference: hold17 cooldown38 time_reduce2->0.25R weak1 close<-0.10,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->0.25R / weak 1 close<-0.10 tighten_be_next,0.48,long_max2_v3_reference,1,-0.1,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,0.25,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.3,7.75,17,38,True,55105,32519,22586,59.012793757372286,1241.8601709735449,1242.5298056833878,0.5635755861888248,1334.963635461248,1334.963635461248,448,597,0,False,False,False,716.7043468144233
4,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V49_REF_LONG_MAX2_V2_AUDITED_WEAK_E1_BE_NEXT,official long_max2 v2 audited reference,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->0.15R / weak 1 close<0.00 tighten_be_next,0.48,long_max2_v2_audited_reference,1,0.0,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,0.15,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.3,7.75,17,32,True,55842,31095,24747,55.683893843343725,998.5993537197343,999.0917595255839,0.5592519919746852,1092.9450669668074,1092.9450669668074,448,597,0,False,False,False,474.68577831998266
5,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,CURRENT V35 official baseline: reversal entry plain exit,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.40,0.4,v35_plain,0,-999.0,none,0,-999.0,-999.0,0,-1.0,False,0,-999.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.3,6.25,17,32,True,55597,22513,33084,40.493192078709285,525.6012732388051,526.8003775673284,1.3626489750456883,618.2592886468248,618.2592886468248,446,597,0,False,True,False,0.0
