rank_by_general_consistency,strategy,axis,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,atr_stop_mult,rr_mult,timeout_bars,time_reduce_bars,time_reduce_to_risk_frac,fail_fast_bars,atr_pct_min,atr_pct_max,close_position_min,close_position_max,upper_body_ratio_min,upper_body_ratio_max,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,better_than_short_max_v13_cd,better_than_current_baseline_cd,mdd_under_10,mdd_under_5,short_main_formula_candidate,cd_delta_vs_short_max_v13,mdd_delta_vs_short_max_v13,cd_delta_vs_current_baseline,mdd_delta_vs_current_baseline,active_months,positive_months,negative_months,positive_month_ratio_pct,monthly_net_pnl_total,avg_month_pnl,median_month_pnl,min_month_pnl,max_month_pnl,top1_month_pnl,top3_month_pnl,top6_month_pnl,top1_month_share_pct,top3_month_share_pct,top6_month_share_pct,abs_pnl_concentration_top3_pct,active_years,positive_years,negative_years,positive_year_ratio_pct,min_year_pnl,max_year_pnl,avg_trades_per_month,general_consistency_score,elapsed_seconds_candidate,elapsed_minutes_candidate,elapsed_minutes_total_so_far,load_errors
11,smv13_general_topcombo_pre_q4_30_topcombo_30_stop235_timeout320_tr2,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,57275,3657,53618,6.384984722828459,3182.7914622117087,3082.7914622117087,3182.7914622117087,3082.7914622117087,2.1901471347068546,3113.083646198385,2.566054129237572,304,304,2271,0,0,0,57275,57275,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.35,5.4,320,2,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3623.6722373692724,-1.0800224350055676,-3623.6722373692724,-1.0800224350055676,71,66,5,92.95774647887323,3082.7914622116855,43.41959805931951,5.95338680177663,-0.7105800874509683,916.0383749879549,916.0383749879549,1653.284365209974,2231.9289495001653,29.71457480068282,53.62945841376695,72.39960849959385,53.5940600025966,7,6,1,85.71428571428571,-0.005599865601791986,2512.4272558405755,806.6901408450705,1341.8950322130477,43.717,0.729,32.622,45
12,smv13_general_topcombo_pre_q4_18_topcombo_18_stop240_timeout280,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53844,4308,49536,8.000891464229998,3135.3461735184014,3035.3461735184014,3135.3461735184014,3035.3461735184014,2.321789084623893,3062.5500482964785,2.195517869794666,306,306,2081,0,0,0,53844,53844,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,280,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3674.205835271179,-0.9483804850885291,-3674.205835271179,-0.9483804850885291,71,66,5,92.95774647887323,3035.346173518402,42.75135455659721,5.479421503925139,-0.62931353495542,896.9686754056991,896.9686754056991,1613.9620762955103,2174.676377540581,29.55078676795483,53.17225726595451,71.6450860370835,53.13925843414935,7,7,0,100.0,0.04903983106036271,2487.211577341626,758.3661971830986,1333.1284761882482,44.207,0.737,23.334,45
13,smv13_general_topcombo_pre_q4_24_topcombo_24_stop240_timeout280_tr2,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,57288,3778,53510,6.59474933668482,3137.5804618709167,3037.5804618709167,3137.5804618709167,3037.5804618709167,2.2261250064765425,3067.7339986108864,2.5815107866448637,304,304,2152,0,0,0,57288,57288,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.4,5.4,280,2,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3669.021884956771,-1.0440445632358797,-3669.021884956771,-1.0440445632358797,71,65,6,91.54929577464789,3037.580461870906,42.78282340663248,5.65914871856495,-0.6519469763767171,887.9774062382205,887.9774062382205,1629.0912453286649,2174.467478411333,29.233049704675068,53.63121292679356,71.58551043194541,53.59937702235326,7,6,1,85.71428571428571,-0.005599865601791986,2465.3975055145834,806.8732394366198,1302.2622250174063,41.026,0.684,27.939,45
14,smv13_general_topcombo_pre_q4_27_topcombo_27_stop235_timeout280,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53975,4321,49654,8.005558128763317,2979.972075591667,2879.972075591667,2979.972075591667,2879.972075591667,2.43388623787294,2907.442945351385,2.146106471539221,306,306,2203,0,0,0,53975,53975,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.35,5.4,280,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3829.3129382162724,-0.8362833318394824,-3829.3129382162724,-0.8362833318394824,71,66,5,92.95774647887323,2879.9720755916724,40.562986980164396,5.532897476998339,-0.7607647564244969,836.6349986037147,836.6349986037147,1518.5797506898098,2049.6968031606093,29.050108009531073,52.72897482444606,71.17071795703129,52.68655499992248,7,7,0,100.0,0.02195391561636818,2344.8341597770536,760.2112676056338,1277.5908974603763,44.148,0.736,30.319,45
15,smv13_general_topcombo_pre_q4_14_topcombo_14_stop230_timeout320_rr560,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53968,4165,49803,7.717536317817967,2914.4808596565395,2814.4808596565395,2914.4808596565395,2814.4808596565395,2.9765524071241556,2827.7298094732596,2.126085408752206,307,307,2355,0,0,0,53968,53968,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.6,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3909.0260740943977,-0.29361716258826664,-3909.0260740943977,-0.29361716258826664,71,66,5,92.95774647887323,2814.4808596565376,39.64057548812025,5.012336302509061,-0.7631675732426515,827.4837886034483,827.4837886034483,1481.3160998969497,2009.9937784607896,29.400938569695207,52.631947906645934,71.41614666038542,52.59111167793221,7,7,0,100.0,0.02658290061475919,2301.6884324793514,760.112676056338,1245.1137313788631,51.455,0.858,20.385,45
16,smv13_general_topcombo_pre_q4_11_topcombo_11_stop230_timeout320_tr2,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,57355,3663,53692,6.3865399703600385,2971.330622254386,2871.330622254386,2971.330622254386,2871.330622254386,2.2213343998870205,2905.327433007872,2.5121698596451942,304,304,2427,0,0,0,57355,57355,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.4,320,2,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3831.4284505597852,-1.0488351698254017,-3831.4284505597852,-1.0488351698254017,71,65,6,91.54929577464789,2871.3306222543833,40.44127636978005,5.649307323426793,-0.6917721447131044,848.6938622196159,848.6938622196159,1537.6291806145427,2074.0010943653365,29.557510919911977,53.551101663356896,72.23135776460897,53.51316644654295,7,6,1,85.71428571428571,-0.005599865601791986,2332.7255045011943,807.8169014084507,1235.4509587434916,40.108,0.668,18.042,45
17,smv13_general_topcombo_pre_q4_01_topcombo_01_control_stop230_timeout320,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53989,4177,49812,7.736761192094686,2863.3773989032834,2763.3773989032834,2863.3773989032834,2763.3773989032834,2.9277285125605013,2779.5454823733785,2.117960550310263,307,307,2356,0,0,0,53989,53989,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.035,4,edge_current,False,False,True,True,True,-3957.210401194279,-0.34244105715192097,-3957.210401194279,-0.34244105715192097,71,66,5,92.95774647887323,2763.3773989032793,38.920808435257456,5.026595587424803,-0.7631675732426515,810.8811591754659,810.8811591754659,1460.7858996905684,1977.764920648049,29.34384422110733,52.8623379589889,71.57056873349902,52.820150239709264,7,7,0,100.0,0.02658290061475919,2255.120957379137,760.4084507042254,1217.9442518307806,50.26,0.838,10.969,45
18,smv13_general_topcombo_pre_q4_07_topcombo_07_stop230_timeout320_dd030_freeze5,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53989,4177,49812,7.736761192094686,2863.3773989032834,2763.3773989032834,2863.3773989032834,2763.3773989032834,2.9277285125605013,2779.5454823733785,2.117960550310263,307,307,2356,0,0,0,53989,53989,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,5,edge_current,False,False,True,True,True,-3957.210401194279,-0.34244105715192097,-3957.210401194279,-0.34244105715192097,71,66,5,92.95774647887323,2763.3773989032793,38.920808435257456,5.026595587424803,-0.7631675732426515,810.8811591754659,810.8811591754659,1460.7858996905684,1977.764920648049,29.34384422110733,52.8623379589889,71.57056873349902,52.820150239709264,7,7,0,100.0,0.02658290061475919,2255.120957379137,760.4084507042254,1217.9442518307806,44.161,0.736,15.2,45
19,smv13_general_topcombo_pre_q4_08_topcombo_08_stop230_timeout320_dd030_freeze4,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53989,4177,49812,7.736761192094686,2863.3773989032834,2763.3773989032834,2863.3773989032834,2763.3773989032834,2.9277285125605013,2779.5454823733785,2.117960550310263,307,307,2356,0,0,0,53989,53989,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.03,4,edge_current,False,False,True,True,True,-3957.210401194279,-0.34244105715192097,-3957.210401194279,-0.34244105715192097,71,66,5,92.95774647887323,2763.3773989032793,38.920808435257456,5.026595587424803,-0.7631675732426515,810.8811591754659,810.8811591754659,1460.7858996905684,1977.764920648049,29.34384422110733,52.8623379589889,71.57056873349902,52.820150239709264,7,7,0,100.0,0.02658290061475919,2255.120957379137,760.4084507042254,1217.9442518307806,43.041,0.717,15.919,45
20,smv13_general_topcombo_pre_q4_09_topcombo_09_stop230_timeout320_dd040_freeze4,short_max,short_max/v13,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20250930_FAST_SIGNAL_PRECOMPUTE_CHUNKED_MEMSAFE,train_pre_q4_until_2025_09_30_end,2025-09-30 23:59:59,2025-10-01 00:00:00,53989,4177,49812,7.736761192094686,2863.3773989032834,2763.3773989032834,2863.3773989032834,2763.3773989032834,2.9277285125605013,2779.5454823733785,2.117960550310263,307,307,2356,0,0,0,53989,53989,0.0004,0.01,0.032,1.3,2.35,1.3,0.8,0.7,2.3,5.4,320,3,0.0,12,0.0,999.0,-999.0,999.0,0.0,inf,0.04,4,edge_current,False,False,True,True,True,-3957.210401194279,-0.34244105715192097,-3957.210401194279,-0.34244105715192097,71,66,5,92.95774647887323,2763.3773989032793,38.920808435257456,5.026595587424803,-0.7631675732426515,810.8811591754659,810.8811591754659,1460.7858996905684,1977.764920648049,29.34384422110733,52.8623379589889,71.57056873349902,52.820150239709264,7,7,0,100.0,0.02658290061475919,2255.120957379137,760.4084507042254,1217.9442518307806,43.737,0.729,16.649,45
