run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range_atr_min,range_atr_max,body_atr_max,close_pos_min,lower_wick_rng_min,upper_wick_rng_max,wick_balance_min,ret1_min,ret5_min,ret20_min,ret60_min,ret20_max,ret60_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,rsi_min,rsi_max,volr_min,volr_max,pre_range_atr_max,pre_upper_wick_max,pre_down_count_min,pre_down_count_max,fail_bars,fail_pnl,verdict,note
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_A_018_LW34_S85_RR260,lower_wick_reclaim_shape,lower_wick_absorption_close_high,long,3746255,1175567,2570688,31.37979128489652,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_A_018_LW34_S85_RR260,0.85,2.6,8,18,0.001,0.08,0.6,2.2,1.6,0.58,0.34,0.42,0.16000000000000003,-0.01,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,3,-0.34,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_019_BD60_RR160_H8,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4170706,1551733,2618973,37.20552347732015,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_019_BD60_RR160_H8,0.75,1.6,8,18,0.001,0.08,0.45,1.8,0.6,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_020_BD60_RR160_H14,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4146930,1534771,2612159,37.00981207785036,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_020_BD60_RR160_H14,0.75,1.6,14,18,0.001,0.08,0.45,1.8,0.6,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_021_BD60_RR220_H8,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4090657,1309353,2781304,32.00837909411618,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_021_BD60_RR220_H8,0.75,2.2,8,18,0.001,0.08,0.45,1.8,0.6,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_022_BD60_RR220_H14,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4034814,1236766,2798048,30.652367122747172,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_022_BD60_RR220_H14,0.75,2.2,14,18,0.001,0.08,0.45,1.8,0.6,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_023_BD90_RR160_H8,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4328946,1605977,2722969,37.09856856611286,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_023_BD90_RR160_H8,0.75,1.6,8,18,0.001,0.08,0.45,1.8,0.9,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_024_BD90_RR160_H14,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4303304,1588115,2715189,36.904550549996,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_024_BD90_RR160_H14,0.75,1.6,14,18,0.001,0.08,0.45,1.8,0.9,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_025_BD90_RR220_H8,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4243259,1353349,2889910,31.894093667155367,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_025_BD90_RR220_H8,0.75,2.2,8,18,0.001,0.08,0.45,1.8,0.9,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_026_BD90_RR220_H14,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4183488,1278006,2905482,30.548814768920096,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_026_BD90_RR220_H14,0.75,2.2,14,18,0.001,0.08,0.45,1.8,0.9,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
LONG_INTRABAR_RISK_SHAPE_V11_1H,IRS_B_027_BD120_RR160_H8,compact_body_stop_geometry,compact_body_high_close_stop_take_geometry,long,4375901,1622396,2753505,37.07570166692528,-100.0,0.0,100.0,0.0,597,0,0.01,0.0004,0.08,IRS_B_027_BD120_RR160_H8,0.75,1.6,8,18,0.001,0.08,0.45,1.8,1.2,0.6,0.12,0.38,0.05,-0.006,-0.06,-0.16,-0.3,0.2,0.5,0.9,0.84,0.74,28.0,70.0,0.35,3.8,1.8,0.55,1,5,4,-0.36,invalid_ruin,MDD >= 100
