run_tag,experiment_name,side,family,final_return_pct,mdd_pct,cd_value,pf,win_rate_pct,trades,max_conc,baseline_name,delta_cd_value_vs_baseline,code_path,result_path,summary_file,verdict
1V2,1V2_L01_mirror_exact,long_only,behavioral_mirror_from_short_top,-3.16539,-3.16539,93.769417,0.011538,18.75,16,4,long_hybrid_wick_bridge_halfhalf,-15.041183,run_1V2_batch.py,local_results\1V2\1V2_L01_mirror_exact,local_results\1V2\1V2_L01_mirror_exact\summary.json,candidate_under_mdd5
1V2,1V2_L02_mirror_capped,long_only,behavioral_mirror_plus_long_caps,-0.658773,-0.718351,98.627608,0.12,50.0,6,1,long_hybrid_wick_bridge_halfhalf,-10.182992,run_1V2_batch.py,local_results\1V2\1V2_L02_mirror_capped,local_results\1V2\1V2_L02_mirror_capped\summary.json,candidate_under_mdd5
