strategy_key,period,path,error,traceback
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\STMX_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\STO_5m.csv,Error tokenizing data. C error: out of memory,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
pandas.errors.ParserError: Error tokenizing data. C error: out of memory
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\STORJ_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\STPT_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\STRAX_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\STRK_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\STX_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SUI_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SUN_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SUPER_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SUSHI_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SWARMS_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SWELL_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SXP_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SXT_5m.csv,Error tokenizing data. C error: out of memory,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
pandas.errors.ParserError: Error tokenizing data. C error: out of memory
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SYN_5m.csv,Error tokenizing data. C error: out of memory,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
pandas.errors.ParserError: Error tokenizing data. C error: out of memory
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\SYS_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\T_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TANSSI_5m.csv,Error tokenizing data. C error: out of memory,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
pandas.errors.ParserError: Error tokenizing data. C error: out of memory
"
short_main2_v6,FULL_TO_2026_END,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\TAO_5m.csv,,"Traceback (most recent call last):
  File ""c:\Users\user\Desktop\LCD\파이썬\코인\22_gpt_\short_main_v15_main2_v6_breakeven_audit_embedded.py"", line 760, in load_symbols_for_period
    full = load_symbol(path, cfg, end_ts=end_ts)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
"
