strategy,baseline_version,audit_mode,symbol,entry_ts,exit_ts,bars_held,entry,old_stop_before_reduce,new_stop_after_reduce,bar_open,bar_high,bar_low,bar_close,target,mfe_r,retro_stop_only,old_stop_also_hit
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BTC_5m,2019-10-26T01:10:00,2019-10-26T01:25:00,3,8354.94,8608.654955834629,8354.94,8363.93,8400.0,8356.97,8376.52,6781.907273825304,0.09829928991752628,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BTC_5m,2019-10-26T09:45:00,2019-10-26T10:00:00,3,9220.08,9491.214577276132,9220.08,9205.18,9323.97,9195.0,9242.54,7539.04562088798,0.6045337398374997,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BTC_5m,2019-10-26T10:50:00,2019-10-26T11:05:00,3,9943.69,10439.660074981839,9943.69,10055.02,10109.63,9863.9,9955.22,6868.675535112606,0.20846015760887857,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BTC_5m,2019-11-27T21:10:00,2019-11-27T21:25:00,3,7293.0,7432.702146044574,7293.0,7257.06,7297.45,7240.0,7265.4,6426.846694523643,0.4142384468563266,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2019-12-28T01:10:00,2019-12-28T01:25:00,3,202.35,205.32494644945544,202.35,201.88,203.06,201.75,202.88,183.90533201337618,0.9916144878977468,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BTC_5m,2020-01-03T13:45:00,2020-01-03T14:00:00,3,7239.54,7320.763440094696,7239.54,7204.86,7244.38,7204.61,7217.45,6735.954671412882,1.1252909245587057,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-01-03T13:50:00,2020-01-03T14:05:00,3,203.0,205.64767260363186,203.0,203.83,204.0,202.76,203.09,186.5844298574825,0.2454986311783373,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-01-06T11:00:00,2020-01-06T11:15:00,3,232.89,236.3501718240574,232.89,232.73,235.14,232.73,234.18,211.43693469084388,0.0520205380404804,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-01-14T09:45:00,2020-01-14T10:00:00,3,277.36,281.848283129444,277.36,275.84,278.6,275.73,277.64,249.53264459744744,0.6461267964526349,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,LTC_5m,2020-01-14T23:30:00,2020-01-14T23:45:00,3,56.9,57.95933429024312,56.9,57.08,57.61,56.96,57.06,50.33212740049263,0.48143442980869594,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETH_5m,2020-01-15T02:50:00,2020-01-15T03:05:00,3,164.31,167.71740859819812,164.31,164.94,165.71,164.5,165.52,143.18406669117172,0.6749997641070368,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-01-15T19:00:00,2020-01-15T19:15:00,3,343.66,350.75363711498943,343.66,340.69,344.0,340.42,341.28,299.6794498870656,0.6386004706144008,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETC_5m,2020-01-18T01:05:00,2020-01-18T01:20:00,3,11.437,11.970136340073537,11.437,11.552,12.0,11.544,12.0,8.131554691544066,0.7727854378547336,0,1
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETC_5m,2020-01-18T01:30:00,2020-01-18T01:45:00,3,11.785,12.443642199892388,11.785,11.897,11.911,11.612,11.681,7.701418360667192,0.31276465436568845,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-01-18T09:40:00,2020-01-18T09:55:00,3,389.65,399.4122234424569,389.65,395.22,408.37,395.0,401.92,329.12421465676715,0.32984289070826445,0,1
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETC_5m,2020-01-22T14:05:00,2020-01-22T14:20:00,3,9.407,9.525693364084177,9.407,9.423,9.428,9.358,9.387,8.6711011426781,0.46337889590014236,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-01-24T20:40:00,2020-01-24T20:55:00,3,316.07,322.2927067967721,316.07,315.01,321.98,315.01,319.65,277.489217860013,0.4821053117200043,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,LTC_5m,2020-01-24T21:05:00,2020-01-24T21:20:00,3,53.99,54.82476859281518,53.99,53.87,53.99,53.64,53.67,48.81443472454586,0.5151128153370778,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-01-27T09:30:00,2020-01-27T09:45:00,3,361.75,367.57278804425505,361.75,360.55,363.5,359.63,359.79,325.6487141256186,0.7213039471948206,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETC_5m,2020-01-28T00:45:00,2020-01-28T01:00:00,3,10.735,10.992819201070255,10.735,10.78,11.152,10.665,10.923,9.136520953364421,0.44604901234126176,0,1
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETC_5m,2020-01-29T15:20:00,2020-01-29T15:35:00,3,12.319,12.557934566350797,12.319,12.327,12.374,12.222,12.269,10.837605688625066,0.4059688871370294,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETC_5m,2020-02-03T10:40:00,2020-02-03T10:55:00,3,12.072,12.247676597379405,12.072,12.142,12.162,12.065,12.077,10.982805096247683,0.2106142796020276,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XRP_5m,2020-02-05T00:15:00,2020-02-05T00:30:00,3,0.2692,0.273980008789007,0.2692,0.2681,0.2693,0.267,0.2685,0.2395639455081563,0.7740571541435564,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XLM_5m,2020-02-05T00:15:00,2020-02-05T00:30:00,3,0.06559,0.06639433760997575,0.06559,0.06528,0.0656,0.06511,0.06548,0.0606031068181503,0.721090239728413,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-02-05T19:40:00,2020-02-05T19:55:00,3,416.8,423.89964822844627,416.8,415.52,418.93,415.27,417.28,372.7821809836332,0.48875660995381853,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ETC_5m,2020-02-06T12:45:00,2020-02-06T13:00:00,3,12.986,13.17611178560471,12.986,12.999,13.011,12.91,12.953,11.807306929250798,0.3997648002634801,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,LINK_5m,2020-02-07T17:05:00,2020-02-07T17:20:00,3,3.283,3.357609333943286,3.283,3.271,3.29,3.26,3.277,2.820422129551626,1.0186393040014414,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ZEC_5m,2020-02-08T14:30:00,2020-02-08T14:45:00,3,71.43,72.64462369622018,71.43,71.85,72.01,70.95,71.23,63.89933308343496,0.4034171254231725,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,DASH_5m,2020-02-08T15:10:00,2020-02-08T15:25:00,3,129.09,132.53583012084636,129.09,129.55,129.6,128.32,128.76,107.72585325075254,0.4295046325837114,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-10T01:10:00,2020-02-10T01:25:00,3,2.631,2.7109810675265065,2.631,2.652,2.662,2.648,2.656,2.1351173813356574,0.1500355067906865,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-12T15:50:00,2020-02-12T16:05:00,3,3.219,3.282990148975569,3.219,3.223,3.343,3.223,3.34,2.822261076351472,0.3281755135156437,0,1
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-13T22:20:00,2020-02-13T22:35:00,3,3.301,3.369355959172839,3.301,3.325,3.379,3.318,3.367,2.8771930531283996,0.24869814140147847,0,1
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XRP_5m,2020-02-13T22:25:00,2020-02-13T22:40:00,3,0.3376,0.34499783382569754,0.3376,0.3383,0.3388,0.3323,0.3339,0.2917334302806752,0.7164259328980382,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BCH_5m,2020-02-14T19:30:00,2020-02-14T19:45:00,3,494.15,500.38730029804117,494.15,495.28,497.72,493.48,493.55,455.4787381521446,0.37676556967090036,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,LINK_5m,2020-02-14T23:15:00,2020-02-14T23:30:00,3,4.324,4.412253528484378,4.324,4.333,4.394,4.332,4.34,3.7768281233968564,0.498563635422103,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,LINK_5m,2020-02-16T04:45:00,2020-02-16T05:00:00,3,4.485,4.6287448208113675,4.485,4.488,4.498,4.432,4.462,3.5937821109695243,0.36870893643918184,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ZEC_5m,2020-02-18T00:50:00,2020-02-18T01:05:00,3,63.53,65.6084750581071,63.53,62.73,63.66,62.0,63.66,50.64345463973597,0.7361166033877719,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,LINK_5m,2020-02-18T01:00:00,2020-02-18T01:15:00,3,4.269,4.410681123762872,4.269,4.292,4.303,4.24,4.278,3.390577032670195,0.4164280917106996,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,DASH_5m,2020-02-18T01:00:00,2020-02-18T01:15:00,3,113.5,117.25442277317059,113.5,113.82,114.31,112.7,113.88,90.22257880634234,0.5406956335622469,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-18T01:00:00,2020-02-18T01:15:00,3,3.046,3.146230225916715,3.046,3.127,3.137,3.107,3.11,2.424572599316365,0.009977030290551515,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-19T00:30:00,2020-02-19T00:45:00,3,3.355,3.4306782289664333,3.355,3.385,3.394,3.336,3.35,2.885794980408114,0.2510629577289329,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-20T02:00:00,2020-02-20T02:15:00,3,3.901,3.9597050633458917,3.901,3.896,3.904,3.872,3.876,3.537028607255471,0.6302693139430748,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,ATOM_5m,2020-02-22T08:20:00,2020-02-22T08:35:00,3,4.944,5.030158066511525,4.944,4.968,4.974,4.92,4.925,4.409819987628544,0.2785577830578361,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-26T21:45:00,2020-02-26T22:00:00,3,2.766,2.839275309822166,2.766,2.774,2.78,2.754,2.762,2.3116930791025707,0.42306201195511745,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-27T02:10:00,2020-02-27T02:25:00,3,2.792,2.9032251727671157,2.792,2.852,2.862,2.796,2.798,2.1024039288438807,0.12587078672660804,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-27T03:10:00,2020-02-27T03:25:00,3,2.927,3.0438831036447604,2.927,2.922,2.954,2.914,2.944,2.202324757402487,0.35933337403197113,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-02-27T11:00:00,2020-02-27T11:15:00,3,2.786,2.901283720885181,2.786,2.806,2.835,2.804,2.82,2.0712409305118773,0.3643185670753157,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,DASH_5m,2020-02-28T01:45:00,2020-02-28T02:00:00,3,93.2,94.63874518107123,93.2,92.73,93.57,92.66,93.03,84.27977987735842,0.9939216609123905,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,XTZ_5m,2020-03-05T09:30:00,2020-03-05T09:45:00,3,3.132,3.2066070551732015,3.132,3.119,3.155,3.116,3.133,2.6694362579261517,0.5629494409408955,1,0
SM42_mdd10_aggr_v01_single_retest,short_main/v15,official_like_samebar_reduce,BAT_5m,2020-03-11T12:25:00,2020-03-11T12:40:00,3,0.2113,0.21438666835953074,0.2113,0.2118,0.2118,0.2097,0.211,0.19216265617090927,0.5183582470269736,1,0
