group_by,group_key,trades,wins,losses,win_rate_pct,sum_pnl_pct,avg_pnl_pct,avg_mae_pct,avg_mfe_pct
exit_reason,stop,208,0,208,0.0,-722.0695765895746,-3.4714883489883395,-7.396082112711388,1.9585080326825908
exit_reason+shock_recency_bucket,stop | 0-2,163,0,163,0.0,-580.6879428930131,-3.5625027171350494,-7.974621149241884,1.833206236997839
exit_reason+shock_recency_bucket,stop | 3-4,35,0,35,0.0,-112.24401075578717,-3.2069717358796335,-5.246622157540742,2.676814061647389
ret20_bin,"(-0.0818, 0.0676]",112,38,74,33.92857142857143,-74.31737209517074,-0.663547965135453,-3.173860615409488,2.981143116224742
exit_reason+shock_recency_bucket,stop | 7-10,6,0,6,0.0,-18.75851894001273,-3.126419823335455,-6.035879114670908,1.2092848941438232
vol_ratio_bin+close_pos_bin,"(4.411, 9.728] | (0.862, 0.912]",17,6,11,35.294117647058826,-15.932538510918878,-0.9372081477011105,-6.664149965547415,3.677941890093715
atrp_bin+body_atr_bin,"(0.007410000000000001, 0.0207] | (0.445, 0.56]",28,9,19,32.142857142857146,-7.378302350091973,-0.26351079821757045,-1.8877769849347585,2.0156737982822155
atrp_bin+body_atr_bin,"(0.0207, 0.0264] | (0.445, 0.56]",22,6,16,27.27272727272727,-7.133755271473839,-0.32426160324881087,-4.615767037061543,4.051001108074683
symbol,SUSHI,6,1,5,16.666666666666664,-3.9965949434041286,-0.6660991572340215,-4.853830334789204,3.1333042071730453
vol_ratio_bin+close_pos_bin,"(1.4520000000000002, 2.206] | (0.912, 0.95]",23,6,17,26.08695652173913,-1.5369188699684764,-0.06682255956384679,-4.8116061295053605,3.653241345272864
atrp_bin+body_atr_bin,"(0.0207, 0.0264] | (0.35, 0.445]",24,8,16,33.33333333333333,4.344499332009551,0.18102080550039798,-3.540226072103279,3.0491227610263674
shock_recency_bucket,7-10,12,6,6,50.0,4.633445383028667,0.3861204485857222,-3.8404126056064976,3.2092252832171133
symbol,REN,5,2,3,40.0,5.78413155787485,1.15682631157497,-4.766328915283678,4.953560159151037
symbol,LIT,6,3,3,50.0,6.108636688209821,1.0181061147016368,-4.186596934260835,3.307614669174591
symbol,DOGE,5,3,2,60.0,8.027710679217885,1.6055421358435769,-2.4503127909381783,4.576089221671696
atrp_bin+body_atr_bin,"(0.0264, 0.0326] | (0.56, 0.698]",25,10,15,40.0,9.922968027146378,0.39691872108585513,-4.083132245726213,3.780514301881208
vol_ratio_bin+close_pos_bin,"(1.4520000000000002, 2.206] | (0.771, 0.862]",23,8,15,34.78260869565217,10.53173949459951,0.4579017171565004,-3.560383066565115,3.821008151144319
atrp_bin+body_atr_bin,"(0.0207, 0.0264] | (0.56, 0.698]",11,5,6,45.45454545454545,10.8594388873683,0.9872217170334818,-3.2435925600720625,3.8355759326913397
atrp_bin+body_atr_bin,"(0.007410000000000001, 0.0207] | (0.56, 0.698]",26,13,13,50.0,18.23682641780583,0.7014164006848396,-1.5375980542855858,2.8926796554338923
symbol,1000SHIB,5,3,2,60.0,18.291867323093662,3.6583734646187325,-2.9164190684558866,5.832731328972881
symbol,ENJ,8,5,3,62.5,18.996657637925097,2.374582204740637,-4.3817833132468325,4.655360888099812
symbol,IOST,6,4,2,66.66666666666666,19.120698761006473,3.186783126834412,-4.0138010384117715,5.524550954636019
symbol,TRB,5,4,1,80.0,19.22485158733362,3.844970317466724,-1.2907548200345504,6.791342194636878
exit_reason+shock_recency_bucket,time | 5-6,6,4,2,66.66666666666666,19.947434386189798,3.3245723976982995,-1.0053909542325323,5.246194372932334
symbol,BEL,5,4,1,80.0,20.252782571494222,4.050556514298845,-1.434732637237409,6.828607097494199
symbol,DEFI,7,5,2,71.42857142857143,20.774569031581898,2.967795575940271,-2.9033013510897776,4.705817807366371
symbol,ANKR,5,4,1,80.0,21.21376873789922,4.242753747579844,-1.0808398360321656,6.096066832732248
atrp_bin+body_atr_bin,"(0.007410000000000001, 0.0207] | (0.698, 0.938]",25,15,10,60.0,22.88278132559149,0.9153112530236597,-1.6198759895209585,2.8175504249212056
symbol,LTC,6,3,3,50.0,23.723864283939893,3.953977380656649,-3.008483757211701,6.609022330834276
vol_ratio_bin+close_pos_bin,"(2.93, 3.557] | (0.771, 0.862]",26,10,16,38.46153846153847,25.69457827286182,0.9882530104946853,-3.93683334054162,4.751094718247836
symbol,OCEAN,6,5,1,83.33333333333334,26.3430539596351,4.390508993272516,-1.0778292783061534,6.874824109213029
symbol,LRC,5,4,1,80.0,26.770935130194765,5.354187026038953,-0.8911364599480075,7.376005259556311
shock_recency_bucket,5-6,12,6,6,50.0,27.98693118373116,2.33224426531093,-2.101539435036148,5.0176363866509055
symbol,SXP,7,5,2,71.42857142857143,28.87607260142721,4.125153228775316,-1.1417836184065593,6.4546199049269
symbol,XLM,5,5,0,100.0,29.264590337097886,5.852918067419577,-1.1243590093930056,7.073091973649406
symbol,FTM,6,3,3,50.0,29.520285917523243,4.92004765292054,-1.5197538495721865,7.538195272812679
vol_ratio_bin+close_pos_bin,"(3.557, 4.411] | (0.912, 0.95]",20,11,9,55.00000000000001,30.747035157224147,1.5373517578612073,-3.4301778162398278,4.3554017842451085
exit_reason+shock_recency_bucket,time | 3-4,8,7,1,87.5,30.85620968760299,3.857026210950374,-1.4332551043471167,5.622268787053177
symbol,CRV,5,4,1,80.0,32.027830025804214,6.405566005160843,-5.248768956921788,7.86228540936131
vol_ratio_bin+close_pos_bin,"(4.411, 9.728] | (0.912, 0.95]",18,11,7,61.111111111111114,33.26111371797365,1.8478396509985362,-3.4521232349370483,5.1744587049497595
atrp_bin+body_atr_bin,"(0.0326, 0.0431] | (0.35, 0.445]",17,8,9,47.05882352941176,33.96289199394521,1.9978171761144243,-4.0373118678501045,6.607663361716184
atrp_bin+body_atr_bin,"(0.0264, 0.0326] | (0.698, 0.938]",20,10,10,50.0,34.774836487924986,1.7387418243962494,-3.834293998377172,4.717626936831915
atrp_bin+body_atr_bin,"(0.0264, 0.0326] | (0.445, 0.56]",23,13,10,56.52173913043478,39.75731801734623,1.7285790442324447,-4.400909269521461,4.624936902010474
atrp_bin+body_atr_bin,"(0.007410000000000001, 0.0207] | (0.35, 0.445]",29,18,11,62.06896551724138,40.610749088641,1.400370658229,-1.465278195288816,3.618247755027852
symbol,LINK,5,4,1,80.0,40.850375940180065,8.170075188036012,-2.6203942399205253,14.473578543341251
atrp_bin+body_atr_bin,"(0.0264, 0.0326] | (0.35, 0.445]",23,12,11,52.17391304347826,42.02911218102576,1.8273527035228592,-3.0562592962876103,5.91081424545728
vol_ratio_bin+close_pos_bin,"(3.557, 4.411] | (0.771, 0.862]",26,8,18,30.76923076923077,47.65147113893421,1.832748889959008,-6.249726304577637,6.797234341676107
vol_ratio_bin+close_pos_bin,"(2.93, 3.557] | (0.912, 0.95]",25,16,9,64.0,49.249898979892606,1.9699959591957041,-2.5774575005978084,5.530103098617719
atrp_bin+body_atr_bin,"(0.0326, 0.0431] | (0.445, 0.56]",18,11,7,61.111111111111114,51.10392557385152,2.8391069763250845,-5.552193289768272,5.979770312584181
symbol,ATOM,5,5,0,100.0,60.226535505814326,12.045307101162866,-0.6553003446708491,13.390716098985951
atrp_bin+body_atr_bin,"(0.0326, 0.0431] | (0.56, 0.698]",22,12,10,54.54545454545454,63.85346045043216,2.902430020474189,-5.1815678442869055,6.323188343488611
vol_ratio_bin+close_pos_bin,"(3.557, 4.411] | (0.862, 0.912]",19,10,9,52.63157894736842,65.99263511589086,3.4732965850468873,-4.769303739740901,7.095322640823521
atrp_bin+body_atr_bin,"(0.0264, 0.0326] | (0.938, 1.582]",20,16,4,80.0,70.84245629306601,3.5421228146533004,-1.3260980306390917,6.161987385413851
vol_ratio_bin+close_pos_bin,"(2.93, 3.557] | (0.95, 0.98]",15,11,4,73.33333333333333,73.33691928066922,4.889127952044615,-2.408459093113197,8.018951354060599
vol_ratio_bin+close_pos_bin,"(1.4520000000000002, 2.206] | (0.98, 1.0]",16,11,5,68.75,74.69526244435927,4.6684539027724545,-2.7260000446770034,8.280545049779676
symbol,DOT,6,6,0,100.0,76.39121827044545,12.731869711740908,-0.8558922396145534,16.79129751850903
atrp_bin+body_atr_bin,"(0.0207, 0.0264] | (0.698, 0.938]",28,21,7,75.0,79.83649085289805,2.851303244746359,-1.3608467307712135,4.661150357512631
atrp_bin,"(0.007410000000000001, 0.0207]",112,58,54,51.78571428571429,80.1650320396163,0.7157592146394313,-1.6165676837362373,2.8378732652021483
shock_recency_bucket,3-4,65,28,37,43.07692307692308,83.12528875536916,1.2788505962364485,-3.5607336089423507,5.475735973377077
vol_ratio_bin+close_pos_bin,"(4.411, 9.728] | (0.771, 0.862]",11,7,4,63.63636363636363,83.75140394043845,7.613763994585313,-5.187510257734722,15.728334052896683
vol_ratio_bin+close_pos_bin,"(1.4520000000000002, 2.206] | (0.95, 0.98]",22,10,12,45.45454545454545,88.53046304569371,4.024111956622441,-5.109105349024748,8.411376627953
vol_ratio_bin+close_pos_bin,"(3.557, 4.411] | (0.98, 1.0]",27,24,3,88.88888888888889,91.51755838611808,3.389539199485855,-1.5859612821741398,5.694039276039647
vol_ratio_bin+close_pos_bin,"(2.206, 2.93] | (0.771, 0.862]",26,12,14,46.15384615384615,91.99058185136087,3.5380993019754183,-4.006632508193584,7.236193205102764
atrp_bin+body_atr_bin,"(0.0207, 0.0264] | (0.938, 1.582]",26,23,3,88.46153846153845,92.65282447338377,3.5635701720532222,-2.0853532390503484,4.8717259650237645
vol_ratio_bin+close_pos_bin,"(2.206, 2.93] | (0.912, 0.95]",25,16,9,64.0,94.31069210052456,3.7724276840209825,-5.162098889223578,6.83141034330738
vol_ratio_bin+close_pos_bin,"(2.206, 2.93] | (0.95, 0.98]",22,13,9,59.09090909090909,94.95530991280185,4.316150450581902,-2.8268403185727458,8.326759071682513
atrp_bin+body_atr_bin,"(0.0326, 0.0431] | (0.698, 0.938]",20,15,5,75.0,101.56619805740058,5.078309902870029,-3.4233335645758585,7.819222085588277
vol_ratio_bin+close_pos_bin,"(1.4520000000000002, 2.206] | (0.862, 0.912]",28,20,8,71.42857142857143,102.72210510301986,3.6686466108221376,-2.5318208023858553,6.772255086672666
vol_ratio_bin+close_pos_bin,"(2.206, 2.93] | (0.862, 0.912]",22,12,10,54.54545454545454,114.13641726768059,5.188018966712754,-4.523708811871099,8.47862195314293
vol_ratio_bin+close_pos_bin,"(2.206, 2.93] | (0.98, 1.0]",16,9,7,56.25,123.29991657553113,7.7062447859706955,-3.4852935197992685,14.55418480083597
ret20_bin,"(-0.116, -0.0818]",111,63,48,56.75675675675676,134.04166412237444,1.207582559661031,-2.466926208124707,3.704030476587385
vol_ratio_bin+close_pos_bin,"(2.93, 3.557] | (0.862, 0.912]",25,12,13,48.0,137.04450766506284,5.481780306602514,-3.62790985553202,9.54514388754364
atrp_bin+body_atr_bin,"(0.0326, 0.0431] | (0.938, 1.582]",34,25,9,73.52941176470588,149.3156514192336,4.391636806448047,-2.8315170224413464,6.9198812939443455
ret20_bin,"(-0.152, -0.116]",111,54,57,48.64864864864865,151.8353496522457,1.3678860329031144,-4.632530792283669,4.672460303809064
