feature,all_count,win_count,loss_count,all_mean,win_mean,loss_mean,loss_minus_win_mean,win_median,loss_median,win_q25,win_q75,loss_q25,loss_q75,corr_with_pnl
mfe_pct,557,333,224,7.5559554814212975,10.989008199501127,2.452354788918697,-8.53665341058243,7.3682524427358755,1.4545274565349153,5.468883936224914,11.03487526480538,0.7699285926090583,2.635218554145987,0.8717776051864522
hold_bars,557,333,224,8.96229802513465,11.87087087087087,4.638392857142857,-7.232478013728014,14.0,2.0,5.0,18.0,1.0,6.0,0.03847173064078931
shock_ref_low_distance_pct,557,333,224,-12.659440931577844,-15.214949208982649,-8.860404072757316,6.354545136225333,-10.623616137723758,-6.66816378471442,-17.939393939393934,-6.633006150517096,-11.002506857809045,-4.193656330100659,-0.6641321795159647
mae_pct,557,333,224,-3.4343025770501807,-0.9507918262603768,-7.126307398536809,-6.175515572276431,-0.5671423344310267,-4.329348665143545,-1.174573929064955,-0.13262599469497013,-9.626404588315253,-2.8104384188097615,0.36915480489340863
rsi14,557,333,224,24.21692100916873,22.344139592959532,27.001011239515428,4.656871646555896,21.664694213457537,26.035954122932523,17.445669151550362,26.87499778909313,22.424981946254565,30.729516216365994,-0.4192117392403326
target_distance_pct,557,333,224,9.71250115961559,10.572813639988576,8.433554481203965,-2.1392591587846113,8.155330983272469,7.099345410811955,6.058050052065735,11.183284517902589,5.571148422324682,9.228939538730248,0.65801289141167
stop_distance_pct,557,333,224,3.885000463846236,4.2291254559954305,3.3734217924815857,-0.8557036635138449,3.262132393308988,2.839738164324782,2.423220020826294,4.473313807161036,2.228459368929873,3.6915758154920995,0.6580128914116701
low_break_atr,557,333,224,1.2214471292850186,1.4072919302150775,0.9451689207595295,-0.46212300945554796,1.3351782956207188,0.8097516592049787,0.8484577435604725,1.9499888270587469,0.47912704827459474,1.2425738440849592,0.11685313955117319
vol_ratio,557,333,224,3.3983025561231486,3.539778991720752,3.187982676417782,-0.35179631530296973,3.4313609558761593,2.979410620650892,2.5481063607637418,4.35706730953711,2.1996271779000685,3.8517765983837795,0.06315930927317798
range_atr,557,333,224,2.4993410110935614,2.639553624723994,2.290899938151891,-0.34865368657210327,2.5902291079046016,2.1787575588395565,1.9226338197244337,3.2651905282599176,1.70150905702985,2.695331478416456,0.04404289739964739
quiet_ratio,557,333,224,1.8826258579771882,1.9840884879367542,1.731790787546226,-0.25229770039052823,2.0063101128076832,1.7023238759979522,1.6347632970283665,2.3771731762313792,1.501219083649131,1.9276478286841987,0.3400440862168274
shock_recency,557,333,224,2.3393177737881508,2.264264264264264,2.450892857142857,0.18662859287859312,2.0,2.0,2.0,2.0,2.0,2.0,-0.0978778388690462
shock_count_10,557,333,224,1.9138240574506284,1.966966966966967,1.8348214285714286,-0.13214553839553833,1.0,1.0,1.0,3.0,1.0,3.0,0.3058506152063541
body_atr,557,333,224,0.7035014659125647,0.7555954602311954,0.6260581618585289,-0.12953729837266648,0.6752116305288645,0.5662068142159142,0.4978958337764316,0.954626530907303,0.45157060411607486,0.7323526631084736,0.08150293228967843
ret20,557,333,224,-0.15287987034926132,-0.17805398533299424,-0.11545585119933686,0.06259813413365738,-0.15684744440109244,-0.10509938874899111,-0.192493946731235,-0.10635406048250096,-0.14552901359843817,-0.07250227351057628,-0.7298496364333763
close_to_ema50,557,333,224,-0.1350383451652068,-0.15747636357612302,-0.10168182672397864,0.055794536852144375,-0.13398492805806994,-0.09069349988961617,-0.16441729476115807,-0.09066356187270896,-0.12525428983576561,-0.06186298866040782,-0.7342908267779762
ret3,557,333,224,-0.09665379723138824,-0.11820678406698222,-0.06461297305168821,0.05359381101529401,-0.0767098222949183,-0.04935048806921205,-0.14385420705699892,-0.045883940620782715,-0.0757047702021848,-0.03560718007513036,-0.6857429419582225
ret6,557,333,224,-0.1310850916018792,-0.15184174784590446,-0.10022809816768093,0.05161364967822353,-0.11712901805372089,-0.08381540409682209,-0.16261808367071529,-0.07932616239645796,-0.11414695135726485,-0.0681785542353888,-0.7062735363077964
ret10,557,333,224,-0.14048945934103366,-0.16062863709938516,-0.1105504138341987,0.05007822326518646,-0.13094894721661376,-0.09912085872131587,-0.16751804553026106,-0.08988956718567798,-0.13042602585659618,-0.07353045249365014,-0.71344398065288
ret5,557,333,224,-0.12519549789074666,-0.14477222413478885,-0.09609259682259465,0.048679627312194204,-0.11196207148067105,-0.08222275974641435,-0.15959459459459457,-0.07606900315523546,-0.1073824946008021,-0.06466650756027018,-0.7111635640995783
close_to_ema20,557,333,224,-0.11046577386494452,-0.12995875551272734,-0.08148736811176736,0.04847138740095998,-0.100735467064055,-0.0703547834386104,-0.13616264321969118,-0.06956304637829125,-0.09654660375310276,-0.05209727455641444,-0.7388286250956645
lower_wick_body_ratio,557,333,224,2.4774958302052776,2.495088706527109,2.4513421346018416,-0.04374657192526721,2.0813953488372268,2.063508055069766,1.6325581395348807,2.8216560509554105,1.5850633344744929,2.858134258641398,-0.018235132753830003
reclaim_atr,557,333,224,1.0882784872724367,1.0723355222093105,1.111979413013602,0.03964389080429154,0.974938910948577,0.9468544169282188,0.7342682944239333,1.3896265067549658,0.72065554866104,1.3756713954335975,-0.07181610406788023
upper_wick_ratio,557,333,224,0.08034942963167628,0.06676959961924665,0.10053730192693999,0.03376770230769334,0.04822888283378736,0.09557243333007812,0.019053472649050933,0.09779005524861903,0.05019949210806153,0.14953291157568072,-0.1198730175430348
close_pos,557,333,224,0.9196505703683238,0.9332304003807533,0.8994626980730601,-0.033767702307693215,0.9517711171662127,0.904427566669922,0.9022099447513809,0.9809465273509491,0.8504670884243193,0.9498005078919385,0.1198730175430348
expected_tp,557,333,224,0.0971250115961559,0.10572813639988576,0.08433554481203963,-0.021392591587846135,0.0815533098327247,0.07099345410811954,0.06058050052065735,0.11183284517902588,0.055711484223246815,0.09228939538730248,0.6580128914116695
ema20_over_50,557,333,224,-0.029424575159115108,-0.033890190968311425,-0.02278595879990808,0.011104232168403345,-0.027767947986414132,-0.023196535204161872,-0.04970588938190512,-0.0222378159212836,-0.0346063260758,-0.01055834331568431,-0.5339259154208046
