strategy,symbol,entry_ts,exit_ts,entry_i,exit_i,outcome,pnl_pct,gross_pct,hold_bars,exit_reason,entry_price,exit_price,mae_pct,mfe_pct,atrp,rsi14,vol_ratio,body_atr,close_pos,lower_wick_body_ratio,upper_wick_ratio,range_atr,body_range,ret1,ret3,ret5,ret6,ret10,ret20,ema50_slope8,ema20_over_50,close_to_ema20,close_to_ema50,quiet_ratio,low_break_atr,reclaim_atr,shock_recency,shock_count_10,shock_ref_low_distance_pct,expected_tp,stop_distance_pct,target_distance_pct
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BTC,1569384000,1569384900,4621,4624,loss,-1.4870252310674315,-1.4070252310674314,3,stop,8719.21,8596.528515350245,-2.0947998729242636,0.24107688655280055,0.013400240295880304,16.580074444049032,1.855115891393149,0.9683368304447479,0.977651264398251,2.2633021035884835,0.02234873560174902,3.2322114549890455,0.29958956705944534,0.01314653494568363,-0.03854652996323671,-0.07341118659810153,-0.07370748176461983,-0.07881981054931408,-0.08157355871931105,-0.013129741685083296,-0.017783094847495184,-0.055715983664577085,-0.0725082758900436,2.24731306125236,1.518407610829092,1.6415680049434587,2,2,-2.8494771905697713,0.0351756307766858,1.407025231067432,3.51756307766858
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ETC,1579397400,1579402800,678,696,loss,-0.6056869772998651,-0.5256869772998651,18,time,8.37,8.326,-1.7682198327359584,2.353643966547204,0.02359169823065675,32.412106326072646,2.305219259126087,0.4253971967505702,0.9456521739130399,3.142857142857149,0.05434782608696014,1.8636448619548887,0.22826086956521618,0.00952840429381241,-0.04550119739993164,-0.046697038724373585,-0.06270996640537518,-0.04397487150199908,-0.08203553410835718,-0.01480030985981351,-0.02512543867187156,-0.04303047769880464,-0.06707475674223362,1.5383781903208187,0.9520794403465215,0.8102803747629861,2,1,-2.8460700012110873,0.06192820785547396,2.477128314218959,6.192820785547397
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LINK,1581904200,1581907200,8746,8756,win,6.313581066462333,6.393581066462333,10,target,4.173,4.439804137903473,-2.492211838006233,6.44620177330458,0.024356499300808902,32.38466281672392,2.288816963346572,0.7083848154873003,0.8737373737373721,1.4027777777777763,0.1262626262626278,1.948058242590078,0.3636363636363632,0.017556693489392927,-0.04135079255685725,-0.05417044424297368,-0.054384772263766146,-0.08746993221080257,-0.07410694475260693,-0.016843978407361182,-0.022899378062518627,-0.049193256388480155,-0.07096613947483255,1.474578590332699,0.6198367135513845,1.082254579216711,2,2,-5.235726131248519,0.06393581066462337,2.557432426584935,6.393581066462337
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ETH,1584043200,1584043800,30567,30569,loss,-5.902027337638577,-5.822027337638577,2,stop,139.55,131.42536085032538,-6.055177355786468,6.771766391974195,0.05544787940608177,27.46878061988899,1.8021477482957076,1.0235531507061495,0.9792913023469862,1.6868686868686833,0.02070869765301374,2.808309338995529,0.36447307869305173,0.05928343707302264,-0.023511300818697012,-0.08844470572865626,-0.13884603517432892,-0.16397076443805403,-0.17848943309589682,-0.03962350051909913,-0.054773523715273886,-0.10269254066507993,-0.15184123206885336,2.0626532497282524,0.5763948298168466,2.173758080161289,2,5,-3.633993318666995,0.14555068344096464,5.822027337638587,14.555068344096467
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BNB,1584087900,1584088200,9113,9114,loss,-3.7679646104023687,-3.6879646104023687,1,stop,10.178,9.802638961953248,-6.887404205148363,2.210650422479855,0.035123472480022566,23.67678382294318,3.346067438945663,0.38602834421497334,0.857424441524311,8.45652173913033,0.14257555847568903,4.257501013733206,0.09067017082785916,0.014755732801595256,-0.06245394252026515,-0.0884828945011642,-0.10199400035292028,-0.10867851825904196,-0.10310186817060274,-0.018948534274350726,-0.02745680834876718,-0.08087298640785556,-0.10610928066822978,2.0773836936481884,2.8812260474015807,0.7692593815878008,3,1,-16.701088997371382,0.09219911526005924,3.68796461040237,9.219911526005925
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ZEC,1584087900,1584088200,10553,10554,loss,-2.7285540548168576,-2.6485540548168576,1,stop,26.0,25.311375945747617,-5.884615384615389,1.8846153846153786,0.025224324331589172,27.24382974103777,5.481805307535388,0.3964427299833265,1.0,4.499999999999966,0.0,2.1804350149082823,0.18181818181818296,0.012066952121448038,-0.040944300995942484,-0.06407487401007927,-0.08321579689703806,-0.0870786516853933,-0.07308377896613194,-0.016704079636533753,-0.024929310720858355,-0.06134205466073506,-0.08474215024069998,1.6293445610080053,1.5247797307050928,0.6556552842031895,3,1,-8.115183246073288,0.06621385137042157,2.6485540548168633,6.621385137042158
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BTC,1584097200,1584097800,53665,53667,loss,-4.608163239587769,-4.528163239587769,2,stop,4171.66,3982.7604253994127,-10.694783371607457,0.0,0.04312536418655022,30.509418724226407,2.1423021322317166,0.6042655217268296,0.8205612244897955,1.9588814276515476,0.17943877551020446,2.178935558061973,0.27732142857142866,0.026771583774111596,-0.06096989996668567,-0.08110787069261749,-0.08508001815952759,-0.08029551111473654,-0.10135174434259986,-0.03925232755822283,-0.07849288622199058,-0.07255963470195792,-0.14535710577297845,1.4034743893072403,0.5558509076688707,1.232099121938818,2,1,-6.7570840397190635,0.11320408098969433,4.528163239587774,11.320408098969434
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,VET,1584097200,1584097800,7992,7994,loss,-4.109086762872188,-4.029086762872188,2,stop,0.001945,0.0018666342624621358,-13.110539845758346,0.05141388174807881,0.038372254884497026,24.370819062112005,1.6390858986053451,0.5895433572315643,0.9931506849315059,2.2954545454545454,0.006849315068494056,1.9562120489956465,0.3013698630136984,0.023684210526315752,-0.0961895910780669,-0.11631076783280325,-0.12347904461469139,-0.13632326820603913,-0.15471534115601915,-0.039712336424414074,-0.07607540330231088,-0.10838697070099179,-0.17621679149450897,1.498973264313851,1.3398712664353742,0.6029420698959168,2,1,-13.419913419913431,0.10072716907180469,4.029086762872187,10.072716907180467
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DASH,1584098100,1584098400,10874,10875,loss,-5.251084800523043,-5.171084800523043,1,stop,34.59,32.80132176749908,-5.406186759178966,0.7516623301532177,0.04924842667164812,24.59329173950168,1.674821656313734,0.8570574473065317,0.9445983379501397,1.3356164383561655,0.05540166204986032,2.119162592312724,0.4044321329639892,0.045330915684496764,-0.06107491856677527,-0.10735483870967732,-0.15531135531135531,-0.1807200378967313,-0.21564625850340136,-0.05049014565904708,-0.08115371734703236,-0.12724652850093998,-0.19807371704061594,1.522731780164253,1.10947847630777,0.8922789862369384,4,3,-14.05733186328556,0.1292771200130763,5.171084800523053,12.927712001307633
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LINK,1584098100,1584098400,16059,16060,loss,-7.295573517133586,-7.215573517133586,1,stop,1.476,1.3694981348871083,-7.588075880758799,1.5582655826558356,0.06871974778222464,23.402967449928468,2.17475389552235,0.443654202204957,0.9051724137931025,1.3333333333333366,0.0948275862068975,1.1436419434616696,0.3879310344827577,0.025712300208478034,-0.103280680437424,-0.11616766467065864,-0.15657142857142858,-0.1938831239759694,-0.23244929797191893,-0.05709330452936445,-0.09939614278291808,-0.14686814190824138,-0.2316661578877861,1.2552333223112815,0.5816799540020551,0.45351318447617933,2,4,-12.227912932138285,0.1803893379283397,7.2155735171335875,18.03893379283397
