strategy,symbol,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,ruined
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ENJ,8,5,3,62.5,0.19002943170605135,0.19002943170605135,0.045019326308448626,100.14492455542766,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SXP,7,5,2,71.42857142857143,0.2890065029125477,0.2890065029125477,0.04690649021961146,100.24196444988591,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DEFI,7,5,2,71.42857142857143,0.2078522186432119,0.24649542775108113,0.03854818958306527,100.16922390579285,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DOT,6,6,0,100.0,0.7659447072511316,0.7659447072511316,0.0,100.76594470725114,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,FTM,6,3,3,50.0,0.29543350448058003,0.29543350448058003,0.027370011596461463,100.26798263269968,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,OCEAN,6,5,1,83.33333333333334,0.26365872050999606,0.26365872050999606,0.02314015909724576,100.24045755036535,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LTC,6,3,3,50.0,0.2371989476273928,0.2371989476273928,0.0535735622427258,100.18349830945881,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,IOST,6,4,2,66.66666666666666,0.19129853555497345,0.19129853555497345,0.03553317304186843,100.15569738807343,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LIT,6,3,3,50.0,0.06104633286223571,0.096901012045425,0.041150366908837555,100.01987084516344,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SUSHI,6,1,5,16.666666666666664,-0.04003970999769679,0.08758130834363165,0.1275093439896069,99.83250200038425,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ATOM,5,5,0,100.0,0.6035015622628981,0.6035015622628981,0.0,100.60350156226289,False
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LINK,5,4,1,80.0,0.408907259448954,0.408907259448954,0.07295573517133169,100.33565320298032,False
