screen,description,trades,removed_trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,pf,ruined,ref_official_cd_value,note
KEEP_MFE_PCT_GE_Q20,keep mfe_pct >= q20 (1.4347627),445,112,331,114,74.38202247191012,28.120822332794205,28.21745293216269,0.5190645941188676,127.45579250637073,7.031956880512203,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_MAE_PCT_GE_Q20,keep mae_pct >= q20 (-4.6929457),445,112,326,119,73.25842696629213,27.522687196195818,27.65831848694664,0.3462495338338867,127.08114048624654,10.22501245228602,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_MAE_PCT_GE_Q10,keep mae_pct >= q10 (-9.675051),501,56,332,169,66.26746506986028,26.55941407199951,26.759811861416782,0.6977699440055329,125.67632051929559,6.046962630777795,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_MFE_PCT_GE_Q10,keep mfe_pct >= q10 (0.76990307),501,56,333,168,66.46706586826348,26.09547380631858,26.213760120712305,1.056152473764238,124.7637133404084,5.065173002752525,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RET20_LE_Q80,keep ret20 <= q80 (-0.081764615),445,112,295,150,66.29213483146067,24.87701703983294,25.041981355967067,0.9871119683213747,123.64434105895003,5.071382683309234,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RET20_LE_Q90,keep ret20 <= q90 (-0.059650039),501,56,314,187,62.6746506986028,24.47140455546939,24.74029040681389,1.0701873030412257,123.13932738799969,4.459224445536854,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RSI14_LE_Q90,keep rsi14 <= q90 (33.874186),501,56,310,191,61.876247504990026,23.832205412769447,24.049776087954598,0.9952030075151663,122.5998235802292,4.443683541969721,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RET10_LE_Q90,keep ret10 <= q90 (-0.063037483),501,56,311,190,62.07584830339321,24.048278135860745,24.244699720945697,1.1745718449220788,122.59124198676629,4.2165974234157,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RECLAIM_ATR_LE_Q90,keep reclaim_atr <= q90 (1.7703248),501,56,308,193,61.477045908183634,23.579178655817735,23.774857455393537,0.9429196684456298,122.41392627416847,4.346241411758522,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_SHOCK_RECENCY_LE_Q90,keep shock_recency <= q90 (3),520,37,318,202,61.15384615384616,23.845717276185518,24.113251504180333,1.2033192997707776,122.35545785826162,4.185385222188104,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
BASELINE_V2_EXACT,no filter; official long_main v2 exact trades,557,0,333,224,59.78456014362658,23.951457064508542,24.147725340344927,1.3005547460754885,122.33940050682635,3.8956015264756867,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_SHOCK_RECENCY_GE_Q10,keep shock_recency >= q10 (2),557,0,333,224,59.78456014362658,23.951457064508542,24.147725340344927,1.3005547460754885,122.33940050682635,3.8956015264756867,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_SHOCK_RECENCY_GE_Q20,keep shock_recency >= q20 (2),557,0,333,224,59.78456014362658,23.951457064508542,24.147725340344927,1.3005547460754885,122.33940050682635,3.8956015264756867,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_ATRP_GE_Q10,keep atrp >= q10 (0.017516134),501,56,307,194,61.27744510978044,23.85276736932569,24.026093765322276,1.2854562858110818,122.26069418602572,4.082779739853577,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RET10_LE_Q80,keep ret10 <= q80 (-0.076836625),445,112,283,162,63.59550561797753,23.59945289609653,23.75082040885228,1.098893600063633,122.24122641850767,4.479968645088697,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_SHOCK_RECENT_LE_6,keep shock_recency <= 6,545,12,327,218,60.0,23.89416813439029,24.090345697299178,1.4105686060643552,122.146555893942,3.964247478343166,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_LOW_BREAK_GE_005,keep low_break_atr >= 0.05,549,8,329,220,59.92714025500911,23.720204554575396,23.916106658585456,1.378378545186254,122.01487179893459,3.916402873603225,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RET1_GE_Q10,keep ret1 >= q10 (0.0085344237),501,56,308,193,61.477045908183634,23.5945298136367,23.790232920674015,1.361179541139701,121.91218635984566,4.095204318522365,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_VOL_GE_160,keep vol_ratio >= 1.60,543,14,326,217,60.036832412523026,23.469640506667666,23.715637717416605,1.3028288164106172,121.86104245062819,3.9060232357004088,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_WICK_GE_134,keep lower_wick_body_ratio >= 1.34,532,25,322,210,60.526315789473685,23.250099524002255,23.458363596046606,1.2058796221602996,121.76385168955002,3.979446451645808,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_CP_GE_080,keep close_pos >= 0.80,532,25,325,207,61.09022556390977,23.05164710094889,23.2464905920001,1.050712610563731,121.75872792735284,3.9974501516794887,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_QUIET_RATIO_GE_Q10,keep quiet_ratio >= q10 (1.3641207),501,56,306,195,61.07784431137725,23.396516979641046,23.562893727679214,1.4057729541170016,121.66184211761886,4.240949812892341,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RET1_GE_Q20,keep ret1 >= q20 (0.010900481),445,112,282,163,63.370786516853926,23.180604906880255,23.346690538528712,1.2898730961213856,121.59173142454682,4.3445195938655585,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_BODY_LE_145,keep body_atr <= 1.45,548,9,325,223,59.306569343065696,23.164701961201175,23.359724466545728,1.300554746075533,121.56287758435498,3.823262233378472,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
KEEP_RET5_LE_Q90,keep ret5 <= q90 (-0.060064379),501,56,304,197,60.67864271457086,22.9561442070366,23.22944808188103,1.3130769139234166,121.34163546320363,3.9895651956690505,False,122.3394,shadow screen only: removes trades from baseline trade set; does not re-run entry/cooldown simulation
