feature,bin,trades,wins,losses,win_rate_pct,avg_pnl_pct,sum_pnl_pct,median_pnl_pct,avg_mae_pct,avg_mfe_pct
atrp,"(0.007410000000000001, 0.0175]",56,26,30,46.42857142857143,0.1424603940982355,7.977782069501188,-1.1209526773179657,-1.5501023338326918,2.2488840601154516
atrp,"(0.0175, 0.0207]",56,32,24,57.14285714285714,1.2890580351806271,72.18724997011512,1.8469209671869122,-1.6830330336397827,3.4268624702888446
atrp,"(0.0264, 0.0297]",56,29,27,51.78571428571429,1.5293555260451217,85.64390945852682,0.9175889565470433,-3.1112795094126136,4.875594841766757
atrp,"(0.0236, 0.0264]",56,31,25,55.35714285714286,1.5464768786390803,86.6027052037885,2.9318296192725968,-3.1187782586670676,4.673860020025954
atrp,"(0.0207, 0.0236]",55,32,23,58.18181818181818,1.7083053285526788,93.95679307039734,2.5001539632856757,-2.542965979966775,3.6351496342072496
atrp,"(0.0326, 0.0367]",56,31,25,55.35714285714286,1.9421223918553872,108.75885394390168,3.2929417565669485,-4.151259835804971,5.1927291623078
atrp,"(0.0297, 0.0326]",55,32,23,58.18181818181818,2.030596028145137,111.68278154798254,3.240897804415622,-3.683079476545143,5.11625653172301
atrp,"(0.0367, 0.0431]",55,40,15,72.72727272727273,5.291695882744753,291.0432735509614,8.238310584599526,-3.90610859623704,8.362615617255932
atrp,"(0.0431, 0.0549]",56,41,15,73.21428571428571,5.811418091468534,325.4394131222379,8.765040839625671,-4.118933287852697,9.788518007539185
atrp,"(0.0549, 0.257]",56,39,17,69.64285714285714,17.263722714635133,966.7684720195675,20.899748256434847,-6.474436285714426,28.139908671463555
body_atr,"(0.56, 0.617]",56,25,31,44.642857142857146,1.3684104805479493,76.63098691068517,-1.1663448703004284,-4.672704595237718,5.461512827082319
body_atr,"(0.505, 0.56]",56,26,30,46.42857142857143,2.00241294521864,112.13512493224384,-1.531236883081088,-4.19268775189898,5.444019267820658
body_atr,"(0.4, 0.445]",56,33,23,58.92857142857143,2.9396633702275627,164.6211487327435,2.3014586813019338,-2.9507701823297774,6.177732902224071
body_atr,"(0.8, 0.938]",55,35,20,63.63636363636363,3.2480561983761334,178.64309091068733,3.646609578179497,-4.9889223392036435,6.993848396832651
body_atr,"(0.35, 0.4]",56,25,31,44.642857142857146,3.3012060290677097,184.86753762779173,-1.8131011705969573,-3.324312993997201,7.885472270173879
body_atr,"(0.698, 0.8]",56,37,19,66.07142857142857,4.063890065576407,227.5778436722788,2.5278405173560543,-2.5660034263936984,6.779435398921215
body_atr,"(0.445, 0.505]",55,29,26,52.72727272727272,4.755971135632045,261.5784124597625,0.8209867950612457,-3.1547044691030295,9.553774001102003
body_atr,"(1.186, 1.582]",56,44,12,78.57142857142857,5.060061257527802,283.3634304215569,5.048254386528601,-3.2632529348219044,9.565714448893905
body_atr,"(0.617, 0.698]",55,35,20,63.63636363636363,5.649001736957822,310.6950955326802,3.859008894536207,-2.6763919322936274,8.868113047911379
body_atr,"(0.938, 1.186]",56,44,12,78.57142857142857,6.249081477795536,349.94856275655,4.575680113406151,-2.5625092703909726,8.879001342564866
body_range,"(0.182, 0.223]",56,31,25,55.35714285714286,2.6093678114883048,146.12459744334507,1.651902208965415,-4.850767700888506,6.416125429709155
body_range,"(0.0842, 0.182]",56,32,24,57.14285714285714,2.9886320385070504,167.36339415639483,2.404852076122053,-3.7952349801047185,8.507085134123143
body_range,"(0.38, 0.429]",56,32,24,57.14285714285714,3.420143232802992,191.52802103696754,2.956714253826222,-3.6767742704052084,6.569010572736793
body_range,"(0.339, 0.36]",55,36,19,65.45454545454545,3.491558284373643,192.03570564055036,2.469979600163201,-2.4206932227862037,6.351546766035822
body_range,"(0.223, 0.251]",55,31,24,56.36363636363636,3.8847327155561877,213.66029935559033,1.665379876796716,-3.218929440922303,6.6321592829417675
body_range,"(0.251, 0.279]",56,36,20,64.28571428571429,4.072314366481907,228.04960452298678,2.7980509099569444,-3.5464586304581096,7.581486744524963
body_range,"(0.36, 0.38]",56,37,19,66.07142857142857,4.230578906566399,236.91241876771835,4.287997732999947,-3.203584982411859,7.865993587031909
body_range,"(0.298, 0.318]",55,32,23,58.18181818181818,4.328172619023524,238.04949404629383,3.431973649069712,-2.793413398408778,7.95256033213264
body_range,"(0.318, 0.339]",56,33,23,58.92857142857143,4.490092152112976,251.44516051832665,2.9544735052813005,-3.4617716637140385,9.347649728999082
body_range,"(0.279, 0.298]",56,33,23,58.92857142857143,5.08736675837154,284.89253846880626,3.797301954058435,-3.3420069148836324,8.305015806278535
close_pos,"(0.932, 0.95]",55,24,31,43.63636363636363,0.6023008244160193,33.12654534288106,-0.6056869772998651,-4.4189538100071335,4.375734287453892
close_pos,"(0.822, 0.862]",56,22,34,39.285714285714285,2.0383245853794856,114.14617678125119,-2.0611760198858313,-4.326964331845452,5.33930393901158
close_pos,"(0.771, 0.822]",56,23,33,41.07142857142857,2.597742819945423,145.47359791694367,-1.6606538501190053,-4.744007442301215,8.0409182207898
close_pos,"(0.862, 0.892]",55,25,30,45.45454545454545,2.8634673975439138,157.49070686491527,-1.4671709293153543,-5.210442294340244,6.849362532547559
close_pos,"(0.912, 0.932]",56,36,20,64.28571428571429,3.08759420969224,172.90527574276544,2.0238433919361123,-3.425985102275518,5.940094527739949
close_pos,"(0.892, 0.912]",56,35,21,62.5,4.4012932102825,246.47241977582,3.7091245390592356,-3.1864878035167545,7.775046885744542
close_pos,"(0.965, 0.98]",55,39,16,70.9090909090909,5.104585034545209,280.75217689998647,3.952970267883426,-2.114259693477433,7.992275230130187
close_pos,"(0.95, 0.965]",56,40,16,71.42857142857143,5.866882546328237,328.5454225943813,4.932716301685629,-2.8051804469446857,10.472173277585684
close_pos,"(0.993, 1.0]",56,41,15,73.21428571428571,5.876444894809383,329.0809141093255,4.597141208788196,-2.819262699205488,9.54343302667293
close_pos,"(0.98, 0.993]",56,48,8,85.71428571428571,6.1083571058698265,342.06799792871027,4.431327870229838,-1.3172097906356357,9.169596915213068
close_to_ema20,"(-0.0545, -0.0467]",56,18,38,32.142857142857146,-0.5236387972951081,-29.323772648526052,-1.7804202785538683,-2.815633717183514,2.361415921605115
close_to_ema20,"(-0.0467, 0.00218]",56,23,33,41.07142857142857,0.03206980994427939,1.7959093568796458,-0.807348515888636,-2.6327777439781306,3.378949742365801
close_to_ema20,"(-0.0652, -0.0545]",55,27,28,49.09090909090909,0.3994095710853134,21.967526409692237,-1.4486609459840052,-2.2153764890515277,3.050846668693016
close_to_ema20,"(-0.0748, -0.0652]",56,32,24,57.14285714285714,1.8537433541835406,103.80962783427827,2.546741685960038,-2.507507803949692,4.526228806790238
close_to_ema20,"(-0.087, -0.0748]",55,31,24,56.36363636363636,1.9868080424266548,109.27444233346601,3.1188873435326787,-4.133920116936169,4.971344764497216
close_to_ema20,"(-0.112, -0.0977]",56,29,27,51.78571428571429,2.035029368277425,113.9616446235358,4.413325241862871,-5.378082253619538,6.397631584462178
close_to_ema20,"(-0.0977, -0.087]",56,33,23,58.92857142857143,2.4175519196383837,135.38290749974948,2.535667184900004,-4.494726249875157,5.7397949340693755
close_to_ema20,"(-0.132, -0.112]",55,45,10,81.81818181818183,4.720229549366416,259.6126252151529,5.141774193548394,-2.3592161123116404,8.557901138856337
close_to_ema20,"(-0.162, -0.132]",56,46,10,82.14285714285714,5.322168408986205,298.0414309032275,5.837093929129745,-2.9942411019979858,8.256848812859491
close_to_ema20,"(-0.628, -0.162]",56,49,7,87.5,20.27748022195579,1135.5388924295244,20.899748256434847,-4.783072842083253,28.209882192296046
close_to_ema50,"(-0.0703, -0.0533]",56,18,38,32.142857142857146,-0.8698564540621417,-48.711961427479935,-1.699557812069439,-2.8668017877719554,2.3860518919599456
close_to_ema50,"(-0.0533, 0.0618]",56,19,37,33.92857142857143,-0.7357761125855024,-41.20346230478813,-1.6433008433571699,-3.064171424703305,2.9692522692598144
close_to_ema50,"(-0.0846, -0.0703]",55,30,25,54.54545454545454,1.2956600722992804,71.26130397646043,0.5628284451586908,-2.5583461149371183,4.145147911080125
close_to_ema50,"(-0.114, -0.101]",55,27,28,49.09090909090909,1.3307822808217338,73.19302544519536,-0.08,-3.0355971570273286,4.50073633517092
close_to_ema50,"(-0.101, -0.0846]",56,34,22,60.71428571428571,1.5572880692864588,87.20813188004169,2.263170283476396,-3.0044008172347865,4.0085348997380015
close_to_ema50,"(-0.132, -0.114]",56,31,25,55.35714285714286,1.8620134344320167,104.27275232819294,2.7213278171009163,-5.084526643937304,5.2271994146296565
close_to_ema50,"(-0.144, -0.132]",56,38,18,67.85714285714286,2.9468688196840747,165.0246539023082,4.313511403010257,-3.905669593422085,6.198595784644404
close_to_ema50,"(-0.161, -0.144]",55,46,9,83.63636363636363,5.53787955953631,304.58337577449703,5.591641791044775,-2.1140498130477874,8.939858903154187
close_to_ema50,"(-0.202, -0.161]",56,42,14,75.0,5.5191390977592505,309.071789474518,7.937295973917653,-3.6892499816683175,8.894547734741149
close_to_ema50,"(-0.667, -0.202]",56,48,8,85.71428571428571,20.095743301929186,1125.3616249080344,20.899748256434847,-4.973874675213635,28.198877468140875
ema20_over_50,"(-0.000686, 0.0666]",56,21,35,37.5,-0.5322072304949506,-29.80360490771723,-1.970816143199718,-3.464165925473447,3.673663278463592
ema20_over_50,"(-0.0151, -0.000686]",56,22,34,39.285714285714285,0.4635478818946592,25.958681386100913,-1.4462177467117234,-2.5684627601397554,3.6784805001363887
ema20_over_50,"(-0.0206, -0.0151]",55,25,30,45.45454545454545,0.8658094711171447,47.619520911442955,-1.5042913228579902,-2.3895264858213157,4.034260507140018
ema20_over_50,"(-0.0468, -0.0351]",55,24,31,43.63636363636363,1.0416614532660908,57.29137992963499,-3.027164150807855,-6.7257222281701585,6.306632560396697
ema20_over_50,"(-0.0351, -0.0305]",56,30,26,53.57142857142857,1.774680174130448,99.38208975130509,2.645106815157799,-4.602143286752884,5.11475297858568
ema20_over_50,"(-0.024, -0.0206]",56,41,15,73.21428571428571,2.6620892019924502,149.0769953115772,3.752809236357852,-1.811832341063699,4.959466874679298
ema20_over_50,"(-0.0305, -0.027]",56,40,16,71.42857142857143,3.03456473150139,169.93562496407785,4.579997083087269,-2.617083944258609,5.244002823241918
ema20_over_50,"(-0.027, -0.024]",55,42,13,76.36363636363637,3.0926212523524326,170.0941688793838,3.952970267883426,-1.9062873435841612,4.997170450278734
ema20_over_50,"(-0.06, -0.0468]",56,44,12,78.57142857142857,7.384951722087133,413.5572964368795,10.13050177191548,-2.9700174982055905,10.14669590503431
ema20_over_50,"(-0.136, -0.06]",56,44,12,78.57142857142857,18.695519308826697,1046.949081294295,15.57122359724314,-5.300616605718351,27.273539598284053
ema50_slope8,"(-0.00551, 0.0367]",56,22,34,39.285714285714285,-0.5993974927999807,-33.566259596798915,-1.8381680304102082,-3.5950508565206363,3.6131268451499707
