strategy,symbol,entry_ts,exit_ts,entry_i,exit_i,pnl_pct,gross_pct,hold_bars,entry_price,exit_price,exit_reason,mae_pct,mfe_pct
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BTC,1569384000,1569384900,4621,4624,-1.4870252310674315,-1.4070252310674314,3,8719.21,8596.528515350245,stop,-2.0947998729242636,0.24107688655280055
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ETC,1579397400,1579402800,678,696,-0.6056869772998651,-0.5256869772998651,18,8.37,8.326,time,-1.7682198327359584,2.353643966547204
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LINK,1581904200,1581907200,8746,8756,6.313581066462333,6.393581066462333,10,4.173,4.439804137903473,target,-2.492211838006233,6.44620177330458
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ETH,1584043200,1584043800,30567,30569,-5.902027337638577,-5.822027337638577,2,139.55,131.42536085032538,stop,-6.055177355786468,6.771766391974195
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BNB,1584087900,1584088200,9113,9114,-3.7679646104023687,-3.6879646104023687,1,10.178,9.802638961953248,stop,-6.887404205148363,2.210650422479855
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,ZEC,1584087900,1584088200,10553,10554,-2.7285540548168576,-2.6485540548168576,1,26.0,25.311375945747617,stop,-5.884615384615389,1.8846153846153786
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,BTC,1584097200,1584097800,53665,53667,-4.608163239587769,-4.528163239587769,2,4171.66,3982.7604253994127,stop,-10.694783371607457,0.0
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,VET,1584097200,1584097800,7992,7994,-4.109086762872188,-4.029086762872188,2,0.001945,0.0018666342624621358,stop,-13.110539845758346,0.05141388174807881
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DASH,1584098100,1584098400,10874,10875,-5.251084800523043,-5.171084800523043,1,34.59,32.80132176749908,stop,-5.406186759178966,0.7516623301532177
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LINK,1584098100,1584098400,16059,16060,-7.295573517133586,-7.215573517133586,1,1.476,1.3694981348871083,stop,-7.588075880758799,1.5582655826558356
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,DOT,1599237900,1599239100,3753,3757,4.598327877815656,4.678327877815656,4,5.211,5.454787665712974,target,-0.21109192093648282,6.774131644597961
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,UNI,1600920600,1600921200,1586,1588,-2.4969461490115705,-2.4169461490115705,2,4.6239,4.512142827015854,stop,-3.7608944830121698,0.08218170808192275
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,FTM,1601600700,1601601300,2125,2127,-1.2328953001585248,-1.1528953001585247,2,0.037142,0.03671379162761512,stop,-2.5389047439556283,2.2104356254374973
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,FLM,1603759800,1603760400,7882,7884,-1.5843070669084913,-1.5043070669084913,2,0.197,0.19403651507819028,stop,-1.9796954314720887,0.40609137055837313
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,SXP,1604791200,1604792100,31456,31459,-2.555506837953225,-2.475506837953225,3,1.0002,0.9754399806067918,stop,-3.8392321535692853,1.9696060787842484
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,XLM,1606245900,1606248000,89021,89028,8.035125147948735,8.115125147948735,7,0.14712,0.15905897211766218,target,-1.386623164763468,8.951876019575849
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,XRP,1606245900,1606251300,93049,93067,5.154205700950156,5.234205700950156,18,0.5999,0.6313,time,-1.6169361560260114,8.15135855975997
LM6_000_LONG_MAIN_V2_EXACT_EMBEDDED,LINK,1606394400,1606399800,90380,90398,6.0576369261643945,6.137636926164395,18,11.959,12.693,time,-0.9114474454385818,7.584246174429301
