run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_min,range20_max,range60_max,volr_min,volr_max,ret20_min,ret60_min,ret120_min,ret20_max,ret60_max,rank60_min,rank120_min,breakout_lb,breakout_buffer,breakout_body_atr_min,breakout_body_atr_max,breakout_close_pos_min,breakout_upper_wick_max,breakout_volr_min,follow_delay,follow_ret_min,follow_close_pos_min,follow_no_big_wick,ema20_pos_min,ema50_pos_min,require_ema_stack,no_rsi_max,fail_bars,fail_pnl,trail_r,trail_atr,verdict,note
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_011_LB40_S75_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11425,2967,8458,25.969365426695845,-18.33756947919698,0.0,56.04884661472877,43.95115338527123,597,0,0.01,0.0004,0.08,LBF_A_011_LB40_S75_RR240,0.75,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_012_LB40_S75_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11419,2580,8839,22.59392241001839,-18.327105729795456,0.0,57.56245109671924,42.43754890328076,597,0,0.01,0.0004,0.08,LBF_A_012_LB40_S75_RR300,0.75,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_013_LB40_S90_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11423,3623,7800,31.71671189704981,-17.20709309059942,0.0,58.27629478039709,41.72370521960291,597,0,0.01,0.0004,0.08,LBF_A_013_LB40_S90_RR180,0.9,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_014_LB40_S90_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11416,3038,8378,26.61177295024527,-17.488527995282443,0.0,60.71235168813571,39.28764831186429,597,0,0.01,0.0004,0.08,LBF_A_014_LB40_S90_RR240,0.9,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_015_LB40_S90_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11409,2709,8700,23.744412306074153,-17.314296868439115,0.0,61.97429936793413,38.02570063206587,597,0,0.01,0.0004,0.08,LBF_A_015_LB40_S90_RR300,0.9,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_016_LB40_S105_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11416,3605,7811,31.578486334968463,-17.422023460894586,0.0,62.21384671980267,37.78615328019733,597,0,0.01,0.0004,0.08,LBF_A_016_LB40_S105_RR180,1.05,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_017_LB40_S105_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11407,3067,8340,26.88699921101078,-18.519267730318756,0.0,64.38414890451196,35.61585109548804,597,0,0.01,0.0004,0.08,LBF_A_017_LB40_S105_RR240,1.05,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_018_LB40_S105_RR300,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11403,2807,8596,24.61632903621854,-17.780554409145598,0.0,65.38379541889428,34.61620458110573,597,0,0.01,0.0004,0.08,LBF_A_018_LB40_S105_RR300,1.05,3.0,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,40,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_019_LB60_S75_RR180,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11223,3481,7742,31.016662211529894,-18.73895105367458,0.0,52.93886981463692,47.06113018536308,597,0,0.01,0.0004,0.08,LBF_A_019_LB60_S75_RR180,0.75,1.8,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
LONG_LEADER_BREAKOUT_FOLLOWTHROUGH_V3_1H,LBF_A_020_LB60_S75_RR240,leader_breakout_followthrough,breakout_then_1bar_followthrough,long,11221,2915,8306,25.978076820247747,-18.00992302390657,0.0,55.348545091094934,44.651454908905066,597,0,0.01,0.0004,0.08,LBF_A_020_LB60_S75_RR240,0.75,2.4,10,40,0.0015,0.06,0.01,0.18,0.3,1.4,5.0,-0.02,0.06,0.08,0.35,1.0,0.76,0.64,60,1.003,0.55,2.8,0.76,0.28,1.7,1,-0.002,0.56,0.52,0.99,0.97,False,84.0,3,-0.38,999.0,2.0,invalid_no_peak,max_return <= 0
