experiment_name,side,symbol,entry_time,exit_time,entry_price,exit_price,stop_price,target_price_initial,duration_bars,score,score_detail,atr,risk_multiple,pnl_pct_raw,risk_alloc_frac,exit_reason
2V2_S02_trend_pullback_fail,short_only,ADA,2024-01-01 05:05:00,2024-01-01 05:05:00,0.6007000207901001,0.5990472813718952,0.6015263904992025,0.5990472813718952,0,2.0,trend+rsi+vol,0.0013056237949058,2.0,0.0027513556867053,0.0025,target
2V2_S02_trend_pullback_fail,short_only,AVAX,2024-01-01 05:05:00,2024-01-01 05:05:00,39.435001373291016,39.35663141682744,39.4741863515228,39.35663141682744,0,2.0,trend+rsi+vol,0.1167466267943382,2.0,0.0019873197346115,0.0025,target
2V2_S02_trend_pullback_fail,short_only,BNB,2024-01-01 05:05:00,2024-01-01 05:30:00,315.3900146484375,314.0470204651356,316.06151174008846,314.0470204651356,5,2.5,trend+rsi+vol+bear_body,0.4459981322288513,2.0,0.0042582013409617,0.0025,target
2V2_S02_trend_pullback_fail,short_only,ETH,2024-01-01 05:05:00,2024-01-01 05:05:00,2295.429931640625,2288.6621131896973,2298.813840866089,2288.6621131896973,0,2.0,trend+rsi+bear_body,3.2954025268554688,2.0,0.0029483881680023,0.0025,target
2V2_S02_trend_pullback_fail,short_only,LINK,2024-01-01 05:05:00,2024-01-01 05:30:00,15.29300022125244,15.153074868023396,15.362962897866964,15.153074868023396,5,2.5,trend+rsi+vol+bear_body,0.0398528426885604,2.0,0.0091496338981669,0.0025,target
2V2_S02_trend_pullback_fail,short_only,XRP,2024-01-01 05:05:00,2024-01-01 05:05:00,0.6212000250816345,0.6200165101035964,0.6217917825706536,0.6200165101035964,0,2.5,trend+rsi+vol+bear_body,0.0007672412903048,2.0,0.0019052075503097,0.0025,target
2V2_S02_trend_pullback_fail,short_only,ADA,2024-01-01 05:10:00,2024-01-01 05:15:00,0.5990999937057495,0.6015495046158321,0.6015495046158321,0.5942009718855843,1,2.5,trend+rsi+vol+bear_body,0.0013980802614241,-1.0,-0.0040886512031674,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,AVAX,2024-01-01 05:10:00,2024-01-01 05:20:00,39.266998291015625,39.481191946193576,39.481191946193576,38.83861098065972,2,2.5,trend+rsi+vol+bear_body,0.1247647330164909,-1.0,-0.0054548008378567,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,DOGE,2024-01-01 05:10:00,2024-01-01 05:35:00,0.0901700034737587,0.0896401422214694,0.0904349340999033,0.0896401422214694,5,2.0,trend+vol+bear_body,0.0001397248124703,2.0,0.0058762474423488,0.0025,target
2V2_S02_trend_pullback_fail,short_only,ETH,2024-01-01 05:10:00,2024-01-01 06:35:00,2289.85009765625,2287.054035037756,2297.8388479948044,2273.872596979141,17,2.5,trend+rsi+vol+bear_body,3.715743541717529,0.35,0.0012210679735568,0.0025,time_reduce
2V2_S02_trend_pullback_fail,short_only,XRP,2024-01-01 05:10:00,2024-01-01 06:10:00,0.6202999949455261,0.6198364052004763,0.6216245370742399,0.6176509106880985,12,2.5,trend+rsi+vol+bear_body,0.0008981536375358,0.3499999999999664,0.0007473637737019,0.0025,time_reduce
2V2_S02_trend_pullback_fail,short_only,ADA,2024-01-01 05:15:00,2024-01-01 05:15:00,0.6011999845504761,0.6018780998128932,0.6018780998128932,0.5998437540256418,0,2.0,trend+rsi+vol,0.0015125003410503,-1.0,-0.0011279362605508,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,ADA,2024-01-01 05:20:00,2024-01-01 05:20:00,0.6021000146865845,0.6026832472998649,0.6026832472998649,0.6009335494600236,0,2.0,trend+rsi+vol,0.0015330361202359,-1.0,-0.0009686640077296,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,ADA,2024-01-01 05:45:00,2024-01-01 06:00:00,0.5989000201225281,0.6005082716874313,0.6005082716874313,0.5956835169927217,3,2.0,trend+rsi+bear_body,0.00163316342514,-1.0,-0.0026853423123514,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,AVAX,2024-01-01 05:45:00,2024-01-01 05:45:00,39.507999420166016,39.34254814684391,39.59072505682707,39.34254814684391,0,2.0,trend+rsi+vol,0.1428990066051483,2.0,0.0041877917320626,0.0025,target
2V2_S02_trend_pullback_fail,short_only,AVAX,2024-01-01 05:50:00,2024-01-01 06:15:00,39.39500045776367,39.59338757023215,39.59338757023215,38.99822623282671,5,2.5,trend+rsi+vol+bear_body,0.1535490602254867,-1.0,-0.0050358449083196,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,DOGE,2024-01-01 05:50:00,2024-01-01 06:05:00,0.0897200033068656,0.0899158222855476,0.0899158222855476,0.0893283653495018,3,2.0,trend+vol+bear_body,0.0001832955604186,-1.0,-0.0021825565254626,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,BNB,2024-01-01 06:00:00,2024-01-01 06:05:00,311.6499938964844,312.8167122602463,312.8167122602463,309.31655716896057,1,2.0,trend+vol+bear_body,1.0668978691101074,-1.0,-0.0037436816512482,0.0025,stop
2V2_S02_trend_pullback_fail,short_only,BTC,2024-01-01 06:00:00,2024-01-01 06:10:00,42599.19921875,42647.88288497925,42647.88288497925,42501.831886291504,2,2.0,trend+rsi+bear_body,55.12528991699219,-1.0,-0.0011428305489794,0.0025,stop
