active,date,equity,scenario,spec
0,2019-12-08,100.00035989664785,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-09,99.99882984409959,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-17,100.00642029807908,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-19,100.01049275170226,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-22,99.99891031281932,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-23,99.98510415296829,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-24,99.98464656250557,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2019-12-25,99.97901757765402,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-26,99.97955475640762,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-27,99.9980384967842,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-28,99.97633385798159,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
2,2019-12-29,99.9692183659201,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2019-12-30,99.96120417629655,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2019-12-31,99.96812223460606,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-01,99.99810639873188,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-03,99.9892187429807,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-04,99.94599661565559,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-06,99.90539531719462,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-07,99.90386406764273,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-08,99.969366110711,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-09,99.97172282954479,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-10,99.90176702172631,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-11,99.86969259513738,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-12,99.86425372720002,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-13,99.88875917968824,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-14,99.76583129555772,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-15,99.73288235661654,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-17,99.6100294648847,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-18,99.52240068488015,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-19,99.55959756807871,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-20,99.51552272656518,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-21,99.50050550836336,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-22,99.465346363826,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-23,99.46770695506882,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-24,99.39122071443576,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-26,99.37416777765985,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-27,99.3696964497175,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
2,2020-01-28,99.31144314530125,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-29,99.31390975967656,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-01-30,99.29635029861127,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-01-31,99.27785157446256,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-01,99.27422469570953,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-02,99.17260517624639,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-03,99.17656464551632,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-04,99.16225297843879,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-05,99.03352477295007,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-06,98.94984446452803,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-07,98.94417314845656,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-08,98.89652211491844,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-09,98.92309414315726,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-10,98.98153887554864,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
2,2020-02-11,99.00436937335262,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-12,98.95305245737076,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-13,98.9371184392532,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-14,98.9552429622238,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-15,98.99229961230063,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-16,99.12770332650595,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-17,99.00607523104553,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-18,99.00752352908157,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-19,99.02318577311134,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-20,99.02269431542896,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-21,99.0202393173475,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-22,99.08256602086647,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-23,99.07551005779077,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-24,99.10446593554215,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-02-25,99.04070084640563,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-26,99.09827104301347,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-27,99.03958901983731,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-28,99.0236007997029,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-02-29,99.04280530387331,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-01,99.03927318587972,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-03-02,99.02592185656653,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-03,99.01699096875568,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-03-04,99.00044740722166,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-05,98.93813346436721,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-06,98.94264874050475,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-03-07,98.9491775536294,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-08,99.06199922016924,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-09,98.98121263204567,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-10,98.95754093796674,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-11,98.96695039559769,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
4,2020-03-12,99.89547653384871,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-03-13,99.94588653881726,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-14,99.92572943160916,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
1,2020-03-15,99.96515528125285,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
2,2020-03-16,100.2054984814454,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-17,100.23662409272976,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
0,2020-03-18,100.31555573809594,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short
