events,reason,symbol,usable_bars
149,,0G,31561
220,,1000000BOB,61602
418,,1000000MOG,122050
744,,1000BONK,223148
423,,1000CAT,126948
456,,1000CHEEMS,116873
1002,,1000FLOKI,280738
1399,,1000LUNC,351342
1042,,1000PEPE,281028
792,,1000RATS,216520
630,,1000SATS,217384
1922,,1000SHIB,491557
312,,1000WHY,116876
1764,,1000XEC,454281
329,,1000X,120322
1544,,1INCH,530828
398,,1MBABYDOGE,137042
112,,2Z,27280
83,,42,15479
122,,4,25563
189,,A2Z,45766
1702,,AAVE,551028
672,,ACE,215703
947,,ACH,303510
393,,ACT,120900
316,,ACX,113666
2032,,ADA,625634
287,,AERGO,75977
342,,AERO,114251
444,,AEVO,190885
489,,AGIX,143001
748,,AGLD,256708
261,,AGT,66187
196,,AI16Z,105901
94,,AIA,22991
204,,AIN,51495
339,,AIOT,71924
163,,AIO,41693
336,,AIXBT,109589
610,,AI,209624
123,,AKE,29008
374,,AKT,118892
437,,ALCH,104485
1453,,ALGO,586157
1395,,ALICE,507578
52,,ALLO,15480
86,,ALL,43733
224,,ALPACA,72774
1541,,ALPHA,540082
343,,ALPINE,70230
606,,ALT,204709
683,,AMB,291454
274,,ANIME,99812
1763,,ANKR,521646
1115,,APE,402009
1432,,API3,408772
75,,APR,21255
999,,APT,339953
843,,ARB,293437
283,,ARC,101588
146,,ARIA,35649
817,,ARKM,256995
930,,ARK,241585
1780,,ARPA,445063
1377,,AR,451112
385,,ASR,70233
83,,ASTER,31030
826,,ASTR,305960
1208,,ATA,459178
311,,ATH,79952
1667,,ATOM,623564
57,,AT,15480
661,,AUCTION,216532
342,,AVAAI,101585
1780,,AVAX,557655
263,,AVA,111672
123,,AVNT,33874
320,,AWE,65930
571,,AXL,194319
2090,,AXS,540946
165,,A,63913
333,,B2,70185
364,,B3,93829
207,,BABY,79115
459,,BADGER,150798
1420,,BAKE,460751
1159,,BAL,563996
369,,BANANAS31,83199
526,,BANANA,146379
1796,,BAND,573792
384,,BANK,75309
493,,BAN,118893
148,,BARD,31330
170,,BAS,37925
1819,,BAT,621884
612,,BB,173327
2642,,BCH,638012
338,,BDXN,62155
663,,BEAMX,224594
66,,BEAT,15480
2013,,BEL,541522
250,,BERA,95804
657,,BICO,239016
355,,BID,83772
701,,BIGTIME,234959
346,,BIO,105630
133,,BLESS,29908
66,,BLUAI,21819
824,,BLUR,283100
1780,,BLZ,559384
288,,BMT,84588
1967,,BNB,622751
579,,BNT,253137
754,,BNX,303507
50,,BOB,14650
495,,BOME,190033
468,,BOND,123701
424,,BRETT,144833
346,,BROCCOLI714,83490
418,,BROCCOLIF3B,83487
327,,BR,83445
878,,BSV,232676
395,,BSW,140278
1346,,BTCDOM,479628
0,,BTC,0
174,,BTR,37673
239,,BULLA,53244
301,,B,65540
1196,,C98,461195
694,,CAKE,228927
168,,CARV,43358
426,,CATI,135890
57,,CC,15480
854,,CELO,451400
1377,,CELR,503783
335,,CETUS,122320
961,,CFX,304087
331,,CGPT,109579
442,,CHESS,142276
339,,CHILLGUY,116260
1555,,CHR,508683
1888,,CHZ,523087
894,,CKB,301812
60,,CLANKER,15480
97,,CLO,23835
125,,COAI,29356
620,,COMBO,273014
62,,COMMON,15480
1705,,COMP,582123
261,,COOKIE,104487
424,,COS,132990
1523,,COTI,509259
415,,COW,122327
221,,CROSS,51498
1293,,CRV,563996
265,,CTK,71952
1365,,CTSI,443047
201,,CUDIS,39680
195,,CVC,67363
135,,CVX,47742
847,,CYBER,249967
197,,C,50076
177,,DAM,40241
954,,DAR,280506
1818,,DASH,624480
279,,DEEP,74277
867,,DEFI,521519
404,,DEGEN,119757
418,,DEGO,111669
1265,,DENT,505259
393,,DEXE,108520
292,,DF,106789
796,,DGB,310458
449,,DIA,132420
287,,DMC,56076
742,,DODOX,253713
2433,,DOGE,579242
388,,DOGS,143081
324,,DOLO,71750
320,,DOOD,69320
1678,,DOT,566877
478,,DRIFT,121723
1402,,DUSK,422021
1204,,DYDX,456298
571,,DYM,201047
378,,D,103929
99,,EDEN,27874
905,,EDU,282523
1551,,EGLD,560250
385,,EIGEN,132785
569,,ENA,185137
1637,,ENJ,555926
116,,ENSO,23865
1452,,ENS,432966
334,,EPIC,85806
315,,EPT,74511
195,,ERA,49422
207,,ESPORTS,46031
2414,,ETC,629956
549,,ETHFI,189421
756,,ETHW,221436
2284,,ETH,644362
90,,EUL,24087
106,,EVAA,27016
334,,FARTCOIN,109585
891,,FET,314026
124,,FF,28133
347,,FHE,77080
443,,FIDA,136166
1934,,FIL,551040
392,,FIO,135890
287,,FIS,73425
1367,,FLM,555926
151,,FLOCK,33973
858,,FLOW,412228
116,,FLUID,29611
394,,FLUX,140842
61,,FOLKS,15480
394,,FORM,84078
209,,FORTH,78310
