period,scenario,selected_after_cap,selected_before_cap,spec
BASE,btc_rb_z4_gap0_cd24_h24_k1_short_capnone,142227,142227,btc_rb_z4_gap0_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_capnone,129376,129376,btc_rb_z4_gap0_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_capnone,127550,127550,btc_rb_z4_gap0_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_capnone,12851,12851,btc_rb_z4_gap0_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd24_h24_k1_short_capnone,1826,1826,btc_rb_z4_gap0_cd24_h24_k1_short
BASE,btc_rb_z4_gap0_cd24_h24_k1_short_cap20,142213,142227,btc_rb_z4_gap0_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_cap20,129368,129376,btc_rb_z4_gap0_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_cap20,127544,127550,btc_rb_z4_gap0_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_cap20,12845,12851,btc_rb_z4_gap0_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd24_h24_k1_short_cap20,1824,1826,btc_rb_z4_gap0_cd24_h24_k1_short
BASE,btc_rb_z4_gap0_cd24_h24_k1_short_cap50,142227,142227,btc_rb_z4_gap0_cd24_h24_k1_short
EX_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_cap50,129376,129376,btc_rb_z4_gap0_cd24_h24_k1_short
PRE_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_cap50,127550,127550,btc_rb_z4_gap0_cd24_h24_k1_short
ONLY_2025Q4,btc_rb_z4_gap0_cd24_h24_k1_short_cap50,12851,12851,btc_rb_z4_gap0_cd24_h24_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap0_cd24_h24_k1_short_cap50,1826,1826,btc_rb_z4_gap0_cd24_h24_k1_short
BASE,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,114827,114827,btc_rb_z4_gap0_cd144_h24_k1_short
