bucket,end_equity,marks,max_drawdown_pct,min_equity,peak_equity,period,return_pct,scenario,spec,start_equity
2019Q4,99.96812223460606,580,-0.08025001320087766,99.94377256862231,100.0240418754314,BASE,-0.032353155018882696,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,100.00047554347826
2020Q1,100.28804277322314,8975,-1.4313770639751144,98.77246060879826,100.99105586589603,BASE,0.3026877461304256,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,99.98539922185898
2020Q2,99.19748029377037,13320,-1.5446518168953371,98.88957728366464,100.44104165855207,BASE,-1.0894640548657741,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,100.29010493765327
2020Q3,97.26730693707628,19285,-3.8151159930610468,95.4397479176428,99.22530853263555,BASE,-1.9472043637190461,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,99.1989124898403
2020Q4,96.63691789242321,22531,-1.7861168123481264,96.15521788374639,97.90389582705726,BASE,-0.6354557486754953,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,97.25492993556911
2021Q1,90.72319874257853,24031,-7.171162529504526,90.64545315271887,97.6479460722854,BASE,-6.113262116656459,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,96.63047283132174
2021Q2,95.10700842529896,24691,-6.877618030484789,89.46038980381645,96.18259889805502,BASE,4.842076684099728,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,90.71454079631258
2021Q3,97.14811650333276,25446,-3.4983629315623155,93.52218430667948,97.42125926081155,BASE,2.081051752125096,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,95.16762889476239
2021Q4,106.86335246498231,25889,-2.788453615843489,96.00826473939843,107.05712819821673,BASE,9.96109627618933,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,97.18287292859794
2022Q1,115.98012150611166,24339,-3.031139047621767,106.84011747202844,119.50227747491252,BASE,8.525533518208594,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,106.86897151871852
2022Q2,131.83798944946665,24730,-2.0852287972262573,115.89678969174369,131.90363135944585,BASE,13.588454328891686,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,116.06636451600444
2022Q3,145.99337534035124,24963,-2.373335547877775,131.0163151120607,146.07812962930794,BASE,10.73571380887659,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,131.8394674299272
2022Q4,167.05966404110598,23990,-1.674749023588773,145.57168471447093,167.06127802826387,BASE,14.439491059855447,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,145.98078206563198
2023Q1,174.72286029986503,24584,-2.972880584156712,162.61232904479965,175.07864456687588,BASE,4.592871068413484,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,167.05044857749434
2023Q2,179.73736585275716,24550,-2.317061776551843,174.17798566078028,183.17314659233858,BASE,2.9116948925110187,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,174.6520315698705
2023Q3,180.3578293923775,25143,-2.6905330060690624,175.67218872991657,185.110576674805,BASE,0.3408294386100019,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,179.74520481986158
2023Q4,181.85188929620907,25903,-2.7831880562175226,175.70211366538143,186.68728900757603,BASE,0.8003498119438124,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,180.4079942534698
2024Q1,188.54386762359218,25887,-4.630245095570828,176.53702391967852,188.7890001581306,BASE,3.671675081517023,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,btc_rb_z5_gap0_cd36_h36_k1_short,181.86632701298612
