avg_trade_net_return_pct,bankrupt,cooldown_bars,entries,exits,fee_per_side,final_equity,final_return_pct,flats,gap_min,horizon,leverage,losses,max_concurrent_cap,max_concurrent_positions,max_drawdown_pct,max_gross_exposure_pct,min_equity,mtm_mode,peak_equity,period,position_fraction,profit_factor_contribution,scenario,selected_after_cap,selected_before_cap,slippage_bps,spec,win_rate_pct,wins,z_threshold
0.3311244812092885,False,24,12851,12851,0.0004,152.67586244575133,52.675862445751335,0,0.0,24,1.0,5455,50,1,-3.2841115600638515,1.0,97.30919265908256,quick_exit_order,153.3310393090761,ONLY_2025Q4,0.01,1.2483573314973349,btc_rb_z4_gap0_cd24_h24_k1_short_cap50,12851,12851,1.0,btc_rb_z4_gap0_cd24_h24_k1_short,57.55194148315306,7396,4.0
0.14083799472009229,False,24,1826,1826,0.0004,102.59283789444409,2.592837894444089,0,0.0,24,1.0,800,50,1,-1.6721729109575811,1.0,98.84387624789036,quick_exit_order,102.9057664520107,2026_ENTRY_ONLY,0.01,1.1450165724331112,btc_rb_z4_gap0_cd24_h24_k1_short_cap50,1826,1826,1.0,btc_rb_z4_gap0_cd24_h24_k1_short,56.18838992332969,1026,4.0
0.0838822741962619,False,144,114827,114827,0.0004,259.7916113664685,159.7916113664685,0,0.0,24,1.0,52226,0,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,260.44443640317996,BASE,0.01,1.1014716811422516,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,114827,114827,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.5176657058009,62601,4.0
0.061643084546592196,False,144,104201,104201,0.0004,188.80731443950359,88.80731443950359,0,0.0,24,1.0,47706,0,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,189.28176448556965,EX_2025Q4,0.01,1.0694895449715345,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,104201,104201,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.217329968042534,56495,4.0
0.059711137009136876,False,144,102702,102702,0.0004,183.41241409602003,83.41241409602003,0,0.0,24,1.0,47051,0,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,183.41241409602003,PRE_2025Q4,0.01,1.0665923742807868,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,102702,102702,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.18687075227356,55651,4.0
0.30196488295640067,False,144,10626,10626,0.0004,137.59615835736503,37.59615835736503,0,0.0,24,1.0,4520,0,1,-3.025124772460863,1.0,98.37676531025197,quick_exit_order,138.4072874077816,ONLY_2025Q4,0.01,1.2401049258258905,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,10626,10626,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,57.462827028044416,6106,4.0
0.19400791175922452,False,144,1499,1499,0.0004,102.94140414108487,2.94140414108488,0,0.0,24,1.0,655,0,1,-1.3540024145470286,1.0,99.07973334772758,quick_exit_order,103.20008349406348,2026_ENTRY_ONLY,0.01,1.2122867787960774,btc_rb_z4_gap0_cd144_h24_k1_short_capnone,1499,1499,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,56.30420280186791,844,4.0
0.0838822741962619,False,144,114827,114827,0.0004,259.7916113664685,159.7916113664685,0,0.0,24,1.0,52226,20,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,260.44443640317996,BASE,0.01,1.1014716811422516,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,114827,114827,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.5176657058009,62601,4.0
0.061643084546592196,False,144,104201,104201,0.0004,188.80731443950359,88.80731443950359,0,0.0,24,1.0,47706,20,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,189.28176448556965,EX_2025Q4,0.01,1.0694895449715345,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,104201,104201,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.217329968042534,56495,4.0
0.059711137009136876,False,144,102702,102702,0.0004,183.41241409602003,83.41241409602003,0,0.0,24,1.0,47051,20,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,183.41241409602003,PRE_2025Q4,0.01,1.0665923742807868,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,102702,102702,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.18687075227356,55651,4.0
0.30196488295640067,False,144,10626,10626,0.0004,137.59615835736503,37.59615835736503,0,0.0,24,1.0,4520,20,1,-3.025124772460863,1.0,98.37676531025197,quick_exit_order,138.4072874077816,ONLY_2025Q4,0.01,1.2401049258258905,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,10626,10626,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,57.462827028044416,6106,4.0
0.19400791175922452,False,144,1499,1499,0.0004,102.94140414108487,2.94140414108488,0,0.0,24,1.0,655,20,1,-1.3540024145470286,1.0,99.07973334772758,quick_exit_order,103.20008349406348,2026_ENTRY_ONLY,0.01,1.2122867787960774,btc_rb_z4_gap0_cd144_h24_k1_short_cap20,1499,1499,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,56.30420280186791,844,4.0
0.0838822741962619,False,144,114827,114827,0.0004,259.7916113664685,159.7916113664685,0,0.0,24,1.0,52226,50,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,260.44443640317996,BASE,0.01,1.1014716811422516,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,114827,114827,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.5176657058009,62601,4.0
0.061643084546592196,False,144,104201,104201,0.0004,188.80731443950359,88.80731443950359,0,0.0,24,1.0,47706,50,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,189.28176448556965,EX_2025Q4,0.01,1.0694895449715345,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,104201,104201,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.217329968042534,56495,4.0
0.059711137009136876,False,144,102702,102702,0.0004,183.41241409602003,83.41241409602003,0,0.0,24,1.0,47051,50,1,-17.965888214069746,1.0,83.43338277798073,quick_exit_order,183.41241409602003,PRE_2025Q4,0.01,1.0665923742807868,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,102702,102702,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,54.18687075227356,55651,4.0
0.30196488295640067,False,144,10626,10626,0.0004,137.59615835736503,37.59615835736503,0,0.0,24,1.0,4520,50,1,-3.025124772460863,1.0,98.37676531025197,quick_exit_order,138.4072874077816,ONLY_2025Q4,0.01,1.2401049258258905,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,10626,10626,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,57.462827028044416,6106,4.0
0.19400791175922452,False,144,1499,1499,0.0004,102.94140414108487,2.94140414108488,0,0.0,24,1.0,655,50,1,-1.3540024145470286,1.0,99.07973334772758,quick_exit_order,103.20008349406348,2026_ENTRY_ONLY,0.01,1.2122867787960774,btc_rb_z4_gap0_cd144_h24_k1_short_cap50,1499,1499,1.0,btc_rb_z4_gap0_cd144_h24_k1_short,56.30420280186791,844,4.0
0.10859357325074478,False,24,130557,130557,0.0004,408.5383973388012,308.53839733880125,0,0.5,24,1.0,58904,0,1,-13.763464575995709,1.0,87.49320545082318,quick_exit_order,409.8182227697891,BASE,0.01,1.1254932454542905,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,130557,130557,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,54.882541725070276,71653,4.0
0.0878891730540924,False,24,119210,119210,0.0004,282.73557345983744,182.73557345983744,0,0.5,24,1.0,54101,0,1,-13.763464575995709,1.0,87.49320545082318,quick_exit_order,283.62129724863166,EX_2025Q4,0.01,1.094989330694402,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,119210,119210,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,54.61706232698599,65109,4.0
0.0871751924218782,False,24,117624,117624,0.0004,276.52116323714995,176.52116323714995,0,0.5,24,1.0,53402,0,1,-13.763464575995709,1.0,87.49320545082318,quick_exit_order,276.52116323714995,PRE_2025Q4,0.01,1.0939409799651114,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,117624,117624,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,54.59940148269061,64222,4.0
0.3261111151070002,False,24,11347,11347,0.0004,144.4948693012042,44.49486930120421,0,0.5,24,1.0,4803,0,1,-3.0354213355591186,1.0,97.22434149009204,quick_exit_order,145.2660637755626,ONLY_2025Q4,0.01,1.2389197320320413,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,11347,11347,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,57.67163126817662,6544,4.0
0.14084078584322435,False,24,1586,1586,0.0004,102.24735428924777,2.2473542892477605,0,0.5,24,1.0,699,0,1,-1.5331385144963683,1.0,99.3333888804844,quick_exit_order,102.56766387366639,2026_ENTRY_ONLY,0.01,1.1390750011497095,btc_rb_z4_gap0.5_cd24_h24_k1_short_capnone,1586,1586,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,55.926860025220684,887,4.0
0.10857686974847108,False,24,130556,130556,0.0004,408.4448905789453,308.4448905789453,0,0.5,24,1.0,58904,20,1,-13.763464575995709,1.0,87.49320545082318,quick_exit_order,409.7244230819491,BASE,0.01,1.1254594421777948,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,130556,130557,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,54.88219614571525,71652,4.0
0.0878891730540924,False,24,119210,119210,0.0004,282.73557345983744,182.73557345983744,0,0.5,24,1.0,54101,20,1,-13.763464575995709,1.0,87.49320545082318,quick_exit_order,283.62129724863166,EX_2025Q4,0.01,1.094989330694402,btc_rb_z4_gap0.5_cd24_h24_k1_short_cap20,119210,119210,1.0,btc_rb_z4_gap0.5_cd24_h24_k1_short,54.61706232698599,65109,4.0
