avg_trade_net_return_pct,bankrupt,cooldown_bars,entries,exits,final_equity,final_return_pct,flats,gap_min,horizon,losses,max_concurrent_cap,max_concurrent_positions,max_drawdown_pct,max_gross_exposure_pct,min_equity,mtm_mode,peak_equity,period,profit_factor_contribution,scenario,selected_after_cap,spec,win_rate_pct,wins,z_threshold
0.32364348701317736,False,24,1148,1148,103.7733041385253,3.773304138525302,0,1.0,24,477,20,18,-1.045756522646868,18.0,99.34838182742078,bar_close_mtm,104.0060819651337,2026_ENTRY_ONLY,1.3189806406593487,btc_rb_z5_gap1_cd24_h24_k1_short_cap20,1148,btc_rb_z5_gap1_cd24_h24_k1_short,58.44947735191638,671,5.0
0.16915775630070748,False,24,80108,80108,382.7541520399024,282.7541520399024,0,1.0,24,35126,50,18,-8.657177744327548,18.0,91.89938338667424,bar_close_mtm,383.61272236660443,BASE,1.1782211082842038,btc_rb_z5_gap1_cd24_h24_k1_short_cap50,80108,btc_rb_z5_gap1_cd24_h24_k1_short,56.15169521146453,44982,5.0
0.13891183562515227,False,24,72493,72493,271.2148391201627,171.2148391201627,0,1.0,24,31953,50,18,-8.657177744327548,18.0,91.89938338667424,bar_close_mtm,271.8232113919956,EX_2025Q4,1.1405051829759407,btc_rb_z5_gap1_cd24_h24_k1_short_cap50,72493,btc_rb_z5_gap1_cd24_h24_k1_short,55.922640806698574,40540,5.0
0.13593935071670105,False,24,71345,71345,261.3531884444224,161.35318844442241,0,1.0,24,31476,50,17,-8.657177744327548,17.0,91.89938338667424,bar_close_mtm,261.3623951037314,PRE_2025Q4,1.1358592239969427,btc_rb_z5_gap1_cd24_h24_k1_short_cap50,71345,btc_rb_z5_gap1_cd24_h24_k1_short,55.88198191884505,39869,5.0
0.45709177173511645,False,24,7615,7615,141.12671237052504,41.126712370525034,0,1.0,24,3173,50,18,-3.252066370148221,18.0,97.03368140980413,bar_close_mtm,142.08366114828166,ONLY_2025Q4,1.30255844999511,btc_rb_z5_gap1_cd24_h24_k1_short_cap50,7615,btc_rb_z5_gap1_cd24_h24_k1_short,58.332239001969796,4442,5.0
0.32364348701317736,False,24,1148,1148,103.7733041385253,3.773304138525302,0,1.0,24,477,50,18,-1.045756522646868,18.0,99.34838182742078,bar_close_mtm,104.0060819651337,2026_ENTRY_ONLY,1.3189806406593487,btc_rb_z5_gap1_cd24_h24_k1_short_cap50,1148,btc_rb_z5_gap1_cd24_h24_k1_short,58.44947735191638,671,5.0
0.2806339896573267,False,72,88965,88965,1161.817817864983,1061.817817864983,0,1.0,72,39731,0,43,-15.778534517333808,43.0,85.2067457441121,bar_close_mtm,1163.031085490115,BASE,1.2465682426814209,btc_rb_z4.5_gap1_cd72_h72_k1_short_capnone,88965,btc_rb_z4.5_gap1_cd72_h72_k1_short,55.34086438487046,49234,4.5
0.2379810118953391,False,72,80995,80995,663.1163314244424,563.1163314244424,0,1.0,72,36545,0,43,-15.778534517333808,43.0,85.2067457441121,bar_close_mtm,663.8088131235886,EX_2025Q4,1.1859697302385386,btc_rb_z4.5_gap1_cd72_h72_k1_short_capnone,80995,btc_rb_z4.5_gap1_cd72_h72_k1_short,54.87993085992963,44450,4.5
0.2369136684056426,False,72,79814,79814,639.4483842997322,539.4483842997322,0,1.0,72,36021,0,41,-15.778534517333808,41.0,85.2067457441121,bar_close_mtm,642.9835925540965,PRE_2025Q4,1.1841815383722454,btc_rb_z4.5_gap1_cd72_h72_k1_short_capnone,79814,btc_rb_z4.5_gap1_cd72_h72_k1_short,54.86882000651515,43793,4.5
0.7140942072021431,False,72,7970,7970,175.20711979934472,75.20711979934474,0,1.0,72,3186,0,43,-11.35292433768129,43.0,95.0443840478978,bar_close_mtm,176.58121532925128,ONLY_2025Q4,1.399470897995393,btc_rb_z4.5_gap1_cd72_h72_k1_short_capnone,7970,btc_rb_z4.5_gap1_cd72_h72_k1_short,60.025094102885824,4784,4.5
