avg_trade_net_return_pct,bankrupt,cooldown_bars,entries,ex_q4_final_return_pct,ex_q4_mdd_pct,ex_q4_pf,exits,fee_per_side,final_equity,final_return_pct,flats,gap_min,horizon,leverage,losses,max_concurrent_cap,max_concurrent_positions,max_drawdown_pct,max_gross_exposure_pct,min_equity,mtm_mode,peak_equity,period,position_fraction,profit_factor_contribution,rank,robust_pass,scenario,selected_after_cap,selected_before_cap,slippage_bps,spec,win_rate_pct,wins,y2026_final_return_pct,y2026_mdd_pct,y2026_pf,z_threshold
0.196376164033319,False,36,89212,283.79436981235267,-10.886325399357988,1.1588925313520315,89212,0.0004,567.2083387237697,467.20833872376966,0,0.0,36,1.0,39498,20,1,-10.886325399357988,1.0,89.53138250559839,quick_exit_order,567.9015725717437,BASE,0.01,1.1925055422375426,1,True,btc_rb_z5_gap0_cd36_h36_k1_short_cap20,89212,89621,1.0,btc_rb_z5_gap0_cd36_h36_k1_short,55.72568712729229,49714,3.8994684436495897,-1.1824572488536633,1.2682458417523181,5.0
0.16915775630070748,False,24,80108,171.9930327958952,-8.562250045068275,1.1409033337305365,80108,0.0004,384.35226566761025,284.35226566761025,0,1.0,24,1.0,35126,0,1,-8.562250045068275,1.0,91.98777026495776,quick_exit_order,385.1564574915587,BASE,0.01,1.1788268787451575,2,True,btc_rb_z5_gap1_cd24_h24_k1_short_capnone,80108,80108,1.0,btc_rb_z5_gap1_cd24_h24_k1_short,56.15169521146453,44982,3.7752609128102854,-0.7008468444742566,1.3190665521844656,5.0
0.16915775630070748,False,24,80108,171.9930327958952,-8.562250045068275,1.1409033337305365,80108,0.0004,384.35226566761025,284.35226566761025,0,1.0,24,1.0,35126,20,1,-8.562250045068275,1.0,91.98777026495776,quick_exit_order,385.1564574915587,BASE,0.01,1.1788268787451575,3,True,btc_rb_z5_gap1_cd24_h24_k1_short_cap20,80108,80108,1.0,btc_rb_z5_gap1_cd24_h24_k1_short,56.15169521146453,44982,3.7752609128102854,-0.7008468444742566,1.3190665521844656,5.0
0.16915775630070748,False,24,80108,171.9930327958952,-8.562250045068275,1.1409033337305365,80108,0.0004,384.35226566761025,284.35226566761025,0,1.0,24,1.0,35126,50,1,-8.562250045068275,1.0,91.98777026495776,quick_exit_order,385.1564574915587,BASE,0.01,1.1788268787451575,4,True,btc_rb_z5_gap1_cd24_h24_k1_short_cap50,80108,80108,1.0,btc_rb_z5_gap1_cd24_h24_k1_short,56.15169521146453,44982,3.7752609128102854,-0.7008468444742566,1.3190665521844656,5.0
0.2806339896573267,False,72,88965,578.7895973493081,-14.83112571553644,1.1883348099750086,88965,0.0004,1196.4688714415279,1096.4688714415279,0,1.0,72,1.0,39731,0,1,-14.83112571553644,1.0,85.4035744622118,quick_exit_order,1197.3747942323785,BASE,0.01,1.2498241986919059,5,True,btc_rb_z4.5_gap1_cd72_h72_k1_short_capnone,88965,88965,1.0,btc_rb_z4.5_gap1_cd72_h72_k1_short,55.34086438487046,49234,3.7160155826954977,-2.199634026405739,1.2396451532979424,4.5
0.2806339896573267,False,72,88965,578.7895973493081,-14.83112571553644,1.1883348099750086,88965,0.0004,1196.4688714415279,1096.4688714415279,0,1.0,72,1.0,39731,50,1,-14.83112571553644,1.0,85.4035744622118,quick_exit_order,1197.3747942323785,BASE,0.01,1.2498241986919059,6,True,btc_rb_z4.5_gap1_cd72_h72_k1_short_cap50,88965,88965,1.0,btc_rb_z4.5_gap1_cd72_h72_k1_short,55.34086438487046,49234,3.7160155826954977,-2.199634026405739,1.2396451532979424,4.5
0.3242804181210504,False,144,72861,566.9959441860607,-17.199105501620416,1.2070305034472653,72861,0.0004,1045.6329893519164,945.6329893519164,0,1.0,96,1.0,32848,20,1,-17.199105501620416,1.0,85.25974598004382,quick_exit_order,1046.7132033964733,BASE,0.01,1.2690194220668136,7,True,btc_rb_z4.5_gap1_cd144_h96_k1_short_cap20,72861,82565,1.0,btc_rb_z4.5_gap1_cd144_h96_k1_short,54.91689655645682,40013,3.6840770581441307,-1.1588304479078326,1.4215536533964566,4.5
0.255460262631389,False,48,76126,349.93425388488333,-11.087291992687366,1.1978565964461725,76126,0.0004,689.883644989989,589.883644989989,0,1.0,48,1.0,33467,20,1,-11.087291992687366,1.0,88.96775850655033,quick_exit_order,689.883644989989,BASE,0.01,1.2415302909824875,8,True,btc_rb_z5_gap1_cd48_h48_k1_short_cap20,76126,76598,1.0,btc_rb_z5_gap1_cd48_h48_k1_short,56.0373591151512,42659,3.674079632144167,-1.2796485516744727,1.2934256754284754,5.0
0.3051353601568443,False,96,107200,1110.8946935171462,-20.019946931316714,1.1911907976298277,107200,0.0004,2580.36768572875,2480.36768572875,0,1.0,96,1.0,48511,0,1,-20.019946931316714,1.0,84.31334890751687,quick_exit_order,2582.287357509411,BASE,0.01,1.2772163066452644,9,True,btc_rb_z4_gap1_cd96_h96_k1_short_capnone,107200,107200,1.0,btc_rb_z4_gap1_cd96_h96_k1_short,54.747201492537314,58689,3.653638341845644,-2.5798015870103663,1.1975884201924474,4.0
0.32624600314640756,False,72,74484,565.6762765548319,-12.55305541845695,1.2242256070835975,74484,0.0004,1120.8612172732496,1020.8612172732495,0,1.0,72,1.0,32870,0,1,-12.55305541845695,1.0,87.53573087597877,quick_exit_order,1120.8612172732496,BASE,0.01,1.2784014973473834,10,True,btc_rb_z5_gap1_cd72_h72_k1_short_capnone,74484,74484,1.0,btc_rb_z5_gap1_cd72_h72_k1_short,55.869716986198384,41614,3.6317456810495585,-2.336286836550905,1.25607681853663,5.0
0.32624600314640756,False,72,74484,565.6762765548319,-12.55305541845695,1.2242256070835975,74484,0.0004,1120.8612172732496,1020.8612172732495,0,1.0,72,1.0,32870,50,1,-12.55305541845695,1.0,87.53573087597877,quick_exit_order,1120.8612172732496,BASE,0.01,1.2784014973473834,11,True,btc_rb_z5_gap1_cd72_h72_k1_short_cap50,74484,74484,1.0,btc_rb_z5_gap1_cd72_h72_k1_short,55.869716986198384,41614,3.6317456810495585,-2.336286836550905,1.25607681853663,5.0
