run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,mod_base,mod_start,mod_width,cycle_n,vol_phase_min,vol_phase_max,ret_phase_min,ret_phase_max,ret1_min,ret5_min,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,volr_min,volr_max,close_pos_min,upper_wick_max,body_atr_max,fail_bars,fail_pnl,verdict,note
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_001_M24S0_RR150,modulo_24_position_edge,bar_index_modulo_24_position,long,1351714,523452,828262,38.72505574404053,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_001_M24S0_RR150,0.85,1.5,10,20,24,0,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_002_M24S0_RR210,modulo_24_position_edge,bar_index_modulo_24_position,long,1317642,433322,884320,32.88617090226328,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_002_M24S0_RR210,0.85,2.1,10,20,24,0,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_003_M24S4_RR150,modulo_24_position_edge,bar_index_modulo_24_position,long,1324091,508629,815462,38.41344741411278,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_003_M24S4_RR150,0.85,1.5,10,20,24,4,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_004_M24S4_RR210,modulo_24_position_edge,bar_index_modulo_24_position,long,1292036,420245,871791,32.52579649483451,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_004_M24S4_RR210,0.85,2.1,10,20,24,4,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_005_M24S8_RR150,modulo_24_position_edge,bar_index_modulo_24_position,long,1320351,500902,819449,37.937033410055356,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_005_M24S8_RR150,0.85,1.5,10,20,24,8,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_006_M24S8_RR210,modulo_24_position_edge,bar_index_modulo_24_position,long,1288596,412150,876446,31.98442335689386,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_006_M24S8_RR210,0.85,2.1,10,20,24,8,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_007_M24S12_RR150,modulo_24_position_edge,bar_index_modulo_24_position,long,1355550,524805,830745,38.71528162000664,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_007_M24S12_RR150,0.85,1.5,10,20,24,12,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_008_M24S12_RR210,modulo_24_position_edge,bar_index_modulo_24_position,long,1321149,434049,887100,32.85390217151888,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_008_M24S12_RR210,0.85,2.1,10,20,24,12,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_009_M24S16_RR150,modulo_24_position_edge,bar_index_modulo_24_position,long,1326228,509406,816822,38.41013762339507,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_009_M24S16_RR150,0.85,1.5,10,20,24,16,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
LONG_TIME_POSITION_CYCLE_EDGE_V14_1H,TPC_A_010_M24S16_RR210,modulo_24_position_edge,bar_index_modulo_24_position,long,1294087,421306,872781,32.55623462719276,-100.0,0,100.0,0.0,597,0,0.01,0.0004,0.08,TPC_A_010_M24S16_RR210,0.85,2.1,10,20,24,16,4,24,0.1,0.85,0.2,0.9,-0.004,-0.05,-0.14,-0.28,0.18,0.42,0.001,0.08,0.2,0.36,30,70,0.9,0.84,0.74,0.3,3.5,0.52,0.7,2.1,4,-0.38,invalid_ruin,MDD >= 100
