experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
long_hybrid_baseline_max50_lossbrake,19837,181.0410520159522,0.810410520159522,183.37337154232182,0.8337337154232183,0.5032514997227403,1.3423885405609068,-0.07075300991750533,50,50,4920,0
long_hybrid_confirmation24,16224,170.8929793226891,0.7089297932268908,173.41124696020537,0.7341124696020538,0.5031434911242604,1.3610977638084416,-0.058316335846133605,50,50,4920,0
long_hybrid_reentry48,9243,145.87576606664348,0.45875766066643475,148.34789361932968,0.48347893619329674,0.5171481120848209,1.5622631356405945,-0.037177794649442486,50,50,4920,0
long_hybrid_confirmation24_reentry48,7572,137.46793928093925,0.37467939280939255,139.13778190181011,0.3913778190181012,0.5178288431061807,1.539039779238421,-0.05482828207898682,50,50,4920,0
long_hybrid_dense30,15754,122.11219741871035,0.22112197418710355,122.72600040753426,0.22726000407534253,0.48057636155896916,1.1343072652764432,-0.07026836871722852,50,50,4920,0
long_hybrid_dense30_confirm24,13502,121.48266645576784,0.2148266645576784,124.01833588942857,0.24018335889428566,0.4874092727003407,1.147048880895208,-0.08727442641132899,50,50,4920,0
long_hybrid_dense30_reentry48,8175,121.39990783422103,0.21399907834221032,121.78811385369534,0.21788113853695346,0.5104587155963303,1.3219370130243733,-0.032673133206774896,50,50,4920,0
long_hybrid_conservative_dense30_confirm,12287,131.38173265351853,0.31381732653518535,132.35129834224767,0.3235129834224768,0.4919020102547408,1.2286170417940514,-0.04607086305810737,40,40,4920,0
long_hybrid_conservative_reentry48,8886,130.41929665260707,0.30419296652607075,131.80850203260871,0.3180850203260872,0.517330632455548,1.3983279724960802,-0.03941049954016751,40,40,4920,0
long_hybrid_symbol1_dd_confirmation,16169,171.59256301811405,0.7159256301811405,174.12113967468372,0.7412113967468372,0.5040509617168656,1.3656814982833245,-0.05705040419913332,50,50,4920,0
long_hybrid_quiet48_reentry48_lossbrake,6124,124.90640215542902,0.2490640215542903,126.23658473616881,0.2623658473616881,0.511430437622469,1.4786774739679236,-0.03284204638268273,50,50,4920,0
