removed_top_n,removed_symbol_pct,base_trade_list_compound_return_pct,remaining_trade_list_compound_return_pct,delta_return_pct_point
1,0.16750418760469013,144439.82837321362,136053.36009973448,-8386.468273479142
3,0.5025125628140703,144439.82837321362,128293.89630020256,-16145.932073011063
5,0.8375209380234505,144439.82837321362,121245.01333600427,-23194.81503720935
10,1.675041876046901,144439.82837321362,105984.92696333406,-38454.90140987956
30,5.025125628140704,144439.82837321362,65936.81661846231,-78503.01175475131
60,10.050251256281408,144439.82837321362,41429.57281224471,-103010.25556096892
