symbol,trades,wins,losses,win_rate_pct,sum_trade_return_pct,avg_trade_return_pct,gross_profit_return_pct,gross_loss_abs_return_pct,profit_factor,asset_pnl,rank,positive_pool_share_pct,negative_pool_share_pct,net_contribution_pct,cumulative_positive_pool_share_pct
COAI,305,17,288,5.573770491803279,600.1552627980709,1.9677221731084291,787.1193747520447,186.96411195397377,4.210002478688612,2611.9859093772975,1,2.15806479549703,0.0,2.2377850473604486,2.15806479549703
FOLKS,106,6,100,5.660377358490567,245.30996507406235,2.31424495352889,329.9967460632324,84.68678098917007,3.8966736273212828,2138.6706186840966,2,1.7670040848138877,0.0,1.8322783115094812,3.925068880310918
TRUTH,236,16,220,6.779661016949152,343.9743392467499,1.4575183866387706,493.25410985946655,149.27977061271667,3.304226070517875,2016.5174587244735,3,1.6660791781284507,0.0,1.7276251761827894,5.5911480584393685
AIA,271,12,259,4.428044280442804,441.95684702694416,1.630837073900163,683.4686412811279,241.51179425418377,2.8299596853717137,1742.0127394722401,4,1.4392789612171468,0.0,1.4924468186092712,7.030427019656515
FHE,270,9,261,3.3333333333333335,126.39388409256935,0.46812549663914577,310.4814558029175,184.08757171034813,1.6865965090323605,1543.2946941919188,5,1.2750949140483456,0.0,1.3221977109197836,8.30552193370486
TRUST,47,6,41,12.76595744680851,225.70824532210827,4.80230309195975,261.9011116027832,36.192866280674934,7.236263344597951,1507.0663039494561,6,1.2451624349721373,0.0,1.2911595075039584,9.550684368676997
LAB,114,10,104,8.771929824561402,234.2370511442423,2.0547109749494936,310.32722091674805,76.09016977250576,4.078414095336674,1458.2010448936423,7,1.2047891715052088,0.0,1.2492948306471967,10.755473540182205
PTB,220,16,204,7.2727272727272725,269.62184473872185,1.225553839721463,431.2529230117798,161.63107827305794,2.6681312011247327,1355.2917801327183,8,1.119763880743216,0.0,1.161128652916263,11.875237420925421
SLERF,51,4,47,7.8431372549019605,359.6363097578287,7.05169234819272,405.41119623184204,45.77488647401333,8.856629201297885,1241.174746544217,9,1.0254785509986124,0.0,1.0633603646201142,12.900715971924033
4,175,14,161,8.0,265.73714105784893,1.5184979489019939,352.88812613487244,87.1509850770235,4.049158203122914,1212.998632966368,10,1.0021989924956425,0.0,1.0392208447892923,13.902914964419676
BLESS,245,13,232,5.3061224489795915,370.96320037543774,1.5141355117364805,567.3746452331543,196.41144485771656,2.8887046049896385,1194.318439404603,11,0.986765115936819,0.0,1.0232168312591112,14.889680080356495
RVV,116,9,107,7.758620689655173,137.64328265190125,1.1865800228612176,207.0424861907959,69.39920353889465,2.9833553648027,1149.7518007221852,12,0.9499434418041699,0.0,0.9850349416491454,15.839623522160664
LYN,121,9,112,7.43801652892562,176.8752565830946,1.4617789800255752,237.70107281208038,60.825816228985786,3.907897789932277,1122.5345725516574,13,0.9274561298569822,0.0,0.961716934453186,16.767079652017646
EVAA,214,11,203,5.14018691588785,229.6373350918293,1.0730716593076135,369.1106786727905,139.47334358096123,2.6464603858767455,1068.503481504275,14,0.8828147728599802,0.0,0.9154264980445038,17.649894424877626
HANA,162,17,145,10.493827160493826,270.5950364768505,1.6703397313385835,403.0537714958191,132.45873501896858,3.042862906988356,1066.1956269991526,15,0.880907986325354,0.0,0.9134492736328005,18.53080241120298
BAS,251,11,240,4.382470119521913,362.9809320271015,1.4461391714227152,523.1209373474121,160.1400053203106,3.2666474332948243,1045.6237966870078,16,0.8639112090394604,0.0,0.8958246248534627,19.39471362024244
BEAT,221,5,216,2.262443438914027,74.4570417702198,0.3369096912679629,187.37399888038635,112.91695711016655,1.659396459803432,996.43262466937,17,0.8232686710382464,0.0,0.853680726294129,20.217982291280688
FLOCK,65,12,53,18.461538461538463,176.92480619251728,2.7219200952694966,205.8819613456726,28.957155153155327,7.109882177885096,995.94150401272,18,0.8228628992476509,0.0,0.8532599650419508,21.040845190528337
BANANAS31,240,18,222,7.5,266.51951991021633,1.1104979996259015,459.61742401123047,193.09790410101414,2.380229998616627,989.6201544503265,19,0.8176400985037203,0.0,0.8478442307996344,21.858485289032057
TANSSI,152,14,138,9.210526315789473,201.98618595302105,1.3288564865330332,318.28821539878845,116.3020294457674,2.7367382746077435,963.1507857962765,20,0.7957706801250599,0.0,0.8251669425438085,22.654255969157116
ICNT,294,14,280,4.761904761904762,146.4241600483656,0.4980413607087265,279.48007893562317,133.05591888725758,2.100470849195633,915.1566414251228,21,0.7561171456302735,0.0,0.7840485818937579,23.41037311478739
DMC,164,22,142,13.414634146341465,295.13005079329014,1.799573480446891,411.1567521095276,116.02670131623745,3.54363907139699,910.1154041598876,22,0.7519519942683178,0.0,0.7797295672574848,24.162325109055708
PIEVERSE,151,5,146,3.3112582781456954,111.7833418995142,0.7402870324471139,225.18188858032227,113.39854668080807,1.9857563890493208,888.7110105661907,23,0.7342673397999744,0.0,0.7613916306859924,24.89659244885568
PIPPIN,532,33,499,6.203007518796992,421.9437357187271,0.7931273227795622,779.440345287323,357.4966095685959,2.1802733912019527,879.7788542579974,24,0.726887448504472,0.0,0.7537391216294155,25.623479897360152
ARIA,127,15,112,11.811023622047244,189.22428949177265,1.4899550353682887,264.11636114120483,74.89207164943218,3.5266264549006814,835.9894808657683,25,0.6907079634638451,0.0,0.7162231439747828,26.314187860823996
CUDIS,120,12,108,10.0,214.05386708676815,1.783782225723068,294.88300466537476,80.8291375786066,3.6482265368549807,824.239663041389,26,0.6810000748763674,0.0,0.7061566399625642,26.995187935700365
AVAAI,481,29,452,6.029106029106029,538.3075249493122,1.1191424635120837,791.6917080879211,253.38418313860893,3.124471694647339,823.6268494893818,27,0.6804937584571087,0.0,0.7056316199007873,27.675681694157472
H,401,22,379,5.486284289276807,142.22722060978413,0.35468134815407515,457.68175411224365,315.4545335024595,1.4508644051827368,805.3897607555408,28,0.6654259822384228,0.0,0.6900072306843446,28.341107676395893
BDXN,225,16,209,7.111111111111111,180.27647507190704,0.8012287780973646,359.4124584197998,179.13598334789276,2.0063666255249197,798.4958146826367,29,0.659730093042169,0.0,0.6841009318088915,29.00083776943806
