feature,bucket,feature_min,feature_max,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,p25_net_ret_pct,p75_net_ret_pct,p05_net_ret_pct,p95_net_ret_pct,profit_factor,avg_mae_pct,med_mae_pct,p75_mae_pct,p90_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,med_mfe_pct,p95_mfe_pct,mfe_mae_ratio,mae_gt_3_pct,mae_gt_5_pct,mae_gt_10_pct
box_width_pct,"(-0.0009, 0.717]",9.998870129073195e-05,0.7170435741864213,111,47.74774774774775,0.2717612908452962,-0.07809999619999612,-0.8616408044225454,1.2683281793583268,-3.155033991906684,4.411046996629889,1.362416164549703,1.904467570356474,1.4034644076368785,2.218052902515144,4.335877862595416,5.412550524557036,9.138954636291817,18.964737006996902,2.2918602678505495,1.3649425287356465,5.674438659208036,1.203412598630684,17.117117117117118,7.207207207207207,0.9009009009009009
box_width_pct,"(0.717, 0.991]",0.7216663933081777,0.9913466523108778,110,52.72727272727272,0.03655556708516105,0.42326785254580784,-1.9234117308306906,1.903711308889985,-5.596969166133688,5.274365240060485,1.0274273884591938,3.333358083936227,2.4245363098937323,4.6702498112910105,6.997850456946216,8.24345112727839,13.50140107192197,17.06846673095468,2.830926289470241,2.04342876852035,7.283976207642385,0.8492715808459784,38.18181818181819,19.090909090909093,4.545454545454546
box_width_pct,"(0.991, 1.336]",0.9969915343175049,1.3357619914997008,110,54.54545454545454,0.19802479943260284,0.3588929844166833,-2.08231424588391,2.2471065717856034,-6.8303971561460175,7.068456059518053,1.1339619006146144,3.9753866934838564,2.999838697059043,5.0889187208688345,9.571979730529378,11.946519583596556,14.354781086350673,15.022278803309996,3.762444588388109,2.8627091216529066,11.05116090224538,0.946434869985155,50.0,25.454545454545453,9.090909090909092
box_width_pct,"(1.336, 1.907]",1.337925276560211,1.9073569482288948,110,57.27272727272727,0.8046472817826023,0.741171214258598,-1.7178471292658597,4.5643440889097855,-10.18935169248422,8.502997522587243,1.4624751344409954,4.75046860916724,2.925425483215005,5.565232957332028,10.071584438598789,12.777714128359026,33.12281988396203,48.44330983961376,5.384255166891948,4.132453578526518,13.587713274478554,1.1334155869384455,48.18181818181818,27.27272727272727,10.909090909090908
box_width_pct,"(1.907, 6.244]",1.9117826991312876,6.244477172312222,110,60.0,2.2723517207650765,2.0395331297348296,-3.1001598698661375,5.71803041365306,-10.796554397125506,15.390522992867188,2.0111860889013906,6.794658486465129,4.71027863548259,8.396231292052303,12.994554829584196,19.143494825844538,44.514279752250296,57.67472371530125,8.353290722214416,5.775922994820759,22.714214520859972,1.2293908132180686,64.54545454545455,47.27272727272727,17.272727272727273
first_break_bars,1,1.0,1.0,78,61.53846153846154,2.405770242260295,1.1294983949012094,-0.6274154894309247,4.193659789319206,-4.758148669461865,13.129698762862956,4.025398484718129,3.1262635801501837,1.7644355841282433,3.6765160189423387,6.752589950121035,8.578137559611534,17.796137896021722,34.21181063933627,5.8205610569655795,3.6815535012564182,16.8912089183161,1.8618267166986489,33.33333333333333,16.666666666666664,3.8461538461538463
first_break_bars,2,2.0,2.0,61,52.459016393442624,0.2589725950052133,0.5998096532970809,-2.001655580192161,3.2455601743891416,-7.21541666666666,5.7463375516852455,1.1596292920834088,4.2429155150110685,2.4539877300613355,5.935198821796761,9.400899834241061,14.48112141080713,20.668631940146323,22.111913357400724,4.323240427971179,4.026129849353421,10.443431413178628,1.0189315372120722,40.98360655737705,27.86885245901639,9.836065573770492
first_break_bars,3,3.0,3.0,45,57.77777777777777,2.25847763466078,0.6906548413484392,-1.833277523298069,3.060685501218998,-4.164787829632937,7.569668447863163,3.2028135412349754,3.612307905648383,3.096330275229353,4.766146993318476,6.845107220609733,8.507296534930049,9.931996625699233,10.42325468255898,5.689399298445075,3.149138443256083,15.936877177040714,1.5750039717126132,51.11111111111111,22.22222222222222,2.2222222222222223
first_break_bars,4,4.0,4.0,40,45.0,-0.745086439600738,-0.44252736093714273,-2.1770948216193995,1.3774868825307562,-8.011739504312368,5.470124845309396,0.5965909804833868,4.7555602013305265,3.2232859047494067,5.43818863584532,10.357250699911653,12.416127770653121,16.61876379730284,18.964737006996902,2.942922190930657,1.793821320656741,7.8591896415483,0.6188381739142481,52.5,35.0,12.5
first_break_bars,5,5.0,5.0,56,55.35714285714286,1.0491881241167806,0.15109635979132738,-1.5697090552526083,2.730019869237018,-6.4170720475022955,10.276362320072177,1.748718942339638,4.133158067771034,2.8885352976658396,5.569745630197098,8.51784096258995,12.248254638082956,15.970049300144051,16.62531017369726,4.506552913837858,2.746670904326587,12.691734152903283,1.0903412934962324,46.42857142857143,30.357142857142854,7.142857142857142
