symbol,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,p25_net_ret_pct,p75_net_ret_pct,p05_net_ret_pct,p95_net_ret_pct,profit_factor,avg_mae_pct,med_mae_pct,p75_mae_pct,p90_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,med_mfe_pct,p95_mfe_pct,mfe_mae_ratio,mae_gt_3_pct,mae_gt_5_pct,mae_gt_10_pct
BTC_5m,10,50.0,0.2432104781996415,0.25696819941061994,-0.5151276127925491,1.1800693841910648,-1.2651495814064433,1.5250039184181872,1.69365095928686,0.7061703046011503,0.49893158863590914,0.7544632379017202,1.2446441888062825,2.069996761044525,2.730278818835122,2.8953493332827707,1.2485935738885945,1.0511102159274421,2.562195903345986,1.7681196246191753,0.0,0.0,0.0
ETH_5m,8,50.0,0.4231557458953894,-0.3149582329606803,-0.7913154339113693,1.4450072877241948,-1.1954644939209558,3.092904536732236,1.907331990251986,1.1168480281576743,1.1570931367395954,1.4554553957137562,1.7785398662693508,2.00411569795992,2.1845763633123765,2.2296915296504904,1.6223879240835681,1.2616502123638407,3.931126209580966,1.4526487786881983,0.0,0.0,0.0
XRP_5m,6,33.33333333333333,1.5586428320704917,-0.5586831051865782,-1.1511014377256301,2.3591772155810675,-10.492160694486158,17.35246654295075,1.5864643489141914,4.148076959069125,1.3370262689681889,1.5471674775122402,10.32475270472726,14.711083011692196,18.22014725726415,19.097413318657132,8.863248193653437,0.5238813813989385,34.36671880750828,2.136712573346867,16.666666666666664,16.666666666666664,16.666666666666664
SOL_5m,6,50.0,0.9375019563204768,0.4848846099817528,-0.6993299320350288,2.7992603271891534,-4.190240604608856,6.443347099636207,1.892831646692953,2.083180488031733,1.273428987411529,1.7878852512748178,4.3248917395612985,5.519448745757338,6.475094350714171,6.714005751953378,3.60138522333668,1.9610388300318249,10.048609043730123,1.7287917412952556,16.666666666666664,16.666666666666664,0.0
BLZ_5m,6,50.0,-0.012402728360066432,0.8080373780173978,-1.1516289487538027,2.7543936889771325,-6.9743195037006105,4.907287124911127,0.9929599792771696,4.675395586838693,4.0509194542238225,5.215088471647661,8.705104701259014,10.281489206751166,11.542596811144888,11.857873712243316,4.575715458208192,2.450585937030625,12.379642277374959,0.9786798514095573,66.66666666666666,33.33333333333333,16.666666666666664
MKR_5m,6,33.33333333333333,-1.4899482186770336,-0.96931560160887,-1.4907953225872521,-0.11383393318921459,-5.892603670513935,1.3884577255286104,0.17790252671301537,4.759740636325775,4.1634467798878365,8.167894242646446,9.157718048235408,9.350276750072023,9.504323711541314,9.542835451908637,1.0090727262222043,0.7532568419233554,2.3699224441172784,0.2120016201137266,50.0,50.0,0.0
ETC_5m,6,33.33333333333333,-2.368381216622483,-1.1328671858485273,-4.559347780114557,0.21462486076532455,-7.552392722623141,1.1128375775447363,0.11249576714786544,3.773100629349539,2.047471283657465,6.18417971306085,8.409452983393006,8.858106041089913,9.21702848724744,9.30675909878682,2.157899177050545,1.4085200540439602,5.819526586598195,0.5719166778285886,33.33333333333333,33.33333333333333,0.0
CHZ_5m,5,60.0,2.1884142576814107,0.22636292223096274,-0.8427660546268401,5.683918402039958,-1.1398481549511397,6.807723439444141,6.319729931400746,4.212846980945102,2.309349821997375,2.41267021906455,8.752613537987127,10.865927977627983,12.55657952934067,12.979242417268843,4.618079730461555,2.8253667770941737,10.450085211480683,1.096189762255629,20.0,20.0,20.0
DENT_5m,5,60.0,2.1352519756211086,1.935306122448979,-0.08,2.3815384615384705,-1.5663168465980435,7.178156774200212,6.290787815591138,2.2531307705915182,2.0755188797199287,2.5326170376055224,3.393175337039245,3.680028103517152,3.9095103166994782,3.9668808699950597,4.171644369864946,3.900156006240252,7.933417774954184,1.8514879048807973,20.0,0.0,0.0
BNB_5m,5,60.0,0.05022456043041638,0.12387359836901987,-0.0902900066885181,0.588860433507401,-1.1782264864937564,0.9808835934288761,1.1630137631956308,1.0367725642116543,0.5402809460919533,1.744537217978337,2.247210307824221,2.414768004439516,2.5488141617317517,2.5823257010548106,1.268349933479156,1.2993089547941317,2.0846486475978177,1.2233637127961516,0.0,0.0,0.0
