combo,filters,box_width_threshold_pct,fast_break_max_bars,break_slip_threshold_pct,break_slip_r_threshold,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,p25_net_ret_pct,p75_net_ret_pct,p05_net_ret_pct,p95_net_ret_pct,profit_factor,avg_mae_pct,med_mae_pct,p75_mae_pct,p90_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,med_mfe_pct,p95_mfe_pct,mfe_mae_ratio,mae_gt_3_pct,mae_gt_5_pct,mae_gt_10_pct,final_asset_posfrac,final_return_posfrac_pct,mdd_posfrac_pct,official_cd_posfrac,avg_box_width_pct,avg_first_break_bars,avg_break_slip_pct,avg_break_slip_r_box,insufficient_trades
ALL_BASE,NONE,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,551,54.44646098003629,0.7158606785499574,0.32602099425630643,-1.7286978371401505,2.8792829068091352,-7.250779804095295,8.886882816506017,1.4746406205767209,4.1475894852002515,2.540258562032216,5.083676195638198,9.284195605953215,12.459730738369778,21.846021923505443,57.67472371530125,4.520503328670652,2.857666239237955,13.844702431304956,1.0899109819814763,43.55716878402904,25.226860254083483,8.52994555353902,104.01197205632893,4.011972056328927,0.6569962491928724,103.49584806911649,1.3727257086776108,7.950998185117967,0.25572718240295733,0.6548565606572739,
A_BOX_TOP,F_BOX_TOP,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,111,60.36036036036037,2.262028700935855,1.9190913221263008,-3.052434622238801,5.716247918045127,-10.781839445983103,15.261771604805622,2.0157432323765803,6.805319146469093,4.766146993318476,8.338923503259243,12.949421084704449,19.139305597918412,44.41688245169741,57.67472371530125,8.300040006243233,5.629186155285315,22.702535349724997,1.219640082647655,64.86486486486487,47.74774774774775,17.117117117117118,102.53585584620689,2.5358558462068803,0.4144243869353654,102.14391442468386,2.7574565158725735,9.324324324324325,0.4342072013232303,0.15570197030213462,
B_FAST_BREAK,F_FAST_BREAK,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,184,57.608695652173914,1.6580375040834567,0.9459780109613036,-1.1483491246874817,3.7694481925198167,-5.480191151305721,9.882409923674611,2.4729242753625003,3.6153275077259064,2.406553331027095,4.66817531184644,8.001489828070415,10.181868009348172,20.11537406353211,34.21181063933627,5.292089114019487,3.6654221610923243,14.194886028001772,1.463792451087865,40.21739130434783,21.73913043478261,5.434782608695652,103.0930569485794,3.093056948579398,0.22115912313279065,102.8939085756147,1.302307943853673,1.8206521739130435,0.2545270245998453,0.7304528032020142,
C_SLIP_TOP,F_SLIP_TOP,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,221,57.9185520361991,0.7778953570301901,0.8444501115715619,-1.9378960582475544,4.125243807530268,-8.226964856230031,9.782506610259114,1.4352295832288846,5.185090641949713,3.2037815126050306,6.619645025148868,10.42325468255898,13.40075853350189,35.36326244941068,57.67472371530125,5.162443962504762,3.640637905838995,14.488888888888884,0.9956323464701409,53.84615384615385,34.841628959276015,11.312217194570136,101.7292451727583,1.729245172758298,0.46804218228928146,101.38603176363493,1.658179876011148,8.542986425339366,0.5040885332717547,0.3544934475730763,
D_SLIP_R_TOP,F_SLIP_R_TOP,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,221,56.56108597285068,0.7273804607296981,0.6380236095898795,-1.38032806441992,2.7926852413168746,-6.273374529573014,8.377311352365648,1.5321778908810548,3.8960781898379633,2.4539877300613355,5.159165751920969,8.681620526454893,11.857873712243316,18.670020336483233,45.39085545722714,4.326254962445606,2.8253667770941737,13.314553990610323,1.1104127667996144,42.081447963800905,26.244343891402718,6.334841628959276,101.61730765095263,1.6173076509526263,0.40318306053190883,101.34046651152546,1.256022471902593,8.095022624434389,0.4649993152928906,1.5111542531096862,
A+B_BOX_FAST,F_BOX_TOP&F_FAST_BREAK,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,34,67.64705882352942,5.105379484976775,2.5596141985286947,-1.3662545775881112,6.125071998760781,-4.9073966028550835,23.132488541443884,5.010962153879514,6.059371662988333,4.776961442329863,8.396231292052303,11.386825852416534,15.09371009056261,19.53311299966037,19.706444328643393,10.234783337286919,6.4765374798579245,31.6937319468515,1.6890832757136696,70.58823529411765,47.05882352941176,14.705882352941178,101.74769491769446,1.7476949176944645,0.14505053282586497,101.6648303872314,2.641400393649674,1.9411764705882353,0.4726233983228254,0.1730948999984256,
A+C_BOX_SLIP,F_BOX_TOP&F_SLIP_TOP,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,65,58.46153846153847,1.0706681139717629,1.9190913221263008,-2.7742815249266894,5.4663576158940375,-12.601152151997407,10.714219504169872,1.402607428237236,8.169496319836203,5.272366732765654,9.286165508528121,15.281452184495224,19.54892195478499,49.813048030133814,57.67472371530125,7.212322784712363,5.459459459459448,20.034520589418662,0.882835673381755,72.3076923076923,53.84615384615385,20.0,100.69533637515997,0.6953363751599717,0.5540810598589283,100.13740258814397,2.806048154075902,9.353846153846154,0.6733250955105133,0.23902126877918053,
A+D_BOX_SLIPR,F_BOX_TOP&F_SLIP_R_TOP,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,37,64.86486486486487,2.654521698883637,2.5545933562428313,-1.1074763334103044,5.7463375516852455,-6.5021102806155024,11.91220815113754,2.4090911105433856,7.188042691655782,5.021598272138239,8.070831108738208,9.855224283748928,22.475183382129536,41.88455263731991,45.39085545722714,8.698736398693688,7.299030083840208,21.924546311758217,1.2101676035941733,67.56756756756756,51.35135135135135,8.108108108108109,100.98525275897488,0.985252758974875,0.33991242338181327,100.6419913390636,2.679830729451591,7.756756756756757,0.8987081345689159,0.32667932472221606,
B+C_FAST_SLIP,F_FAST_BREAK&F_SLIP_TOP,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,75,62.66666666666667,2.0144712723251836,1.427095201002473,-1.0020269656273262,4.368153438262114,-5.57051651341287,10.528506002653415,2.860447516511234,4.088280925284633,2.48003787861375,5.459572649572653,8.590387948211083,9.676535660749453,23.08915719534048,34.21181063933627,5.915858974339397,4.086413326392502,15.73407171255152,1.4470284900804669,44.0,28.000000000000004,5.333333333333334,101.52071131370279,1.5207113137027939,0.15835859834230848,101.36937646302694,1.4561326607969234,1.8266666666666667,0.4959945238992816,0.38775294875523264,
B+D_FAST_SLIPR,F_FAST_BREAK&F_SLIP_R_TOP,1.9073569482288948,3,0.20139143170999446,0.1770428015564189,74,63.51351351351351,1.9900752847134575,1.528999740536443,-0.8535694359031931,3.8565988283934063,-5.617393118942357,10.121051309126505,3.130218834975728,3.311743444561439,2.3997507473923596,4.696138923183951,8.001489828070413,8.985604049864795,12.712294150338213,19.18119787717969,5.326218207443864,3.8067008076082987,14.873429829201024,1.6082822527181582,36.486486486486484,22.972972972972975,2.7027027027027026,101.48213273262326,1.4821327326232536,0.16588565616163475,101.31378843085292,1.1993948259015275,1.8108108108108107,0.47635018866781065,1.6949753677130208,
