period,trades,final_return_pct,max_drawdown_pct,official_cd_value,profit_factor,notes
PREQ4_ALL_BEFORE_2025_10_01,88892,5636.697084804827,5.655961392725716,5412.231712470644,1.9410396856986845,2025 frozen gate pre-Q4
FULL_2025_TRAIN,104753,19461.28974837902,5.655961392725716,18454.91075229149,2.0040638913290496,2025 frozen gate full
ALL_TO_2026_END,106337,20964.787242703645,5.655961392725716,19873.371008796516,2.0010696725618833,all available data through 2026
2023_FULL_ONLY,11172,58.13785276936261,1.9196538272639008,155.1021534263226,1.8189380113743816,year split
2024_FULL_ONLY,21615,134.59296305171026,1.822985917841291,230.31636637103094,1.9135547532977255,year split
2025_FULL_ONLY,43771,1529.7313609927087,5.655961392725628,1537.5543844098192,2.098346033746182,year split
2026_FULL_ONLY,1483,7.8345965695261865,1.1085064239765963,106.63924313928375,2.024525285956021,year split low activity
