symbol,trades,wins,losses,win_rate_pct,sum_trade_return_pct,avg_trade_return_pct,gross_profit_return_pct,gross_loss_abs_return_pct,profit_factor,asset_pnl,rank,positive_pool_share_pct,negative_pool_share_pct,net_contribution_pct,cumulative_positive_pool_share_pct
COAI,108,38,70,35.18518518518518,194.1733355820179,1.7979012553890545,309.16183809936047,114.98850251734257,2.6886326139670587,21.499427691591507,1,1.4830429094805826,0.0,1.5245706750644037,1.4830429094805826
PIPPIN,179,60,119,33.5195530726257,189.37072555720806,1.0579370142860784,316.7449017763138,127.37417621910572,2.486727774642935,20.204658381761888,2,1.3937289764819438,0.0,1.4327557975217964,2.876771885962526
BEAT,59,19,40,32.20338983050847,111.23266047239304,1.8852993300405598,156.74618822336197,45.51352775096893,3.4439472387421124,16.177892002661835,3,1.1159603115516326,0.0,1.147209129723182,3.992732197514159
BANK,72,26,46,36.11111111111111,121.94709386304021,1.6937096369866695,166.4423984028399,44.49530453979969,3.74067331652854,12.376178281030766,4,0.8537159086020102,0.0,0.8776214300815068,4.846448106116169
DAM,72,26,46,36.11111111111111,101.62642661482096,1.4114781474280689,140.1077641248703,38.48133751004934,3.6409276077860175,11.261016028410431,5,0.776791373893777,0.0,0.7985428754021813,5.6232394800099454
PUMPBTC,36,15,21,41.66666666666667,91.98873983323574,2.5552427731454372,117.86666831374168,25.877928480505943,4.5547180641808955,10.018230917193137,6,0.6910633408671262,0.0,0.7104143092306469,6.314302820877072
FARTCOIN,167,46,121,27.54491017964072,122.07718126941472,0.7310010854455972,219.6844994025305,97.60731813311577,2.250697013342045,9.060324634520647,7,0.6249864135719896,0.0,0.6424871137270384,6.9392892344490615
PTB,65,20,45,30.76923076923077,70.67737124860287,1.0873441730554287,104.01447820663452,33.337106958031654,3.1200811257431296,8.763270199585758,8,0.6044954274964743,0.0,0.6214223446133619,7.543784661945536
PORT3,73,27,46,36.986301369863014,78.81427104771137,1.079647548598786,152.05640837550163,73.24213732779026,2.0760782511709537,8.491991190226186,9,0.5857824451281587,0.0,0.6021853663847795,8.129567107073695
LIGHT,71,20,51,28.169014084507044,57.17622072994709,0.8052988835203816,141.13934755325317,83.96312682330608,1.6809682165633257,8.071432807951213,10,0.5567720856059164,0.0,0.5723626666382318,8.686339192679611
MON,41,16,25,39.02439024390244,65.7272432744503,1.6031034944987879,97.21641254425049,31.489169269800186,3.087296832485393,7.904158997891535,11,0.5452334418099315,0.0,0.560500920866133,9.231572634489543
FHE,94,28,66,29.78723404255319,58.48269306123257,0.6221563091620486,144.67891544103622,86.19622237980366,1.6784832495737707,7.7799547325969725,12,0.5366657600272026,0.0,0.5516933291803288,9.768238394516747
RSR,342,115,227,33.62573099415205,220.40122517943382,0.6444480268404498,438.4991213828325,218.0978962033987,2.0105609866767673,7.637130879938948,13,0.5268136883801037,0.0,0.5415653824932966,10.29505208289685
ICNT,57,21,36,36.84210526315789,57.10174135863781,1.0017849361164528,98.39842474460602,41.29668338596821,2.3827197895034797,7.4932130853375485,14,0.5168861559874547,0.0,0.5313598620293705,10.811938238884306
PEOPLE,301,113,188,37.54152823920266,253.05517021939158,0.8407148512272146,447.1994262263179,194.1442560069263,2.3034388728470216,7.460821405392216,15,0.5146517592417275,0.0,0.5290628983115856,11.326589998126034
OL,32,18,14,56.25,64.57520277798176,2.01797508681193,71.18325339257717,6.608050614595413,10.772201598358286,7.382173322529715,16,0.5092265691712452,0.0,0.523485793539206,11.835816567297279
MAGIC,132,53,79,40.15151515151515,138.72072517871857,1.0509145846872618,223.11673380434513,84.39600862562656,2.6436882198312457,6.966088860107932,17,0.48052482321821205,0.0,0.493980349075385,12.316341390515491
STRK,67,29,38,43.28358208955223,97.4502704590559,1.4544816486426253,133.81841588020325,36.36814542114735,3.6795501758632576,6.9068592995059275,18,0.4764391340016192,0.0,0.4897802534967441,12.792780524517111
AIN,42,19,23,45.23809523809524,54.766029953956604,1.3039530941418238,70.647031635046,15.881001681089401,4.448524913839048,6.864750150012478,19,0.47353442060755324,0.0,0.48679420310551785,13.266314945124664
H,87,24,63,27.586206896551722,62.61681489646435,0.7197335045570614,119.16225397586823,56.54543907940388,2.1073716274186984,6.83069460676843,20,0.4711852496128134,0.0,0.4843792512613081,13.737500194737478
TA,75,27,48,36.0,65.0408698618412,0.8672115981578827,131.3945996761322,66.353729814291,1.9802142252421349,6.707809011011742,21,0.46270853041458415,0.0,0.4756651692696401,14.200208725152063
LAB,49,19,30,38.775510204081634,52.65632292628288,1.0746188352302628,84.1757153570652,31.519392430782318,2.670600822713128,6.6240648490819565,22,0.45693180987383536,0.0,0.46972669056604516,14.657140535025897
