rank_by_cd,strategy,description,entry_key,filter_name,body_atr_min,atr_stop,rr_target,max_hold_bars,cooldown_bars,use_tp03_gate,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,cd_value,max_conc,symbol_files,errors,ruined,is_baseline,is_v27_winner,delta_cd_vs_baseline_expected
1,LM23R_001_RETEST_S121_RR505_B022_H17__V31_RETEST_FROM_V30_TOP1_S123_RR600_B022_H17_C31,single retest from V30 top1: stop 1.23 / rr 6.00 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.23,6.0,17,31,True,56533,22144,34389,39.17004227619267,468.50915717774785,469.4847055170838,1.3045981826485198,562.0552183984466,562.0552183984466,445,597,0,False,False,False,14.794188181282493
2,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S124_RR625_B022_H17_C31,sensitivity around V30 top1: stop 1.24 / rr 6.25 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.24,6.25,17,31,True,56519,22235,34284,39.340752667244644,468.4178392480457,469.4052947321874,1.2928105321721284,562.0439631111439,562.0439631111439,445,597,0,False,False,False,14.782932893979705
3,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S123_RR625_B022_H17_C31,sensitivity around V30 top1: stop 1.23 / rr 6.25 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.23,6.25,17,31,True,56532,22139,34393,39.16189061062761,467.9731052546047,468.94773374145126,1.326056558158284,561.4031650056797,561.4031650056797,445,597,0,False,False,False,14.142134788515591
4,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S124_RR600_B022_H17_C31,sensitivity around V30 top1: stop 1.24 / rr 6.00 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.24,6.0,17,31,True,56520,22238,34282,39.345364472753005,467.2440512229411,468.22946760249715,1.2707746325844926,561.0085516733348,561.0085516733348,445,597,0,False,False,False,13.747521456170603
5,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S124_RR575_B022_H17_C31,sensitivity around V30 top1: stop 1.24 / rr 5.75 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.24,5.75,17,31,True,56520,22241,34279,39.35067232837933,466.8446854673707,467.8294080687265,1.2737211523486724,560.5968447888989,560.5968447888989,445,597,0,False,False,False,13.335814571734772
6,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S123_RR575_B022_H17_C31,sensitivity around V30 top1: stop 1.23 / rr 5.75 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.23,5.75,17,31,True,56533,22145,34388,39.1718111545469,466.9817177902387,467.9546450795193,1.307519955729164,560.5285247556138,560.5285247556138,445,597,0,False,False,False,13.267494538449682
7,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S122_RR600_B022_H17_C31,sensitivity around V30 top1: stop 1.22 / rr 6.00 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.22,6.0,17,31,True,56539,22047,34492,38.994322503050995,464.7888324821641,465.74601028372575,1.4312415388440747,557.648818380192,557.648818380192,445,597,0,False,False,False,10.387788163027835
8,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S122_RR625_B022_H17_C31,sensitivity around V30 top1: stop 1.22 / rr 6.25 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.22,6.25,17,31,True,56538,22043,34495,38.987937316495106,464.3363349204602,465.2927458502346,1.428347221959425,557.2184026189447,557.2184026189447,445,597,0,False,False,False,9.957372401780503
9,LM23R_001_RETEST_S121_RR505_B022_H17__V31_SENS_S122_RR575_B022_H17_C31,sensitivity around V30 top1: stop 1.22 / rr 5.75 / body 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.22,5.75,17,31,True,56539,22048,34491,38.99609119368932,463.7138127613175,464.669168669538,1.4341358557287909,556.5710456554025,556.5710456554025,445,597,0,False,False,False,9.310015438238338
10,LM23R_001_RETEST_S121_RR505_B022_H17,CURRENT LM23R001 reference: stop 1.21 / rr 5.05 / body_atr >= 0.22 / hold 17 / cooldown 31,child::orig_V09_extreme_vol18::tp03,body_atr >= 0.22,0.22,1.21,5.05,17,31,True,56551,21969,34582,38.84811939665081,454.0898854634718,455.0171719748199,1.3974597812998368,547.2610302171641,547.2610302171641,445,597,0,False,True,False,0.0
