trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,pf,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,gross_profit,gross_loss,axis,strategy,parent,family,description,raw_trades_generated,errors,initial_asset,position_fraction,fee_per_side,round_trip_fee,short_dev,short_rsi_min,short_wick_mult,score_min_short,dd_brake_trigger_pct,dd_brake_freeze_steps,atr_stop_mult,rr_mult,min_expected_tp,timeout_bars,fail_fast_bars,time_reduce_bars,time_reduce_to_risk_frac,elapsed_sec,parent_trades,parent_max_return_pct,parent_max_drawdown_pct,parent_official_cd_value,parent_trade_ratio,delta_max_return_pct,delta_max_drawdown_pct,delta_official_cd_value,sm24_trades,sm24_official_cd_value,sm24_trade_ratio,delta_vs_sm24_max_return_pct,delta_vs_sm24_max_drawdown_pct,delta_vs_sm24_official_cd_value,gate_mdd_under_5,gate_trades_over_20000,gate_active_leftover_zero,gate_candidate_pass,gate_beats_parent_cd,gate_beats_sm24_cd,gate_v15_strong_pass
28313,4136,24177,14.608130540741001,431.06426729450357,331.0642672945035,431.3434403627648,331.3434403627648,3.9772559021280185,414.18780792249464,1.4757306514967135,286,286,3359,0,1026.9712185345038,695.9069512400048,short_main,SM15_B10_rr575_tr8_f005,short_beh_dd_brake,rr_time_reduce,"RR 5.75, time_reduce_bars 8, risk_frac 0.05.",34107,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.75,0.003,200,10,8,0.05,317.2633635997772,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0001766285149074,8.585717080125221,-0.42936631397774105,10.0594203943308,28311,408.3085802510934,1.0000706439193245,4.412555136855929,-0.3846456653731294,5.879227671401225,True,True,True,True,True,True,True
28320,4134,24186,14.597457627118644,428.91652588674475,328.9165258867447,429.19430799870514,329.19430799870514,3.9714844666419946,412.14892272482496,1.4737902054128016,286,286,3359,0,1023.1405139072816,694.223988020537,short_main,SM15_B13_rr58_tr8_f005,short_beh_dd_brake,rr_time_reduce,"RR 5.8, time_reduce_bars 8, risk_frac 0.05.",34104,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.8,0.003,200,10,8,0.05,303.3701002597809,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0004239084357778,6.436584716065568,-0.43513774946376493,8.020535196661115,28311,408.3085802510934,1.0003178976369609,2.2634227727962752,-0.39041710085915327,3.840342473731539,True,True,True,True,True,True,True
28340,4614,23726,16.28087508821454,431.8720196593976,331.87201965939755,432.15499428878746,332.15499428878746,4.655395705019938,412.03646924563805,1.418454877318009,286,286,3357,0,1124.9611617586847,793.0891420992839,short_main,SM15_E03_sm24_return_rr575_tr12_f008_ff12_dd0035_3,short_beh_dd_brake,combo_narrow,"복합 후보 sm24_return: rr 5.75, tr 12/0.08, ff 12, dd 0.035/3.",34021,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.035,3,1.8975,5.75,0.003,200,12,12,0.08,367.66918182373047,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0011304224954076,9.39727100614789,0.2487734889141784,7.908081717474204,28311,408.3085802510934,1.0010243368302074,5.224109062878597,0.29349413751879005,3.727888994544628,True,True,True,True,True,True,True
28283,4498,23785,15.903546299897464,429.06167173752243,329.06167173752243,429.33954785127236,329.3395478512724,4.050392927587676,411.94960916976754,1.4264996881106151,286,286,3357,0,1100.6019117673877,771.5402400298623,short_main,SM15_B11_rr575_tr12_f005,short_beh_dd_brake,rr_time_reduce,"RR 5.75, time_reduce_bars 12, risk_frac 0.05.",34026,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.75,0.003,200,10,12,0.05,302.5978865623474,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9991168574254627,6.58182456863284,-0.3562292885180831,7.8212216416036995,28311,408.3085802510934,0.999010985129455,2.4086626253635472,-0.31150863991347144,3.641028918674124,True,True,True,True,True,True,True
28366,4054,24312,14.291757738137207,428.7196260569582,328.7196260569582,428.99510826057883,328.99510826057883,3.987971232353804,411.8869067549419,1.481798075103272,286,286,3359,0,1010.9963785875777,682.2767525306157,short_main,SM15_B09_rr575_tr8_f003,short_beh_dd_brake,rr_time_reduce,"RR 5.75, time_reduce_bars 8, risk_frac 0.03.",34110,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.75,0.003,200,10,8,0.03,332.87880659103394,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0020488907729264,6.237384977939257,-0.4186509837519554,7.7585192267780485,28311,408.3085802510934,1.0019427077814278,2.064223034669965,-0.37393033514734375,3.578326503848473,True,True,True,True,True,True,True
28240,4498,23742,15.927762039660056,428.7665423612089,328.7665423612089,429.04422733832376,329.04422733832376,4.002575288685395,411.87140911734883,1.428820667175835,286,286,3358,0,1095.4426089007063,766.6760665394952,short_main,SM15_B03_rr565_tr12_f005,short_beh_dd_brake,rr_time_reduce,"RR 5.65, time_reduce_bars 12, risk_frac 0.05.",34027,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.65,0.003,200,10,12,0.05,353.2358355522156,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9975978521972587,6.2865040556841905,-0.40404692742036463,7.743021589184991,28311,408.3085802510934,0.9974921408639751,2.113342112414898,-0.35932627881575296,3.5628288662554155,True,True,True,True,True,True,True
28397,4057,24340,14.286720428214247,429.1998462985905,329.1998462985905,429.4756370771453,329.47563707714534,4.173252565010777,411.552534036727,1.482198056405967,286,286,3359,0,1011.906551406985,682.7067051083952,short_main,SM15_E02_sm24_defense_rr575_tr8_f003_ff8_dd003_3,short_beh_dd_brake,combo_narrow,"복합 후보 sm24_defense: rr 5.75, tr 8/0.03, ff 8, dd 0.03/3.",34110,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,3,1.8975,5.75,0.003,200,8,8,0.03,372.8691077232361,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0031439875653525,6.717913794505762,-0.23336965109498298,7.424146508563183,28311,408.3085802510934,1.0030376885309598,2.5447518512364695,-0.1886490024903713,3.2439537856336074,True,True,True,True,True,True,True
28278,4604,23674,16.281208006223917,429.5341558046115,329.5341558046115,429.8155986001993,329.8155986001992,4.352357314036636,411.1084879576531,1.4174340456644519,286,286,3357,0,1118.9622324725447,789.4280766679395,short_main,SM15_B15_rr58_tr12_f008,short_beh_dd_brake,rr_time_reduce,"RR 5.8, time_reduce_bars 12, risk_frac 0.08.",34018,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.8,0.003,200,10,12,0.08,365.99180126190186,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9989402289105553,7.057875317559649,-0.054264902069123266,6.980100429489255,28311,408.3085802510934,0.9988343753311434,2.8847133742903566,-0.009544253464511598,2.7999077065596794,True,True,True,True,True,True,True
28324,4054,24270,14.31295014828414,427.2779078051764,327.2779078051764,427.5524636044599,327.5524636044599,3.968395206021369,410.58549213555426,1.4824494056327466,286,286,3360,0,1005.6452225621365,678.3673147569592,short_main,SM15_B01_rr565_tr8_f003,short_beh_dd_brake,rr_time_reduce,"RR 5.65, time_reduce_bars 8, risk_frac 0.03.",34111,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.65,0.003,200,10,8,0.03,313.3339111804962,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.000565211247704,4.7947403218203135,-0.4382270100843906,6.45710460739042,28311,408.3085802510934,1.0004591854756102,0.6215783785510212,-0.3935063614797789,2.2769118844608442,True,True,True,True,True,True,True
28341,4054,24287,14.304364701316114,427.1085127692043,327.1085127692043,427.3829597203853,327.3829597203854,3.962652812313483,410.4472568476769,1.4814446658193419,286,286,3360,0,1006.5396831458013,679.4311703765965,short_main,SM15_B05_rr57_tr8_f003,short_beh_dd_brake,rr_time_reduce,"RR 5.7, time_reduce_bars 8, risk_frac 0.03.",34111,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.7,0.003,200,10,8,0.03,307.2642664909363,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.001165748198389,4.625236437745798,-0.44396940379227656,6.318869319513055,28311,408.3085802510934,1.0010596587898697,0.4520744944765056,-0.3992487551876649,2.1386765965834797,True,True,True,True,True,True,True
