strategy,axis,family,description,parent_strategy,baseline_version,engine,data_scope,end_date,holdout_start,trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,pending_leftover,blocked_by_guard,generated_entry_candidates,executed_entries,fee_per_side,position_fraction,short_dev,short_wick_mult,score_min_short,score_dev_weight,score_rsi_weight,score_wick_weight,rr_mult,timeout_bars,time_reduce_bars,dd_brake_trigger_pct,dd_brake_freeze_steps,dd_brake_mode,use_rsi_gate,load_errors,parent_trades,parent_max_return_pct,parent_max_drawdown_pct,parent_official_cd_value,parent_trade_ratio,delta_trades,delta_max_return_pct,delta_max_drawdown_pct,delta_official_cd_value,delta_same_bar_trades,delta_max_conc,gate_mdd_under_5,gate_trades_over_20000,gate_trade_ratio_080,gate_active_leftover_zero,gate_pending_leftover_zero,gate_beats_parent_cd,gate_candidate_pass,gate_short_main_improve,baseline_reproduction_gate_pass,baseline_reproduction_issues
SM27_B01_single_retest_wick11625_dev03450,short_main,single_retest,short_main top candidate B01 single retest: wick 1.1625 + dev 0.03450 + timeout 215,short_main_v9_wick120_dev03475_timeout215_actual_bar_engine,short_main/v9,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,37803,5310,32493,14.046504245694786,1381.0328085710983,1281.0328085710983,1381.4116777725312,1281.4116777725312,4.485183869766651,1319.4528240260047,1.5752277153003555,287,287,3449,0,0,39,37842,37803,0.0004,0.01,0.0345,1.1625,2.35,1.0,0.8,0.7,5.75,215,8,0.03,5,edge_current,False,0,36791,1195.2759019740386,4.770262221769094,1233.487844954492,1.0275067271887146,1012,86.13577579849266,-0.2850783520024436,85.96497907151274,95,0,True,True,True,True,True,True,True,True,True,
SMV9_00_parent_short_main_v9_wick120_dev03475_timeout215_actual_bar_engine,short_main,v9_baseline,official short_main v9 baseline reproduction,short_main_v9_wick120_dev03475_timeout215_actual_bar_engine,short_main/v9,actual_bar_engine_no_same_timestamp_reentry_force_final_close_train_to_20251231,train_only_until_2025_12_31_end,2025-12-31 23:59:59,2026-01-01 00:00:00,36791,5171,31620,14.055067815498356,1294.9206565723089,1194.9206565723089,1295.2759019740386,1195.2759019740386,4.770262221769094,1233.487844954492,1.5698636647889879,287,287,3354,0,0,56,36847,36791,0.0004,0.01,0.03475,1.2,2.35,1.0,0.8,0.7,5.75,215,8,0.03,5,edge_current,False,0,36791,1195.2759019740386,4.770262221769094,1233.487844954492,1.0,0,0.0,0.0,0.0,0,0,True,True,True,True,True,False,True,False,True,
