experiment_name,side,symbol,entry_time,exit_time,entry_price,exit_price,stop_price,target_price_initial,duration_bars,score,score_detail,atr,risk_multiple,pnl_pct_raw,exit_reason
1V2_L01_mirror_exact,long_only,ADA,2024-01-03 21:05:00,2024-01-03 21:05:00,0.5784000158309937,0.5679775278375019,0.5679775278375019,0.6409349437919445,0,2.5,dev+rsi+vol,0.00549274729564786,-0.9999999999999959,-0.018019515401495392,stop
1V2_L01_mirror_exact,long_only,ADA,2024-01-03 21:10:00,2024-01-03 21:10:00,0.5085999965667725,0.48923116753576323,0.48923116753576323,0.6248129707528278,0,2.5,dev+rsi+vol,0.010207551531493664,-1.0,-0.03808263696766729,stop
1V2_L01_mirror_exact,long_only,ADA,2024-01-03 21:15:00,2024-01-03 22:05:00,0.5213000178337097,0.5224649346907391,0.4980016806931235,0.6610900406772271,10,3.0,dev+rsi+wick+vol,0.012278438545763493,0.05000000000000176,0.002234638053284991,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-01-03 21:20:00,2024-01-03 22:10:00,0.5310999751091003,0.5322975665022386,0.5071481472463347,0.6748109422856942,10,2.5,dev+rsi+vol,0.0126228341832757,0.04999999999999834,0.0022549264719739985,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-03-06 01:15:00,2024-03-06 02:05:00,0.7314000129699707,0.7139054015930743,0.7139054015930743,0.8363676812313497,10,3.0,dev+rsi+wick+vol,0.00921982154250145,-0.9999999999999972,-0.023919347917231625,stop
1V2_L01_mirror_exact,long_only,ADA,2024-03-06 01:20:00,2024-03-06 02:10:00,0.7307999730110168,0.712955657010898,0.712955657010898,0.83786586901173,10,3.0,dev+rsi+wick+vol,0.009404119104146957,-0.9999999999999982,-0.02441751048046333,stop
1V2_L01_mirror_exact,long_only,ADA,2024-03-06 04:55:00,2024-03-06 04:55:00,0.6570000052452087,0.6375851375213825,0.6375851375213825,0.7734892115881666,0,2.5,dev+rsi+vol,0.010231814347207546,-0.999999999999998,-0.029550787775991214,stop
1V2_L01_mirror_exact,long_only,ADA,2024-03-06 05:00:00,2024-03-06 05:50:00,0.635200023651123,0.6368522958217654,0.6021545802382753,0.83347268412821,10,3.0,dev+rsi+wick+vol,0.017415253445506096,0.04999999999999857,0.0026011840508838474,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-03-15 12:30:00,2024-03-15 13:20:00,0.7107999920845032,0.7116299641974038,0.6942005498264916,0.8103966456325724,10,3.0,dev+rsi+wick+vol,0.008748059161007404,0.05000000000000075,0.001167659147640957,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-03-15 18:10:00,2024-03-15 19:00:00,0.6790000200271606,0.6796441683071316,0.666117054427741,0.756297813623678,10,2.5,dev+rsi+vol,0.0067894416861236095,0.04999999999999759,0.0009486719601940215,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-03-15 18:15:00,2024-03-15 19:05:00,0.6779999732971191,0.6787045064069098,0.6639093111013062,0.7625439464719966,10,3.0,dev+rsi+wick+vol,0.0074259089305996895,0.05000000000000271,0.001039134421148328,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-02 11:40:00,2024-04-02 11:40:00,0.5932000279426575,0.586841076197452,0.586841076197452,0.6313537384138909,0,2.5,dev+rsi+vol,0.0033512262161821127,-0.9999999999999923,-0.010719742828164881,stop
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 02:30:00,2024-04-13 03:20:00,0.5223000049591064,0.5228182690379908,0.5119347233814188,0.5844916944252327,10,2.5,dev+rsi+vol,0.005462598986923695,0.04999999999999503,0.000992272781856304,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 02:35:00,2024-04-13 03:30:00,0.5282999873161316,0.517360386652872,0.517360386652872,0.5939375912956893,11,2.5,dev+rsi+vol,0.005765270441770554,-0.9999999999999984,-0.02070717570680806,stop
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 03:35:00,2024-04-13 03:35:00,0.4934000074863434,0.47877360737882557,0.47877360737882557,0.5811584081314504,0,2.5,dev+rsi+vol,0.007708247750997543,-0.9999999999999982,-0.029644101916481324,stop
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 03:40:00,2024-04-13 04:30:00,0.46399998664855957,0.4650653463344788,0.4426927929301746,0.5918431489588692,10,2.5,dev+rsi+vol,0.011229087598621845,0.050000000000000294,0.0022960338719280457,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 03:45:00,2024-04-13 04:35:00,0.4697999954223633,0.4708407616422046,0.44898467102553696,0.5946919418033212,10,2.5,dev+rsi+vol,0.010969867929816246,0.05000000000000105,0.0022153389314226372,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 03:50:00,2024-04-13 04:40:00,0.4657999873161316,0.46681791673973205,0.44544139884412287,0.5879515181481838,10,2.5,dev+rsi+vol,0.010729163885116577,0.05000000000000127,0.0021853358765971955,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 03:55:00,2024-04-13 04:45:00,0.4659000039100647,0.4668858846459771,0.4461823891918175,0.584205692219548,10,2.5,dev+rsi+wick,0.010391364805400372,0.05000000000000106,0.0021160779730379467,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-13 04:00:00,2024-04-13 04:50:00,0.46619999408721924,0.46715543780778535,0.44709111967589704,0.5808532405551523,10,2.5,dev+rsi+wick,0.010070553049445152,0.04999999999999991,0.002049428856035887,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 02:40:00,2024-04-14 03:30:00,0.4699000120162964,0.47039438945875733,0.46001246316707695,0.5292253051116131,10,2.5,dev+rsi+vol,0.005210829433053732,0.049999999999997394,0.0010520907210442927,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 04:55:00,2024-04-14 04:55:00,0.45019999146461487,0.4403131919016596,0.4403131919016596,0.5095207888423465,0,2.5,dev+rsi+vol,0.005210434552282095,-1.000000000000002,-0.021960905709462648,stop
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 05:00:00,2024-04-14 05:00:00,0.4505999982357025,0.43793613083194943,0.43793613083194943,0.5265832026582211,0,3.0,dev+rsi+wick+vol,0.006673974916338921,-0.9999999999999984,-0.028104455067327345,stop
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 05:05:00,2024-04-14 05:05:00,0.4510999917984009,0.437023024399532,0.437023024399532,0.5355617961916141,0,3.0,dev+rsi+wick+vol,0.007418691646307707,-1.0000000000000004,-0.031205869330097336,stop
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 05:10:00,2024-04-14 06:00:00,0.4108000099658966,0.41184663696505597,0.3898674699827097,0.5363952498650179,10,2.5,dev+rsi+vol,0.011031641624867916,0.050000000000000856,0.0025477774434480883,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 05:20:00,2024-04-14 06:10:00,0.41679999232292175,0.4179084071639227,0.39463169550290333,0.5498097732430324,10,2.5,dev+rsi+vol,0.011682896874845028,0.050000000000000704,0.0026593446771039702,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 05:25:00,2024-04-14 06:15:00,0.4138999879360199,0.41506883218407165,0.39052310297498477,0.5541612977022305,10,3.0,dev+rsi+wick+vol,0.012319833971560001,0.0499999999999997,0.0028239774876060793,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-04-14 05:30:00,2024-04-14 06:20:00,0.4115999937057495,0.41276260429853573,0.38834778185002505,0.5511132648400963,10,3.0,dev+rsi+wick+vol,0.012254130095243454,0.04999999999999977,0.002824612756474824,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-06-08 03:05:00,2024-06-08 03:55:00,0.42730000615119934,0.4277404835802154,0.41849045757087877,0.48015729763312265,10,2.5,dev+rsi+vol,0.004642713349312544,0.050000000000001356,0.001030838808039187,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-06-18 10:45:00,2024-06-18 11:35:00,0.36070001125335693,0.36117960981949,0.35110803993069567,0.4182518391893245,10,2.5,dev+rsi+vol,0.005055057350546122,0.04999999999999912,0.0013296328005828178,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-07-05 09:05:00,2024-07-05 09:35:00,0.35429999232292175,0.35001361851638646,0.35001361851638646,0.38001823516213334,6,2.5,dev+rsi+vol,0.002258958527818322,-1.0000000000000062,-0.012098148177854144,stop
1V2_L01_mirror_exact,long_only,ADA,2024-07-05 09:45:00,2024-07-05 10:35:00,0.34610000252723694,0.33957152255577966,0.33957152255577966,0.38527088235598056,10,2.5,dev+rsi+vol,0.003440569154918194,-1.000000000000001,-0.01886298735563722,stop
1V2_L01_mirror_exact,long_only,ADA,2024-07-05 12:00:00,2024-07-05 12:10:00,0.32850000262260437,0.3204253209638409,0.3204253209638409,0.376948092575185,2,2.5,dev+rsi+vol,0.004255431704223156,-1.0000000000000029,-0.024580461474272862,stop
1V2_L01_mirror_exact,long_only,ADA,2024-07-05 12:10:00,2024-07-05 13:20:00,0.3237999975681305,0.3242783744795597,0.314232459339546,0.3812052269396372,14,2.5,dev+rsi+vol,0.005042180884629488,0.04999999999999893,0.0014773839253305046,time_reduce
1V2_L01_mirror_exact,long_only,ADA,2024-07-05 12:15:00,2024-07-05 13:20:00,0.3237999975681305,0.32431468349584613,0.3135062790138181,0.38556230889400467,13,3.0,dev+rsi+wick+vol,0.0054248846136033535,0.050000000000002244,0.0015895180098244028,time_reduce
