combo,run_label,trades,long_trades,short_trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,base_combo,long_key,short_key,split_n,rank_metric
lx2_sm2_L30_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,20800.752404966865,20800.752404966865,76.59695539558359,4891.412407993031,52,236,0,0,True,False,30.0,0.02,0.6,0.0004,lx2_sm2,long_max2,short_main2,50,20800.752404966865
lx2_sx2_L30_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,7979.322631185503,8098.584774621284,60.365288034965616,3249.4854606303093,30,111,0,0,True,False,30.0,0.02,0.6,0.0004,lx2_sx2,long_max2,short_max2,50,7979.322631185503
