combo,run_label,trades,long_trades,short_trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,base_combo,long_key,short_key,split_n,rank_metric,rank_by_final_return
lx2_sm2_L30_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,20800.752404966865,20800.752404966865,76.59695539558359,4891.412407993031,52,236,0,0,True,False,30.0,0.02,0.6,0.0004,lx2_sm2,long_max2,short_main2,50,20800.752404966865,1
lx2_sm2_L25_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,9399.242014662597,9399.242014662597,70.01852867841042,2848.012520394455,52,236,0,0,True,False,25.0,0.02,0.5,0.0004,lx2_sm2,long_max2,short_main2,50,9399.242014662597,2
lx2_sx2_L30_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,7979.322631185503,8098.584774621284,60.365288034965616,3249.4854606303093,30,111,0,0,True,False,30.0,0.02,0.6,0.0004,lx2_sx2,long_max2,short_max2,50,7979.322631185503,3
lx2_sx2_L25_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,4199.348245954185,4252.124724492358,53.639388262599944,2017.671645849294,30,111,0,0,True,False,25.0,0.02,0.5,0.0004,lx2_sx2,long_max2,short_max2,50,4199.348245954185,4
lx2_sm2_L20_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,4054.7363861003932,4054.7363861003932,61.67671646605639,1592.2314053331756,52,236,0,0,True,False,20.0,0.02,0.4,0.0004,lx2_sm2,long_max2,short_main2,50,4054.7363861003932,5
lx2_sm2_L30_SPLIT75,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,4054.7363861003932,4054.7363861003932,61.67671646605639,1592.2314053331756,52,236,0,0,True,False,30.0,0.013333333333333334,0.4,0.0004,lx2_sm2,long_max2,short_main2,75,4054.7363861003932,6
lx2_sm2_L25_SPLIT75,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,2241.58397229085,2241.58397229085,54.91913896581848,1055.6062165471055,52,236,0,0,True,False,25.0,0.013333333333333334,0.33333333333333337,0.0004,lx2_sm2,long_max2,short_main2,75,2241.58397229085,7
lx2_sx2_L20_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,2113.5117876191457,2135.203948360986,45.82758945849329,1210.8638593460807,30,111,0,0,True,False,20.0,0.02,0.4,0.0004,lx2_sx2,long_max2,short_max2,50,2113.5117876191457,8
lx2_sx2_L30_SPLIT75,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,2113.5117876191457,2135.203948360986,45.82758945849329,1210.8638593460807,30,111,0,0,True,False,30.0,0.013333333333333334,0.4,0.0004,lx2_sx2,long_max2,short_max2,75,2113.5117876191457,9
lx2_sm2_L15_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,1645.9378369158844,1645.9378369158844,51.12432395119117,853.3389211845879,52,236,0,0,True,False,15.0,0.02,0.3,0.0004,lx2_sm2,long_max2,short_main2,50,1645.9378369158844,10
lx2_sm2_L30_SPLIT100,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,1645.9378369158844,1645.9378369158844,51.12432395119117,853.3389211845879,52,236,0,0,True,False,30.0,0.01,0.3,0.0004,lx2_sm2,long_max2,short_main2,100,1645.9378369158844,11
lx2_sx2_L25_SPLIT75,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,1293.368214807242,1304.7314530148333,39.93505704720248,843.7511458933632,30,111,0,0,True,False,25.0,0.013333333333333334,0.33333333333333337,0.0004,lx2_sx2,long_max2,short_max2,75,1293.368214807242,12
lx2_sm2_L20_SPLIT75,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,1195.783279259058,1195.783279259058,47.02348275848418,686.4608523493539,52,236,0,0,True,False,20.0,0.013333333333333334,0.26666666666666666,0.0004,lx2_sm2,long_max2,short_main2,75,1195.783279259058,13
lx2_sm2_L25_SPLIT100,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,1014.3426165447474,1014.3426165447474,44.85103537880064,614.54841535721,52,236,0,0,True,False,25.0,0.01,0.25,0.0004,lx2_sm2,long_max2,short_main2,100,1014.3426165447474,14
lx2_sx2_L15_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,998.1996519544794,1006.2545225465078,36.76312044024362,699.5608400470932,30,111,0,0,True,False,15.0,0.02,0.3,0.0004,lx2_sx2,long_max2,short_max2,50,998.1996519544794,15
lx2_sx2_L30_SPLIT100,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,998.1996519544794,1006.2545225465078,36.76312044024362,699.5608400470932,30,111,0,0,True,False,30.0,0.01,0.3,0.0004,lx2_sx2,long_max2,short_max2,100,998.1996519544794,16
lx2_sm2_L12_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,917.3334898879677,917.3334898879677,43.506760786932034,574.7246420370622,52,236,0,0,True,False,12.0,0.02,0.24,0.0004,lx2_sm2,long_max2,short_main2,50,917.3334898879677,17
lx2_sm2_L30_SPLIT125,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,2241,309,1932,456,1785,20.34805890227577,917.3334898879677,917.3334898879677,43.506760786932034,574.7246420370622,52,236,0,0,True,False,30.0,0.008,0.24,0.0004,lx2_sm2,long_max2,short_main2,125,917.3334898879677,18
lx2_sx2_L20_SPLIT75,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,761.491136834676,767.1038688075516,33.43099016771413,577.2224596826301,30,111,0,0,True,False,20.0,0.013333333333333334,0.26666666666666666,0.0004,lx2_sx2,long_max2,short_max2,75,761.491136834676,19
lx2_sx2_L25_SPLIT100,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,661.6120576934097,666.2623261635364,31.702449486444113,523.3383992778896,30,111,0,0,True,False,25.0,0.01,0.25,0.0004,lx2_sx2,long_max2,short_max2,100,661.6120576934097,20
lx2_sx2_L12_SPLIT50,LONG_MAX2_SHORT_MAX2_MAIN2_2026_LEVERAGE_SPLIT_SWEEP_V1,1201,309,892,343,858,28.55953372189842,606.900543239687,611.043242981492,30.644761562917612,493.1457365605769,30,111,0,0,True,False,12.0,0.02,0.24,0.0004,lx2_sx2,long_max2,short_max2,50,606.900543239687,21
