experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc
atr19_t27_b17_r020_baseline,90214,25.678449896459536,24.678449896459536,26.129013450503038,25.129013450503038,0.3842086594098477,1.2757368695425308,-0.394285119329169,387
atr187_t27_b16_r180,90475,25.26284328165123,24.26284328165123,25.68345435102472,24.68345435102472,0.37470019342359767,1.2780628348313061,-0.39057571631352583,387
atr187_t27_b16_r190,90475,25.037693087448385,24.037693087448385,25.516398108340447,24.516398108340447,0.37597126277977344,1.2766439680599542,-0.3921158109667815,387
atr187_t27_b16_r200,90474,24.678915689915907,23.678915689915907,25.136731660646127,24.136731660646127,0.37718018436235823,1.2747346813623273,-0.3946474310236604,387
atr187_t27_b16_r210,90474,24.283847064633544,23.283847064633544,24.78586748058092,23.78586748058092,0.37841810907000906,1.272656755186261,-0.3966767476293148,387
atr187_t27_b16_r220,90474,24.015634109375846,23.015634109375846,24.535089177599744,23.535089177599744,0.37978866856776533,1.2710630363014348,-0.39896311927709316,387
atr187_t27_b17_r180,90464,26.006588273954538,25.006588273954538,26.36604286684793,25.36604286684793,0.379311107180757,1.2787481381856085,-0.39230881874093215,387
atr187_t27_b17_r190,90464,25.610857471356486,24.610857471356486,26.02437805711425,25.02437805711425,0.3804938981252211,1.2767799881616957,-0.3955545510079561,387
atr187_t27_b17_r200,90463,25.198758223950616,24.198758223950616,25.645552662485926,24.645552662485926,0.38159247427124904,1.2747568764296284,-0.3975877156116028,387
atr187_t27_b17_r210,90463,24.7936328137869,23.7936328137869,25.26568113015474,24.26568113015474,0.38275316980422935,1.2727427286409132,-0.4006413825114741,387
atr187_t27_b17_r220,90463,24.579167015348077,23.579167015348077,25.073931264511433,24.073931264511433,0.38409073322794957,1.27141969389011,-0.4023475449596712,387
atr187_t27_b18_r180,90455,25.983875169476757,24.983875169476757,26.37662112189794,25.37662112189794,0.3834613896412581,1.2768068846046499,-0.3952654840794496,387
atr187_t27_b18_r190,90455,25.635901088873105,24.635901088873105,26.069272732454234,25.069272732454234,0.38471062959482616,1.2750748477576697,-0.39796134084813284,387
atr187_t27_b18_r200,90454,25.28831611813365,24.28831611813365,25.757309088950432,24.757309088950432,0.3858535830366816,1.2733409205044401,-0.40039472746123295,387
