candidate_key,slippage_per_side,2025_Q1_ONLY,2025_Q2_ONLY,2025_Q3_ONLY,2025_Q4_ONLY,2026_Q1_ONLY,FULL_TO_2026_END
V4R05_stop262_rr620_t390_ff15,0.0,187.3187636712987,162.81191187451816,218.80358334081762,426.697273874005,109.83100615462072,124100.77993420625
V5M00_D02_ref_stop265_rr610_t390,0.0,187.9468940190515,164.19458066081933,219.62391789606065,431.2246161853578,110.13799429662777,132905.75024660476
V5M01_D02_D03_rr615_stop265_t390,0.0,188.75721901709318,164.4438075379109,220.5342434988679,433.156622667571,110.18164150268575,134582.28775576403
V5M02_D02_D01_t405_rr610,0.0,186.29548018269853,165.64742879195052,217.4869323704522,430.4087707680628,109.91129247010309,129634.81713595224
V5M03_D01_D02_mid_stop264_rr610_t405,0.0,186.1378189418533,164.73303215306976,216.7988813864264,428.56215737764904,109.83237312303798,126660.43977119311
V5M04_D02_D03_stop263_rr615_t390,0.0,186.67485917497945,163.21453238727332,218.69441282092322,428.0009048368956,109.97982630449633,127094.61509601529
V5M05_D02_quality_score271_close0935,0.0,187.0876060229931,164.4277201604871,222.67420221881406,432.44252683509455,109.79835502781029,122755.96803137712
