run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,old_n,mid_n,recent_n,old_ret_max,old_dd_min,mid_absret_max,mid_atrp_slope_max,mid_range_contract_max,recent_ret_min,recent_close_reclaim_min,cur_ret1_min,cur_close_pos_min,cur_upper_wick_max,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,volr_min,volr_max,body_atr_max,fail_bars,fail_pnl,verdict,note
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_011,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,215188,78245,136943,36.36122832128186,-86.46360388070474,0.0,99.99308306954646,0.006916930453537695,597,0,0.01,0.0004,0.08,SMG_B_011,0.8,1.8,10,20,48,12,6,-0.04,-0.12,0.006,0.003,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_012,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,215766,78423,137343,36.34631962403715,-86.52277824787149,0.0,99.99333228175941,0.006667718240593867,597,0,0.01,0.0004,0.08,SMG_B_012,0.8,1.8,10,20,48,12,6,-0.04,-0.12,0.006,0.006,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_013,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,202885,74111,128774,36.52857530127905,-83.46557993693563,0.0,99.98651946556609,0.013480534433907287,597,0,0.01,0.0004,0.08,SMG_B_013,0.8,1.8,10,20,48,12,6,-0.04,-0.2,0.006,0.001,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_014,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,214017,77838,136179,36.37000799001948,-86.25600896115057,0.0,99.9924505844077,0.007549415592289499,597,0,0.01,0.0004,0.08,SMG_B_014,0.8,1.8,10,20,48,12,6,-0.04,-0.2,0.006,0.003,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_015,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,214596,78016,136580,36.35482488024008,-86.31752509272474,0.0,99.99272334739594,0.007276652604060185,597,0,0.01,0.0004,0.08,SMG_B_015,0.8,1.8,10,20,48,12,6,-0.04,-0.2,0.006,0.006,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_016,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,202805,74083,128722,36.52917827469737,-83.46330574999976,0.0,99.98643697258792,0.013563027412077933,597,0,0.01,0.0004,0.08,SMG_B_016,0.8,1.8,10,20,48,12,6,-0.04,-0.3,0.006,0.001,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_017,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,213937,77810,136127,36.37052029335739,-86.25411857704668,0.0,99.9924043864043,0.007595613595701156,597,0,0.01,0.0004,0.08,SMG_B_017,0.8,1.8,10,20,48,12,6,-0.04,-0.3,0.006,0.003,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_B_018,drawdown_vol_slowdown,drawdown_then_atr_slope_slowdown,long,214516,77988,136528,36.355330138544446,-86.31564316970884,0.0,99.99267881854233,0.007321181457664583,597,0,0.01,0.0004,0.08,SMG_B_018,0.8,1.8,10,20,48,12,6,-0.04,-0.3,0.006,0.006,0.12,0.004,0.012,-0.002,0.58,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,3.5,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_019,weak_contract_recovery,weak_state_range_contract_then_recovery,long,397276,152145,245131,38.29705293045641,-98.20771663159195,0.0,99.99999847279973,1.5272002662491957e-06,597,0,0.01,0.0004,0.08,SMG_C_019,0.95,1.5,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.08,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
LONG_STATE_MIGRATION_MULTISTAGE_V15_1H,SMG_C_020,weak_contract_recovery,weak_state_range_contract_then_recovery,long,393746,128442,265304,32.62052185926968,-98.05447217030063,0.0,99.99999952552615,4.7447384909915513e-07,597,0,0.01,0.0004,0.08,SMG_C_020,0.95,2.2,14,20,48,12,6,-0.025,-0.18,0.006,0.003,0.08,0.004,0.015,-0.002,0.55,0.65,-0.18,-0.35,0.16,0.35,0.001,0.08,0.22,0.4,28,68,0.88,0.8,0.7,0.3,2.8,2.2,5,-0.42,invalid_no_peak,max_return <= 0
