entry_ts,entry_dt,candidate_count,long_count,short_count,selected_count_top200,rejected_count_top200
1582943100000000,1970-01-19 07:42:23.100000,1,1,0,1,0
1583633400000000,1970-01-19 07:53:53.400000,2,2,0,2,0
1583633700000000,1970-01-19 07:53:53.700000,1,1,0,1,0
1583634000000000,1970-01-19 07:53:54,1,1,0,1,0
1583658600000000,1970-01-19 07:54:18.600000,1,1,0,1,0
1583659500000000,1970-01-19 07:54:19.500000,1,1,0,1,0
1583714400000000,1970-01-19 07:55:14.400000,9,9,0,9,0
1583715600000000,1970-01-19 07:55:15.600000,1,1,0,1,0
1583717100000000,1970-01-19 07:55:17.100000,13,13,0,13,0
1583717400000000,1970-01-19 07:55:17.400000,1,1,0,1,0
1583717700000000,1970-01-19 07:55:17.700000,1,1,0,1,0
1583718000000000,1970-01-19 07:55:18,1,1,0,1,0
1583744100000000,1970-01-19 07:55:44.100000,1,1,0,1,0
1583744400000000,1970-01-19 07:55:44.400000,2,2,0,2,0
1583764500000000,1970-01-19 07:56:04.500000,1,1,0,1,0
1583797500000000,1970-01-19 07:56:37.500000,1,1,0,1,0
1583799600000000,1970-01-19 07:56:39.600000,1,1,0,1,0
1583800800000000,1970-01-19 07:56:40.800000,4,4,0,4,0
1583801100000000,1970-01-19 07:56:41.100000,4,4,0,4,0
1583888400000000,1970-01-19 07:58:08.400000,1,1,0,1,0
1583973900000000,1970-01-19 07:59:33.900000,1,1,0,1,0
1583983200000000,1970-01-19 07:59:43.200000,3,3,0,3,0
1584010200000000,1970-01-19 08:00:10.200000,1,1,0,1,0
1584012000000000,1970-01-19 08:00:12,1,1,0,1,0
1584020100000000,1970-01-19 08:00:20.100000,1,1,0,1,0
1584027600000000,1970-01-19 08:00:27.600000,1,1,0,1,0
1584029400000000,1970-01-19 08:00:29.400000,1,1,0,1,0
1584030000000000,1970-01-19 08:00:30,4,4,0,4,0
1584030600000000,1970-01-19 08:00:30.600000,1,1,0,1,0
1584033600000000,1970-01-19 08:00:33.600000,2,2,0,2,0
1584041100000000,1970-01-19 08:00:41.100000,1,1,0,1,0
1584041400000000,1970-01-19 08:00:41.400000,2,2,0,2,0
1584041700000000,1970-01-19 08:00:41.700000,3,3,0,3,0
1584042600000000,1970-01-19 08:00:42.600000,14,14,0,14,0
1584042900000000,1970-01-19 08:00:42.900000,1,1,0,1,0
1584043500000000,1970-01-19 08:00:43.500000,7,7,0,7,0
1584045000000000,1970-01-19 08:00:45,1,1,0,1,0
1584046200000000,1970-01-19 08:00:46.200000,4,4,0,4,0
1584077700000000,1970-01-19 08:01:17.700000,4,4,0,4,0
1584078000000000,1970-01-19 08:01:18,1,1,0,1,0
1584078900000000,1970-01-19 08:01:18.900000,4,4,0,4,0
1584081000000000,1970-01-19 08:01:21,1,1,0,1,0
1584081600000000,1970-01-19 08:01:21.600000,1,1,0,1,0
1584081900000000,1970-01-19 08:01:21.900000,1,1,0,1,0
1584087600000000,1970-01-19 08:01:27.600000,1,1,0,1,0
1584088200000000,1970-01-19 08:01:28.200000,18,18,0,18,0
1584088500000000,1970-01-19 08:01:28.500000,1,1,0,1,0
1584088800000000,1970-01-19 08:01:28.800000,8,8,0,8,0
1584089100000000,1970-01-19 08:01:29.100000,3,3,0,3,0
1584089400000000,1970-01-19 08:01:29.400000,6,6,0,6,0
1584089700000000,1970-01-19 08:01:29.700000,2,2,0,2,0
1584090900000000,1970-01-19 08:01:30.900000,1,1,0,1,0
