entry_ts,entry_dt,candidate_count,long_count,short_count,selected_count_top200,rejected_count_top200
1762216500000000,1970-01-21 09:30:16.500000,386,386,0,200,186
1738580400000000,1970-01-21 02:56:20.400000,319,318,1,200,119
1737389400000000,1970-01-21 02:36:29.400000,247,0,247,200,47
1722852900000000,1970-01-20 22:34:12.900000,246,245,1,200,46
1713070800000000,1970-01-20 19:51:10.800000,233,233,0,200,33
1738568700000000,1970-01-21 02:56:08.700000,228,228,0,200,28
1709701200000000,1970-01-20 18:55:01.200000,227,227,0,200,27
1710526500000000,1970-01-20 19:08:46.500000,225,225,0,200,25
1748033700000000,1970-01-21 05:33:53.700000,225,225,0,200,25
1755207600000000,1970-01-21 07:33:27.600000,217,217,0,200,17
1760162700000000,1970-01-21 08:56:02.700000,213,213,0,200,13
1744041000000000,1970-01-21 04:27:21,212,212,0,200,12
1709483400000000,1970-01-20 18:51:23.400000,204,204,0,200,4
1744068000000000,1970-01-21 04:27:48,200,0,200,200,0
1760163900000000,1970-01-21 08:56:03.900000,196,195,1,196,0
1734585000000000,1970-01-21 01:49:45,194,194,0,194,0
1749807600000000,1970-01-21 06:03:27.600000,190,190,0,190,0
1740467700000000,1970-01-21 03:27:47.700000,185,185,0,185,0
1710505800000000,1970-01-20 19:08:25.800000,184,184,0,184,0
1734663300000000,1970-01-21 01:51:03.300000,183,183,0,183,0
1764580500000000,1970-01-21 10:09:40.500000,182,182,0,182,0
1712979600000000,1970-01-20 19:49:39.600000,178,178,0,178,0
1733161500000000,1970-01-21 01:26:01.500000,176,176,0,176,0
1727835900000000,1970-01-20 23:57:15.900000,176,176,0,176,0
1738679100000000,1970-01-21 02:57:59.100000,168,168,0,168,0
1713072300000000,1970-01-20 19:51:12.300000,158,158,0,158,0
1734606900000000,1970-01-21 01:50:06.900000,157,157,0,157,0
1686403800000000,1970-01-20 12:26:43.800000,153,153,0,153,0
1737356400000000,1970-01-21 02:35:56.400000,149,149,0,149,0
1764582000000000,1970-01-21 10:09:42,145,145,0,145,0
1734716100000000,1970-01-21 01:51:56.100000,143,143,0,143,0
1748034600000000,1970-01-21 05:33:54.600000,141,141,0,141,0
1736297100000000,1970-01-21 02:18:17.100000,140,140,0,140,0
1734717600000000,1970-01-21 01:51:57.600000,139,139,0,139,0
1711983300000000,1970-01-20 19:33:03.300000,137,137,0,137,0
1710525300000000,1970-01-20 19:08:45.300000,134,134,0,134,0
1709174100000000,1970-01-20 18:46:14.100000,132,132,0,132,0
1741686900000000,1970-01-21 03:48:06.900000,128,128,0,128,0
1733266800000000,1970-01-21 01:27:46.800000,127,127,0,127,0
1682570700000000,1970-01-20 11:22:50.700000,121,121,0,121,0
1688165100000000,1970-01-20 12:56:05.100000,119,119,0,119,0
1704316500000000,1970-01-20 17:25:16.500000,117,117,0,117,0
1738551600000000,1970-01-21 02:55:51.600000,117,117,0,117,0
1748599200000000,1970-01-21 05:43:19.200000,116,115,1,116,0
