axis,baseline_version,strategy,symbol,side,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,score,same_bar,side_trade_id
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,LIGHT,short,5,6,10,1767227400000000000,1767228600000000000,1.1243,1.1294065382862237,-0.005321435030801602,stop,3.36982364140483,False,1
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,PIEVERSE,short,6,7,9,1767227700000000000,1767228300000000000,0.485,0.5185988613474987,-0.06558776536492436,stop,4.572896175943237,False,2
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,PIEVERSE,short,9,10,11,1767228600000000000,1767228900000000000,0.499,0.533161531844189,-0.06487351206683153,stop,4.526630246680105,False,3
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,RIVER,short,9,10,14,1767228600000000000,1767229800000000000,8.18,8.254706123043423,-0.009850125095898643,stop,3.0051238286269197,False,4
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,LYN,short,10,11,16,1767228900000000000,1767230400000000000,0.14155,0.14182444863054788,-0.0027351291910382206,stop,3.807162237181232,False,5
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,LUNA2,short,12,13,32,1767229500000000000,1767235200000000000,0.10592,0.10618234354226454,-0.003270688944251065,stop,3.3315682300154514,False,6
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,PIEVERSE,short,12,13,59,1767229500000000000,1767243300000000000,0.5225,0.5243236536162843,-0.004278106707005324,stop,4.591434713768791,False,7
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,Q,short,15,16,20,1767230400000000000,1767231600000000000,0.016107,0.01614580845531662,-0.0032036241619006526,stop,4.327120635565147,False,8
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,RIVER,short,15,16,20,1767230400000000000,1767231600000000000,8.582,8.638167551753005,-0.007302253101308031,stop,3.8185674485836545,False,9
short_max,short_max/v12,smv11_topcombo1_03_combo03_stop215_rr540_tr4_top1_plus_rr540,TRADOOR,short,15,16,20,1767230400000000000,1767231600000000000,1.573,1.57599310765869,-0.0026991882922232416,stop,4.40089111005691,False,10
