key,value
strategy,SMX2V3_B04_M01_S02D_plus_upper020
parent,SMX2V2_C08_EX20_02_N02_stop257_rr5075
short_dev,0.032
short_rsi_min,76.0
short_wick_mult,1.30
score_min_short,2.35
atr_stop_mult,2.57
rr_mult,5.075
timeout_bars,320
fail_fast_bars,12
dd_brake_trigger_pct,0.035
dd_brake_freeze_steps,4
soft_volr_min,1.10
soft_volr_bonus,0.14
soft_upper_sweep_bonus,0.07
soft_upper_range_ratio_min,0.20
soft_upper_range_bonus,0.07
