strategy,trades,return_pct,max_return_pct,mdd_pct,cd,pf,delta_cd_vs_n02,delta_return_pct_vs_n02,delta_mdd_pct_vs_n02
N02_PARENT,88881,5583.022210221461,5584.85689773751,5.655961392725716,5361.592668071308,1.938861328172264,0,0,0
M01,96936,6918.278276466645,6920.544020203046,5.703236522877465,6618.009410837498,1.933001522860126,1256.41674276619,1335.256066245184,0.047275130151749
