combo,side,trades,wins,losses,win_rate_pct,avg_pnl_decimal,sum_pnl_decimal,same_bar_trades
lx2_sx2,long,310,244,66,78.70967741935485,0.0064855196999037265,2.010511106970155,63
lx2_sx2,short,891,100,791,11.22334455667789,0.009060698527830379,8.073082388296868,46
lx2_sm2,long,310,244,66,78.70967741935485,0.0064855196999037265,2.010511106970155,63
lx2_sm2,short,1879,194,1685,10.324640766365087,0.005236085234548398,9.838604155716439,142
