seed_krw,triggered,first_withdraw_ts,withdrawn_krw,final_strategy_equity_krw,final_total_wealth_krw,max_total_wealth_krw,post_withdraw_strategy_mdd_pct,strategy
100000.0,False,,0.0,539879.2447440887,539879.2447440887,560189.0355364785,0.0,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32
100000.0,False,,0.0,7623989.017722087,7623989.017722087,7633024.793387474,0.0,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_LONG_MAX2_V6
100000.0,True,1752169800,9900000.0,634920.6033688756,10534920.603368875,10535599.769881172,5.2765844062742655,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP165_FR100
100000.0,True,1745675400,9900000.0,1174487.058241585,11074487.058241585,11075816.173865085,5.581328766622696,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP175_FR100
100000.0,True,1740734100,9900000.0,2136759.2757643433,12036759.275764342,12039309.777345221,5.8860654772275725,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP185_FR100
100000.0,True,1741666200,9900000.0,1670929.1284575695,11570929.128457569,11572923.600849478,5.848598829325115,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_C90
100000.0,True,1743902700,9900000.0,1384031.1757351805,11284031.175735181,11285170.583362024,5.848598829325498,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_C105
100000.0,True,1740954600,9900000.0,2081575.1363230385,11981575.136323038,11984059.768418062,5.886065477227591,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD14
100000.0,True,1740761700,9900000.0,2166152.756338964,12066152.756338965,12068738.34288216,5.886065477227627,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD20
100000.0,True,1739400600,9900000.0,2520164.7914846954,12420164.791484695,12423172.93767957,5.886065477227503,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK_M030
100000.0,True,1737360000,9900000.0,3947337.975367788,13847337.975367788,13851219.438331945,5.886065477227579,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK2_M030
100000.0,True,1741065000,9900000.0,1998766.314128812,11898766.314128812,11901152.103067141,5.886065477227624,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_BODY055
100000.0,True,1735665600,9900000.0,3975312.708258424,13875312.708258424,13880304.153857272,6.190794538089054,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP195_FR100
100000.0,True,1733470800,9900000.0,5308675.862566845,15208675.862566844,15215506.020427119,6.343156199865365,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP200_FR100
100000.0,True,1731614400,9900000.0,9888787.66264639,19788787.66264639,19802123.595757596,6.647873786111816,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP210_FR100
100000.0,True,1734850500,9900000.0,4066152.3069801303,13966152.30698013,13971383.830406986,6.302717329220749,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP200_FR100_C90
100000.0,True,1732638000,9900000.0,7379593.659724188,17279593.659724187,17289545.715607204,6.605453496074158,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP210_FR100_C90
