strategy,quarter,events,quarter_start_equity,quarter_end_equity,quarter_return_pct,quarter_realized_mdd_pct,quarter_open_equity_mdd_proxy_pct,quarter_max_open_positions,quarter_max_gross_exposure_pct
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2019-Q3,2,1.0,0.9999230202857098,-0.007697971429021511,0.007697971429021511,0.05225289399456434,1,1.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2019-Q4,8,0.9999230202857098,0.9998101289377133,-0.011290003900932266,0.018987106228673944,0.027949643388403,1,1.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2020-Q1,860,0.9998101289377133,1.0190267157383286,1.9220236167273752,1.2166694660400537,1.4827050753299924,22,22.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2020-Q2,296,1.0190267157383286,1.0182943420693802,-0.07186991838754597,1.452420774770382,2.3522081456417725,24,24.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2020-Q3,1534,1.0182943420693802,1.0326189249186066,1.4067232093341486,1.7568144480720804,5.2621051963974,40,40.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2020-Q4,2515,1.0326189249186066,1.0640393004709703,3.042785174098972,2.3637118158938946,3.705345400010406,51,51.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2021-Q1,6141,1.064198242908443,1.2115488809353006,13.8461643785607,4.4194402851466945,4.860879903564317,72,72.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2021-Q2,7730,1.2115488809353006,1.0130695074787794,-16.382283585891933,23.2138969144332,24.087918742150432,93,93.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2021-Q3,3510,1.0130695074787794,1.134643439608629,12.000551910047097,22.531789456366166,25.121578798966084,83,83.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2021-Q4,2618,1.134643439608629,1.1130635099264665,-1.9019128766659898,14.627620152213883,18.17856632282649,107,107.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2022-Q1,2189,1.1130635099264665,1.1302251557787872,1.5418388707626018,13.904589242272689,14.199062006795435,108,108.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2022-Q2,4926,1.1312414166340787,1.169613447797399,3.392028491804444,15.254142791488077,16.026851248546343,95,95.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2022-Q3,2215,1.1702891400443367,1.1450169215756607,-2.159485002801831,11.26143261891506,11.66700786213445,119,119.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2022-Q4,2406,1.1450169215756607,1.1360471636179705,-0.7833733972548496,14.953551477357774,15.887741525323742,118,118.0
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32,2023-Q1,3292,1.1360471636179705,1.203274517661652,5.917655199242122,12.887893209450512,16.258895439504673,128,128.0
