rank_by_cd,strategy,description,entry_key,filter_name,body_atr_min,exit_profile,weak_check_bars,weak_close_r,weak_exit_mode,strong_check_bars,strong_close_r,strong_protect_frac,fail_fast_bars,fail_fast_mfe_r,fail_fast_close_under_entry,time_reduce_bars,time_reduce_to_risk_frac,trail_start_r,trail_dist_r,quality_filter,min_cp,max_lwbr,min_quiet,max_quiet,min_vr,min_ret3,max_ret3,engine,min_ema20_dev,min_ema50_dev,min_slope20,min_rsi,max_rsi,max_uwbr,min_ret3_up,min_ret6_up,min_breakout20,min_vr20,min_pullback_high6,max_pullback_high6,min_ret1_up,min_ret2_up,min_prior_drop3,max_prior_drop3,min_prior_drop6,max_prior_drop6,min_red_count3,require_reclaim20,require_reclaim50,require_green,require_above20,require_above50,atr_stop,rr_target,max_hold_bars,cooldown_bars,use_tp03_gate,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,cd_value,max_conc,symbol_files,errors,ruined,is_baseline,is_v27_winner,delta_cd_vs_baseline_expected
1,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP210_FR100,"V62 lotto/open-equity audit: stop=2.1, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,2.1,7.5,17,75,True,51569,37888,13681,73.47049584052434,1082860.9172846403,1083158.0997037163,0.3266255197640344,1079719.902305173,1079719.902305173,432,597,0,False,False,False,1079101.6430165262
2,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP210_FR100_C90,"V62 lotto/open-equity audit: stop=2.1, rr=7.5, hold=17, cool=90, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,2.1,7.5,17,90,True,50433,37133,13300,73.62837824440346,815374.9350685797,815598.7149022113,0.3544348872323022,812807.5940818923,812807.5940818923,430,597,0,False,False,False,812189.3347932454
3,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP200_FR100,"V62 lotto/open-equity audit: stop=2.0, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,2.0,7.5,17,75,True,51568,37336,14232,72.40148929568726,585453.1202104994,585606.3751839848,0.27048088524034286,584122.1513954779,584122.1513954779,431,597,0,False,False,False,583503.8921068311
4,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP200_FR100_C90,"V62 lotto/open-equity audit: stop=2.0, rr=7.5, hold=17, cool=90, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,2.0,7.5,17,90,True,50433,36588,13845,72.54773660103504,445433.5168684246,445550.12495223084,0.27048088524034286,444444.7265491853,444444.7265491853,429,597,0,False,False,False,443826.4672605385
5,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP195_FR100,"V62 lotto/open-equity audit: stop=1.95, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.95,7.5,17,75,True,51566,37067,14499,71.88263584532444,434858.54214080254,434969.6227714418,0.2891640786095162,433811.5577054449,433811.5577054449,431,597,0,False,False,False,433193.2984167981
6,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK2_M030,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=2, weak=-0.3",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 2 close<-0.30 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,2,-0.3,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.85,7.5,17,75,True,51558,40265,11293,78.09651266534776,433810.4315691835,433915.7385391922,0.3083119343818108,432677.6162201805,432677.6162201805,430,597,0,False,False,False,432059.3569315337
7,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK_M030,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.3",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.30 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.3,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.85,7.5,17,75,True,51565,37289,14276,72.31455444584505,280641.62010608334,280709.75409692054,0.32053332150524527,279909.665265003,279909.665265003,429,597,0,False,False,False,279291.4059763562
8,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP185_FR100,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.85,7.5,17,75,True,51566,36516,15050,70.81410231547919,235879.22481576493,235936.4952922098,0.2745120618718122,235388.54664221316,235388.54664221316,429,597,0,False,False,False,234770.28735356632
9,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD20,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=20, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.85,7.5,20,75,True,51563,36515,15048,70.81628299361945,231662.42807688468,231718.67516680685,0.2745120618718233,231182.30494180252,231182.30494180252,429,597,0,False,False,False,230564.04565315568
10,LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD14,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=14, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",child::orig_V09_extreme_vol18::tp03,body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,0.48,v62_lotto_open_equity_withdrawal_audit,1,-0.25,tighten_be_next,0,-999.0,-999.0,0,-1.0,False,2,1.0,0.0,0.0,none,,999.0,0.0,999.0,0.0,-999.0,999.0,baseline,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1.85,7.5,14,75,True,51568,36517,15051,70.81329506670804,229427.22511515807,229482.92973724788,0.2745120618718122,228952.69690312044,228952.69690312044,429,597,0,False,False,False,228334.4376144736
