strategy,description,filter_name,trades,trade_list_final_return_pct,trade_list_max_drawdown_pct,trade_list_cd_value,max_conc_interval,chron_final_return_pct,chron_max_return_pct,chron_max_drawdown_pct,chron_cd_value,chron_final_equity,chron_max_equity,chron_min_equity,chron_trades,chron_wins,chron_losses,chron_win_rate_pct,chron_max_open_positions,chron_max_gross_exposure_pct,rank_by_chron_cd
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP210_FR100,"V62 lotto/open-equity audit: stop=2.1, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,51569,1082860.9172846403,0.3266255197640344,1079719.902305173,432,966937.489559745,968241.6279148954,8.65624809176449,884519.5742267512,9670.37489559745,9683.416279148954,0.9998805712307619,51569,37888,13681,73.47049584052434,740,740.0,1
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP210_FR100_C90,"V62 lotto/open-equity audit: stop=2.1, rr=7.5, hold=17, cool=90, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,50433,815374.9350685797,0.3544348872323022,812807.5940818923,430,729914.9262309498,730899.4180168512,8.656248091764366,667722.2948439588,7300.149262309498,7309.994180168512,0.9998805712307619,50433,37133,13300,73.62837824440346,737,737.0,2
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP200_FR100,"V62 lotto/open-equity audit: stop=2.0, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,51568,585453.1202104994,0.27048088524034286,584122.1513954779,431,525917.7773837409,526594.5533915166,8.297085348455099,482994.256770958,5260.1777738374085,5266.9455339151655,0.9995593670129265,51568,37336,14232,72.40148929568726,739,739.0,3
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP200_FR100_C90,"V62 lotto/open-equity audit: stop=2.0, rr=7.5, hold=17, cool=90, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,50433,445433.5168684246,0.27048088524034286,444444.7265491853,429,401143.3957939218,401659.6367181399,8.297085348455104,368425.2967639927,4012.433957939218,4017.5963671813993,0.9995593670129265,50433,36588,13845,72.54773660103504,736,736.0,4
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK2_M030,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=2, weak=-0.3",body_atr >= 0.48 / time_reduce 2->1.00R / weak 2 close<-0.30 tighten_be_next,51558,433810.4315691835,0.3083119343818108,432677.6162201805,430,390113.94210877625,390497.6439792123,7.732066810419896,360396.37318681355,3902.1394210877625,3905.9764397921235,0.999516181555008,51558,40265,11293,78.09651266534776,737,737.0,5
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP195_FR100,"V62 lotto/open-equity audit: stop=1.95, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,51566,434858.54214080254,0.2891640786095162,433811.5577054449,431,391461.2845781263,391952.93315875914,8.10287712442244,360285.3657222109,3915.612845781263,3920.5293315875915,0.9994902272406732,51566,37067,14499,71.88263584532444,739,739.0,6
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_WEAK_M030,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.3",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.30 tighten_be_next,51565,280641.62010608334,0.32053332150524527,279909.665265003,429,253643.64289914555,253946.51911439933,7.713231007958937,234451.32422742713,2537.4364289914556,2540.4651911439933,0.999368098857434,51565,37289,14276,72.31455444584505,737,737.0,7
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_REF_STOP185_FR100,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=17, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,51566,235879.22481576493,0.2745120618718122,235388.54664221316,429,213357.32835087396,213612.1175822037,7.713231007959111,197228.00826108715,2134.5732835087397,2137.121175822037,0.999368098857434,51566,36516,15050,70.81410231547919,737,737.0,8
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD20,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=20, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,51563,231662.42807688468,0.2745120618718233,231182.30494180252,429,210309.49988916062,210560.6511387121,7.713231007958954,194411.9084735127,2104.0949988916063,2106.606511387121,0.999368098857434,51563,36515,15048,70.81628299361945,737,737.0,9
LM26R_001_RETEST_S128_RR505_B360_H17_CD32__V35_BASELINE_S130_RR625_B400_H17_C32__V62_STOP185_FR100_HOLD14,"V62 lotto/open-equity audit: stop=1.85, rr=7.5, hold=14, cool=75, body=0.48, tr=2, fr=1.0, weak_b=1, weak=-0.25",body_atr >= 0.48 / time_reduce 2->1.00R / weak 1 close<-0.25 tighten_be_next,51568,229427.22511515807,0.2745120618718122,228952.69690312044,429,208362.215084753,208611.04199527926,7.71323100795904,192612.67718706498,2084.62215084753,2087.1104199527927,0.999368098857434,51568,36517,15051,70.81329506670804,737,737.0,10
