period_label,strategy,candidate_key,audit_mode,slippage_per_side,slippage_per_side_pct,total_round_trip_cost_pct,environment_lock_pass,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,profit_factor,target_expected_trades,delta_vs_target_expected_trades,target_expected_max_return_pct,delta_vs_target_expected_max_return_pct,target_expected_max_drawdown_pct,delta_vs_target_expected_max_drawdown_pct,target_expected_official_cd_value,delta_vs_target_expected_official_cd_value,target_expected_profit_factor,delta_vs_target_expected_profit_factor,mtm_close_max_return_pct,mtm_close_max_drawdown_pct,mtm_close_cd_value,mtm_worstbar_max_return_pct,mtm_worstbar_max_drawdown_pct,mtm_worstbar_cd_value,generated_signals,executed_entries,blocked_entries,same_bar_trades,max_conc,max_conc_unique_symbols,active_leftover,pending_leftover,climax_score_min,atr_stop_mult,rr_mult,timeout_bars,dd_brake_trigger_pct,delta_vs_same_period_baseline_official_cd_value,delta_vs_same_period_baseline_max_drawdown_pct,delta_vs_same_period_baseline_profit_factor,delta_vs_same_period_baseline_mtm_worstbar_cd_value,delta_vs_same_period_baseline_mtm_worstbar_max_drawdown_pct,gate_realized_mdd10_pass,gate_mtm_close_mdd_under_10,gate_mtm_worstbar_mdd_under_10,gate_mtm_worstbar_mdd_under_15,gate_mtm_audit_pass,gate_improve_vs_same_period_baseline,gate_mtm_worstbar_improve_vs_same_period_baseline,gate_baseline_exact_retest_pass,gate_target_exact_retest_pass,gate_run_valid_for_development,gate_beats_v6_cd,gate_beats_v6_mtm_worstbar_cd,gate_realized_mdd_better_or_equal_v6,gate_mtm_worstbar_mdd_better_or_equal_v6,full_cd_value,exq4_cd_value,q4_only_cd_value,exq4_to_full_cd_ratio,q4_to_full_cd_ratio,full_mtm_worstbar_cd_value,exq4_mtm_worstbar_cd_value,q4_only_mtm_worstbar_cd_value,exq4_to_full_mtm_worstbar_cd_ratio,q4_to_full_mtm_worstbar_cd_ratio,q4_dependency_flag,period_loaded_symbols,period_timeline_count,strategy_elapsed_seconds,strategy_elapsed_minutes,load_elapsed_seconds,load_elapsed_minutes,total_elapsed_seconds,total_elapsed_minutes
2025_Q1_ONLY,SM2V6_OFFICIAL_V5M01_BASELINE_slip000000,V5M01_D02_D03_rr615_stop265_t390,realism_audit_no_position_limit,0.0,0.0,0.08,True,12159,859,11300,7.064725717575458,108.52934563968901,108.52934563968901,5.1455033172410065,197.79946124237784,2.192930098173829,,,139926.24497527332,-139817.71562963363,5.673964657377228,-0.5284613401362215,132081.20532432388,-131883.4058630815,,,109.99907500739839,7.57631125222985,194.08889145803425,109.73215851526365,10.000821832310457,188.75721901709318,22328,12159,0,528,341,341,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,False,False,False,False,False,False,False,True,False,,,440.8162502317228,,,,,433.156622667571,,,UNKNOWN,412,25920,11.322090200003004,0.1887015033333834,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q1_ONLY,SM2V6FILTER_V6F02_wick_confirm_slip000000,V6F02_wick_confirm,realism_audit_no_position_limit,0.0,0.0,0.08,True,12159,859,11300,7.064725717575458,108.52934563968901,108.52934563968901,5.1455033172410065,197.79946124237784,2.192930098173829,,,139926.24497527332,-139817.71562963363,5.673964657377228,-0.5284613401362215,132081.20532432388,-131883.4058630815,,,109.99907500739839,7.57631125222985,194.08889145803425,109.73215851526365,10.000821832310457,188.75721901709318,22328,12159,0,528,341,341,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,False,False,False,False,False,False,False,True,False,,,440.8162502317228,,,,,433.156622667571,,,UNKNOWN,412,25920,4.290381999991951,0.07150636666653251,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q1_ONLY,SM2V6FILTER_V6F03_volume_trend_exclusion_slip000000,V6F03_volume_trend_exclusion,realism_audit_no_position_limit,0.0,0.0,0.08,True,12159,859,11300,7.064725717575458,108.52934563968901,108.52934563968901,5.1455033172410065,197.79946124237784,2.192930098173829,,,139926.24497527332,-139817.71562963363,5.673964657377228,-0.5284613401362215,132081.20532432388,-131883.4058630815,,,109.99907500739839,7.57631125222985,194.08889145803425,109.73215851526365,10.000821832310457,188.75721901709318,22328,12159,0,528,341,341,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,True,False,True,True,False,False,False,False,False,False,False,True,False,,,440.8162502317228,,,,,433.156622667571,,,UNKNOWN,412,25920,8.040861299989047,0.13401435499981745,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q1_ONLY,SM2V6FILTER_V6F04_maturity_filter_slip000000,V6F04_maturity_filter,realism_audit_no_position_limit,0.0,0.0,0.08,True,11794,828,10966,7.02051890791928,103.48503085693737,103.48503085693737,5.287216262608563,192.7263372134953,2.198610944833786,,,139926.24497527332,-139822.75994441638,5.673964657377228,-0.38674839476866474,132081.20532432388,-131888.47898711037,,,104.91716647144625,7.55941429631406,189.42662889360204,104.65670646145502,9.971915813429998,184.24851198658016,21248,11794,0,484,340,340,0,0,2.7,2.65,6.15,390,0.092,-5.073124028882546,0.14171294536755674,0.0056808466599567176,-4.508707030513023,-0.028906018880459072,True,True,True,True,True,False,False,False,False,False,False,False,True,False,,,432.48511943261155,,,,,425.4396770445306,,,UNKNOWN,412,25920,6.881679800004349,0.11469466333340582,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q1_ONLY,SM2V6FILTER_V6F01_ret3_share_cap_slip000000,V6F01_ret3_share_cap,realism_audit_no_position_limit,0.0,0.0,0.08,True,10237,656,9581,6.408127381068672,82.07932715179709,82.07932715179709,3.9750699092184316,174.84154660727862,2.2528302665772606,,,139926.24497527332,-139844.16564812153,5.673964657377228,-1.6988947481587964,132081.20532432388,-131906.3637777166,,,83.55023609418781,6.9294671299887645,170.83118281702428,83.33352657727949,9.162676108686929,166.53526933836991,18301,10237,0,312,342,342,0,0,2.7,2.65,6.15,390,0.092,-22.95791463509923,-1.170433408022575,0.059900168403431486,-22.221949678723263,-0.8381457236235281,True,True,True,True,True,False,False,False,False,False,False,False,True,False,,,348.9337237505121,,,,,341.1817771484634,,,UNKNOWN,412,25920,5.334659500003909,0.08891099166673182,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q1_ONLY,SM2V6FILTER_V6F05_compound_quality_slip000000,V6F05_compound_quality,realism_audit_no_position_limit,0.0,0.0,0.08,True,10619,673,9946,6.33769658159902,80.83045941469598,80.83045941469598,4.3865689410057085,172.898206646133,2.173046171607238,,,139926.24497527332,-139845.41451585863,5.673964657377228,-1.2873957163715195,132081.20532432388,-131908.30711767773,,,82.29171200685028,7.218254574008065,169.13343216687818,82.07645272582063,9.477073956124492,164.82093264430654,19071,10619,0,339,342,342,0,0,2.7,2.65,6.15,390,0.092,-24.901254596244854,-0.758934376235298,-0.019883926566591104,-23.93628637278664,-0.5237478761859649,True,True,True,True,True,False,False,False,False,False,False,False,True,False,,,372.41981336546894,,,,,363.3955401689438,,,UNKNOWN,412,25920,5.211276899994118,0.08685461499990196,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q2_ONLY,SM2V6_OFFICIAL_V5M01_BASELINE_slip000000,V5M01_D02_D03_rr615_stop265_t390,realism_audit_no_position_limit,0.0,0.0,0.08,True,12658,901,11757,7.118028124506242,81.61156416841797,81.65377359569564,5.020324508662033,172.5341646789615,1.8769482805567808,,,139926.24497527332,-139844.59120167763,5.673964657377228,-0.653640148715195,132081.20532432388,-131908.6711596449,,,82.26860512797407,10.60402839098118,162.9407904923583,82.07909939276293,9.685511359439957,164.4438075379109,23016,12658,0,649,364,364,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,False,True,True,True,False,False,False,False,False,False,False,True,False,,,440.8162502317228,,,,,433.156622667571,,,UNKNOWN,481,26208,13.600188399999752,0.22666980666666253,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q2_ONLY,SM2V6FILTER_V6F02_wick_confirm_slip000000,V6F02_wick_confirm,realism_audit_no_position_limit,0.0,0.0,0.08,True,12658,901,11757,7.118028124506242,81.61156416841797,81.65377359569564,5.020324508662033,172.5341646789615,1.8769482805567808,,,139926.24497527332,-139844.59120167763,5.673964657377228,-0.653640148715195,132081.20532432388,-131908.6711596449,,,82.26860512797407,10.60402839098118,162.9407904923583,82.07909939276293,9.685511359439957,164.4438075379109,23016,12658,0,649,364,364,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,False,True,True,True,False,False,False,False,False,False,False,True,False,,,440.8162502317228,,,,,433.156622667571,,,UNKNOWN,481,26208,7.394138700008625,0.12323564500014375,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q2_ONLY,SM2V6FILTER_V6F03_volume_trend_exclusion_slip000000,V6F03_volume_trend_exclusion,realism_audit_no_position_limit,0.0,0.0,0.08,True,12658,901,11757,7.118028124506242,81.61156416841797,81.65377359569564,5.020324508662033,172.5341646789615,1.8769482805567808,,,139926.24497527332,-139844.59120167763,5.673964657377228,-0.653640148715195,132081.20532432388,-131908.6711596449,,,82.26860512797407,10.60402839098118,162.9407904923583,82.07909939276293,9.685511359439957,164.4438075379109,23016,12658,0,649,364,364,0,0,2.7,2.65,6.15,390,0.092,0.0,0.0,0.0,0.0,0.0,True,False,True,True,True,False,False,False,False,False,False,False,True,False,,,440.8162502317228,,,,,433.156622667571,,,UNKNOWN,481,26208,6.425652299993089,0.10709420499988483,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
2025_Q2_ONLY,SM2V6FILTER_V6F04_maturity_filter_slip000000,V6F04_maturity_filter,realism_audit_no_position_limit,0.0,0.0,0.08,True,12254,873,11381,7.12420434143953,81.01036870664026,81.05250620830876,4.7665385883088,172.42256863478954,1.910164282744949,,,139926.24497527332,-139845.19246906502,5.673964657377228,-0.9074260690684284,132081.20532432388,-131908.78275568908,,,81.79872678587773,10.569357772606914,162.58376892583416,81.7136597979663,9.62146729652995,164.23013944717727,21778,12254,0,589,364,364,0,0,2.7,2.65,6.15,390,0.092,-0.11159604417196078,-0.25378592035323333,0.033216002188168225,-0.21366809073364834,-0.06404406291000697,True,False,True,True,True,False,False,False,False,False,False,False,True,False,,,432.48511943261155,,,,,425.4396770445306,,,UNKNOWN,481,26208,6.5269613999989815,0.10878268999998303,523.1928967999993,8.719881613333321,2378.8887066000025,39.648145110000044
