experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc
short_multi_baseline,39497,2.4362168099148733,1.4362168099148733,2.4377441998088187,1.4377441998088187,0.36463528875610807,1.1289505292035564,-0.044171662337068374,295
short_multi_trend,34,1.0021144044056018,0.002114404405601844,1.0032126631985812,0.003212663198581156,0.5882352941176471,1.3034276489017669,-0.0024870594112729183,2
short_multi_reclaim,25567,2.104455639148678,1.1044556391486782,2.1053070263910345,1.1053070263910345,0.3785739429733641,1.1632808188050663,-0.03436135949099006,273
short_multi_deviation,21407,1.5443447077027124,0.5443447077027124,1.5450983334423982,0.5450983334423982,0.4000560564301397,1.109730721126858,-0.0423340473940087,140
short_multi_riskwidth,12244,1.0385595323169794,0.038559532316979395,1.0434718652744666,0.04347186527446656,0.3284874224109768,1.026864830196664,-0.04108494118544204,171
short_multi_trend_reclaim,28,1.0022845331922448,0.002284533192244753,1.0033829784364265,0.0033829784364265425,0.6428571428571429,1.3858319148481932,-0.002970990234442139,1
short_multi_trend_deviation,20,1.0015697508050343,0.0015697508050342979,1.0022550840864497,0.002255084086449699,0.7,1.3973916576055139,-0.0021361090894684853,1
short_multi_reclaim_deviation,13915,1.3452082203864093,0.3452082203864093,1.3458098443554714,0.34580984435547135,0.4061803808839382,1.1133878204159606,-0.04258137585831878,136
short_multi_risk_reclaim,6974,1.060751549683638,0.06075154968363794,1.0664287822353158,0.06642878223531579,0.3395468884427875,1.0738164393626046,-0.021651142347285823,161
short_multi_risk_deviation,2665,1.0048120227530493,0.004812022753049261,1.0133304173354596,0.013330417335459588,0.37185741088180113,1.015177020270548,-0.0150213831106637,25
short_multi_trend_risk,2,0.9996515047016248,-0.00034849529837521764,1.0,0.0,0.0,0.0,-0.00034849529837521764,1
short_multi_trend_reclaim_risk,1,0.9998161718075617,-0.00018382819243834003,1.0,0.0,0.0,0.0,-0.00018382819243834003,1
short_multi_reclaim_deviation_risk,1450,0.9937492106541265,-0.006250789345873531,1.00663538245544,0.006635382455439931,0.36137931034482756,0.9651291685351435,-0.015618941745701442,12
short_multi_all_stack,0,1.0,0.0,1.0,0.0,0.0,inf,0.0,0
